hurtlex_ID,lemma,POS,ERIS_score,definition_category,definition_el,definition_en,synonyms_el,synonyms_en,examples,aikia_offensive_score,hurtlex_category
EL8,αβουλησία,NOUN,0.38,State,Ψυχολογική κατάσταση όπου το άτομο αδυνατεί να πάρει αποφάσεις ή να αναλάβει δράση,mental state of inability to decide or act,"['βουλητική αδυναμία', 'απραξία', 'αποφασιστική ανικανότητα']","['abulia', 'indecision', 'passivity']","«Η αβουλησία, ως κατάσταση πρόσκαιρης αδυναμίας τής παρόρμησης ή εσκεμμένη απουσία τής πρόθεσης ή της διάθεσης και της τάσης για δράση, θα πρέπει να διακρίνεται από την απραξία και την απάθεια.»",,svp
EL8,αβουλησία,NOUN,0.38,Behavioral_Trait,Σταθερό χαρακτηριστικό προσώπου που δεν αναλαμβάνει πρωτοβουλίες και αφήνει άλλους να αποφασίζουν,habitual trait of someone who lets others decide,"['διστακτικότητα', 'μαλθακότητα', 'παθητικότητα']","['hesitancy', 'softness', 'passiveness']","«Αβουλία, ή αβουλησία, είναι η αδυναμία της θέλησης για ενέργεια και πράξη με συνειδητή προσπάθεια.»",,svp
EL10,αβουλία,NOUN,0.23,State,Νευροψυχιατρική διαταραχή που εκδηλώνεται με έλλειψη θέλησης για πράξη ή λόγο,neuro-psychiatric condition marked by lack of will,"['απραγία', 'αδρανοποίηση', 'βουλητική παράλυση']","['abulia', 'lethargy', 'inactiveness']","«Για να το θέσω απλά, η αβουλία αναφέρεται στην έλλειψη κινήτρων.»",,svp
EL10,αβουλία,NOUN,0.23,Behavioral_Trait,Ιδιότητα ανθρώπου που αποφεύγει κάθε πρωτοβουλία και δεν δείχνει προσωπική θέληση,quality of a person who avoids taking any initiative,"['μαλθακότητα', 'αναποφασιστικότητα', 'απραξία']","['softness', 'indecision', 'inertia']",«Στις δύσκολες στιγμές τον κυρίευε μια αβουλία.»,,svp
EL315,αγαθιάρης,ADJ,0.28,Person,Άνθρωπος απλοϊκός και εύπιστος που δεν υποψιάζεται πονηρές προθέσεις,"simple-minded, gullible person","['αφελής', 'καλόβολος', 'κουτόχορτος', 'καλοκάγαθος']","['naive', 'gullible', 'simple', 'trusting']",Ελα μωρε τι να της κανει ο αγαθιαρης #vrady,0.53,ddp
EL983,αγγούρι,NOUN,0.26,Person,Υποτιμητικός χαρακτηρισμός για άτομο αργόστροφο ή αδέξιο,derogatory term for slow or clumsy person,"['βλήμα', 'κούτσουρο', 'ψώνιο']","['dummy', 'blockhead', 'slowpoke']",username username Ο Χρήστος ο Καμπαρες φίλε ειναι λαικο παιδί. Θέλει καμια Κοκκινου τετοιες γυναίκες οχι το αγγουρι την Ευα,0.76,or
EL983,αγγούρι,NOUN,0.26,State,"Δύσκολη ή επίπονη υποχρέωση· μεταφορική χρήση για μεγάλη ταλαιπωρία, φόρτο δουλειάς ή πρόβλημα που προμηνύει κόπο","big hassle: tough, draining task or predicament","['μπελάς', 'παλούκι', 'καζίκι', 'ζόρι']","['ordeal', 'slog', 'headache', 'pain']",Πρέπει να φύγω για να πληρώσω το κωλοκράτος κι ο πισινός μου αρνείται να σηκωθεί από την καρέκλα και να φάει το αγγούρι!,0.93,or
EL515,αγελάδα,NOUN,0.49,Person,Υβριστικός όρος για γυναίκα που θεωρείται βαριά ή αδέξια,insult for a woman seen as heavy or clumsy,"['βόδι', 'βουβάλι', 'φάλαινα', 'χοντρή']","['cow', 'buffalo', 'fatso', 'heifer']",Δεν την είδες; Σαν όρθια αγελάδα.,0.83,pr
EL1799,αγένεια,NOUN,0.48,Behavioral_Trait,Συμπεριφορά που δείχνει έλλειψη σεβασμού και καλών τρόπων,trait of lacking courtesy and respect,"['αγροικία', 'χοντράδα', 'απρέπεια', 'αναισθησία']","['rudeness', 'impoliteness', 'coarseness', 'discourtesy']",Η κουλτούρα της αγένειας,0.47,dmc
EL1799,αγένεια,NOUN,0.48,Event,Μεμονωμένη πράξη ή σχόλιο που προσβάλλει και δείχνει έλλειψη τρόπων,single rude act or comment,"['απρέπεια', 'χωριάτικο', 'φάουλ']","['rude act', 'impropriety', 'gaffe']",username username username Από την αγένεια σου καταλαβαίνω τι μπετοβλακας είσαι!,0.83,dmc
EL1611,αγενής,ADJ,0.67,Person,Άτομο που συμπεριφέρεται χωρίς τρόπους και δεν σέβεται τους άλλους,person who behaves rudely and without respect,"['απρεπής', 'χοντράνθρωπος', 'αναιδής', 'κακομαθημένος']","['rude', 'impolite', 'boor', 'ill-mannered']","username Εσάς πάντως, που είστε αγενής, δεν θα σας φιλοξενώ ΄στο εξής στο προφίλ μου.",0.53,dmc
EL1611,αγενής,ADJ,0.67,Behavioral Trait,Λόγος ή ενέργεια που παραβιάζει κοινωνικούς κανόνες και προκαλεί ενόχληση ή δυσαρέσκεια,rude behaviour : impolite act or remark,"['απρεπής', 'προσβλητικός', 'κακότροπος', 'χυδαίος']","['rude', 'discourteous', 'impolite conduct']","username username username έχετε να μου πείτε κάτι απευθείας αντί με κουτσομπολεύετε; αυτό που κάνετε είναι το λιγότερο αγενές, αν όχι ξεκάθαρα στοχοποιητικό!",0.67,dmc
EL1611,αγενής,ADJ,0.67,Person,"Άτομο χαμηλής κοινωνικής καταγωγής, χαρακτηρισμένο ως κατώτερο με μειωτική διάθεση",ignoble : person of low birth,"['χαμηλόφρων', 'ταπεινής σειράς', 'λαϊκός']","['ignoble', 'base-born', 'low-born', 'plebeian']",username username username Σήμερα σε μία καφετέρια με σέρβιρε ένας αλλοδαπός σερβιτόρος. Δεν είχε ιδέα από σέρβις και τα Ελληνικά του ήταν τόσο φτωχά που φαινόταν αγενής. Είμαι σίγουρος ότι είχε στείλει βιογραφικό από Πακιστάν και μετά από συνέντευξη επιλέχτηκε μεταξύ πολλών άλλων για τη θέση...,0.5,dmc
EL114,αγράμματος,ADJ,0.75,Person,άνθρωπος που δεν γνωρίζει ανάγνωση και γραφή ή θεωρείται πνευματικά ακαλλιέργητος,person who is illiterate or seen as uneducated,"['αμόρφωτος', 'ακαλλιέργητος', 'αναλφάβητος', 'χωριάτης']","['illiterate', 'uneducated', 'unschooled', 'ignorant']","Πλεύρης: ""Όσοι εισέρχονται στη χώρα υποχρεούνται με ισχυρή σύσταση να κάνουν τεστ μπλα μπλα"". Τι σημαίνει ""υποχρεούνται με ισχυρή σύσταση"", ρε αγράμματοι;",0.62,ddp
EL114,αγράμματος,ADJ,0.75,Behavioral Trait,"Κείμενο ή γραπτό μήνυμα γεμάτο ορθογραφικά σφάλματα ή συντακτικές αδεξιότητες, το οποίο προκαλεί ενόχληση ή δυσπιστία στον αναγνώστη.",poorly written text : error-ridden piece of writing,"['κακογραμμένο', 'ανορθόγραφο', 'πρόχειρο', 'επιπόλαιο']","['ungrammatical', 'poorly written', 'error-filled', 'sloppy']",«…μοιάζει με ένα αγράμματο κείμενο γραμμένο από έναν μεθυσμένο μετά το ρεβεγιόν· το παρατηρεί και κάποιος άλλος;»,,ddp
EL252,άγριος,ADJ,0.51,Person,"Xαρακτηρισμός για άτομο βίαιο, απρόβλεπτο ή χωρίς κοινωνικούς τρόπους","label for violent, uncivilized person","['βάρβαρος', 'σκληρός', 'τραμπούκος', 'αγροίκος']","['savage', 'rough', 'brutal', 'barbaric']",username username Πιστεψε με ειναι λιγο αγριοι,0.44,dmc
EL252,άγριος,ADJ,0.51,Behavioral_Trait,"Συμπεριφορά ή κίνηση που χαρακτηρίζεται από σκληρότητα και επιθετικότητα, αγνοώντας τους αποδεκτούς κοινωνικούς τρόπους","behaviour which is violent, unpredictable, and lacking the restraints of civilized conduct","['σκληρός', 'αγροίκος', 'ανήμερος', 'ωμός']","['ferocious', 'fierce', 'unruly', 'violent']",Πιάσε αυτή την Αράλια και μίλα της άγρια.,0.39,dmc
EL252,άγριος,ADJ,0.51,Behavioral Trait,"Ζώο, φυτό ή προϊόν που ζει ή αναπτύσσεται ελεύθερα στη φύση, δίχως εξημέρωση ή καλλιέργεια∙ η χρήση συχνάζει σε οικολογικά, γαστρονομικά και λαϊκά κείμενα",wild : organism that grows or lives outside human control,"['αδάμαστος', 'ελεύθερος', 'φυσικός', 'ακαλλιέργητος']","['wild', 'feral', 'untamed', 'natural']",Σαν άγριο μπουλντόγκ.,0.37,dmc
EL252,άγριος,ADJ,0.51,Behavioral Trait,"Φαινόμενο ή γεγονός που εκδηλώνεται με μεγάλη σφοδρότητα ή υπερβολική ένταση και ξεφεύγει από το συνηθισμένο, συχνό σε δημοσιογραφικά και μεταφορικά συμφραζόμενα",fierce : event or state marked by extreme intensity or violence,"['σφοδρός', 'ορμητικός', 'βίαιος', 'ακραίος']","['fierce', 'harsh', 'violent', 'intense']","Όταν σε ρίξουν σ' ένα βαθύ άγριο ποτάμι και το περάσεις κολυμπώντας, με κίνδυνο εκατό φορές την ώρα να πνιγείς, στάσου στην όχθη και σφύριζε γλυκά ένα τραγουδάκι.",0.47,dmc
EL257,αγριότητα,NOUN,0.49,Behavioral Trait,Kατάσταση βίαιης και απάνθρωπης συμπεριφοράς,"condition of cruel, inhuman behavior","['βαρβαρότητα', 'σκληρότητα', 'ωμότητα']","['cruelty', 'barbarity', 'brutality']","Αγία Παρασκευή: 18χρονοι Ρομά χτύπησαν με αγριότητα και λήστεψαν ηλικιωμένο. Μια απ'τις πολλές καθημερινές ειδήσεις στο ελλαδιστάν!Που είναι εδω τα #metooGR ,οι πορείες κ τα συναφή?Προσέχετε,ηλικιωμένοι και μή,τι ψηφίζετε!!! #Ελλάδα #κοινωνια",0.84,ddp
EL257,αγριότητα,NOUN,0.49,Event,Συγκεκριμένη πράξη βίας ή βαρβαρότητας,particular act of violence or brutality,"['ωμότητα', 'κακοποίηση', 'θηριωδία']","['atrocity', 'outrage', 'savagery']",Πιπιλή: Να θυμηθούμε τι γινόταν με τις αγριότητες του ΣΥΡΙΖΑ του 4%,0.59,ddp
EL253,αγροίκος,NOUN,0.66,Person,"Άτομο αγενές, χωρίς τρόπους και κοινωνική λεπτότητα","boorish, uncouth person","['χωριάτης', 'χοντροκομμένος', 'ακατέργαστος', 'άξεστος']","['boor', 'lout', 'uncouth person', 'churl']","Εδώ έκαναν ήρωα τον θρασύδειλο γιο της Ντίνας της κουφής που σκότωνε κόσμο χωρίς λόγο πισώπλατα, δεν θα θα αποθέωναν έναν αγροικο τύποις γιατρο που προτείνει στους ασθενείς φάρμακα για άλογα; #mpeee",0.8,ddp
EL253,αγροίκος,NOUN,0.66,Behavioral Trait,Λόγος ή πράξη χωρίς λεπτότητα και χωρίς σεβασμό στους κανόνες ευγένειας,boorish behaviour : coarse act lacking manners,"['άξεστη συμπεριφορά', 'αγενές φέρσιμο', 'χοντροκοπιά', 'τραχύτητα']","['boorishness', 'rudeness', 'crudeness', 'roughness']",«Η αγροίκα συμπεριφορά της δυσκόλεψε την απόλαυση του φαγητού.»,,ddp
EL877,αγυρτεία,NOUN,0.61,Repetitive_Action,Συνεχής άσκηση εξαπάτησης με ψεύτικες υποσχέσεις ή τεχνάσματα,habitual practice of fraud and trickery,"['απατεωνιά', 'μαϊμουδιά', 'λαμογιά', 'κομπίνα']","['charlatanism', 'fraud', 'scam', 'trickery']","Εισοδηματίες, κεφαλαιούχοι - επενδυτές. Αστοί με τίτλους αγυρτίας, ηθικολόγοι υποκριτές. Μεταμφιεσμένοι παρθένες της εγκράτειας, απατεώνες..",0.91,ddp
EL871,αγύρτης,NOUN,0.67,Person,Άτομο που εξαπατά άλλους προσποιούμενο ειδικές γνώσεις ή δυνάμεις,person who deceives by posing as expert or healer,"['απατεώνας', 'κομπογιαννίτης', 'μαϊμού', 'λαμόγιο']","['charlatan', 'fraudster', 'quack', 'con artist']","Προσοχή στους αγύρτες και τους ψευδοπροφήτες που παρασύρουν τους πιστούς, προειδοποιεί η Εκκλησία της Ελλάδος",0.69,cds
EL836,αδερφή,NOUN,0.43,Person,Γυναίκα που έχει αφιερωθεί σε μοναχικό βίο σε χριστιανικό τάγμα,nun : woman living under religious vows,"['μοναχή', 'καλόγρια']","['nun', 'sister (religious)', 'monastic']","«Η αδερφή μου, είναι μοναχή. Είναι μια αντάρτισσα…»",,om
EL836,αδερφή,NOUN,0.43,Person,Υβριστικός όρος που χρησιμοποιείται για ομοφυλόφιλο άνδρα,slur for a homosexual man,"['πούστης', 'γκέι', 'λουλού', 'τρελλή']","['faggot', 'queer', 'gay man (slur)', 'poof']","Η συζήτηση δεν συνεχίστηκε, διότι η δίκιά μου θα έβγαλε το συμπέρασμα ότι ή ήμουν απένταρος ή αδερφή.",0.75,om
EL1158,αδηφαγία,NOUN,0.49,Repetitive_Action,Έξη υπερβολικής κατανάλωσης φαγητού χωρίς μέτρο,habit of excessive food consumption,"['λαιμαργία', 'καταβροχθισμός', 'φαγοπότι']","['gluttony', 'voracity', 'overeating']","Πήγαν τα ρεμάλια και δώσανε 130 εκ για να φτιάξουν το φωτοβολταῑκό στην Κοζάνη, μια περιοχή με 20% ηλιοφάνεια τον χρόνο, αντί να το φτιάξουν στην Πελοπόννησο ή στην Κρήτη. Το αντίστοιχο στην Ισπανία στοίχισε 40. Δεν έχει πάτο η αδηφαγία τους #κυβερνηση_συμμορια",0.84,svp
