pos	category	stereotype	lemma	level
a	ddp	yes	необразован	conservative
n	cds	no	Хиперсексуалност	conservative
n	ps	yes	хибрид	inclusive
n	re	no	пускането на смърт	inclusive
n	an	no	animalculum	inclusive
n	cds	no	хой polloi	inclusive
n	cds	no	сноб	conservative
n	asf	no	мацка	conservative
n	an	no	Стелна крава	inclusive
n	pa	yes	касиер за продажба на билети	inclusive
n	pr	no	Проститутки	inclusive
n	re	no	правонарушения	inclusive
n	cds	no	culchie	inclusive
n	an	no	бизон	inclusive
n	svp	no	стотинка прищипване	inclusive
n	cds	no	страхливост	inclusive
n	om	no	травестити	inclusive
n	is	yes	обедняване	inclusive
n	pr	no	Куртизанка	inclusive
n	om	no	изнасилил	inclusive
n	an	no	говеда	inclusive
n	svp	no	conceitedness	conservative
n	qas	no	метални отпадъци	inclusive
n	cds	no	стражар	conservative
n	asf	no	палячо	conservative
n	qas	no	пиянство	inclusive
n	re	no	убийство първа степен	inclusive
n	re	no	фалшиви обвинения	inclusive
n	dmc	yes	неистина	inclusive
n	an	no	повлекана	conservative
n	an	no	прасе	conservative
n	ps	yes	изкупителна жертва	conservative
n	an	no	порочност	conservative
n	qas	no	къща художник и декоратор	inclusive
n	cds	no	gossipmonger	conservative
n	ps	yes	жълт картон	inclusive
n	qas	no	агрономи	inclusive
n	cds	no	рода	inclusive
n	cds	no	разбойник	inclusive
n	cds	no	немарлив човек	conservative
n	an	no	culex pipiens	inclusive
n	qas	no	Конформизъм	inclusive
n	ddp	yes	неведение	conservative
n	ddp	yes	зверчето	conservative
n	om	no	бедрата	inclusive
n	cds	no	теоретиците на конспирацията	inclusive
n	pa	yes	обикновен професор	inclusive
n	an	no	микроби	inclusive
n	an	no	лешояд	inclusive
n	re	no	коза ностра	inclusive
n	cds	no	strikebreakers	inclusive
n	re	no	престъпления	inclusive
n	re	no	тероризъм	inclusive
n	an	no	макрофауна	inclusive
a	qas	no	обичаен	inclusive
n	cds	no	Религиозен тероризъм	inclusive
n	an	no	коза антилопа	inclusive
n	svp	no	разврат	inclusive
n	re	no	maligner	conservative
n	qas	no	размирник	conservative
n	om	no	midclavicular линия	inclusive
n	ddp	yes	twirp	conservative
n	svp	no	похотливи	inclusive
n	svp	no	скука	inclusive
n	dmc	yes	фанатизъм	conservative
n	an	no	абдал	conservative
a	cds	no	обикновен	inclusive
a	svp	no	ленив	conservative
n	cds	no	нежелана поща	inclusive
n	an	no	vipera берус	inclusive
n	om	no	derriere	inclusive
n	re	no	крадец с взлом	inclusive
n	cds	no	whiner	conservative
n	ddp	yes	порочност	conservative
n	cds	no	сводница	inclusive
n	qas	no	Слабини	inclusive
n	an	no	Акулообразни	inclusive
n	pr	no	куртизанки	inclusive
a	dmc	yes	лъжлив	conservative
n	ps	yes	червен картон	inclusive
n	cds	no	камората	inclusive
n	dmc	yes	нещастник	inclusive
n	cds	no	смес	inclusive
n	asm	no	чекия	conservative
n	pr	no	проститутка	conservative
n	cds	no	тоалетната	inclusive
n	cds	no	твърди битови отпадъци	inclusive
n	re	no	охулител	conservative
n	pr	no	мъжката проституция	conservative
n	ddf	yes	физически увреждания	inclusive
n	an	no	американски бизон	inclusive
n	dmc	yes	отблъснат	inclusive
n	ddp	yes	Животни	inclusive
n	cds	no	банда култура	inclusive
a	dmc	yes	мизерен	conservative
n	cds	no	сватовник	inclusive
n	pa	yes	защитник	inclusive
n	qas	no	flub	inclusive
n	dmc	yes	развратник	conservative
n	svp	no	avariciousness	inclusive
n	pa	yes	advocator	inclusive
n	re	no	гърчене	inclusive
n	ps	yes	карък	conservative
n	ps	yes	Цигани	inclusive
n	an	no	кукумявка	inclusive
n	ps	yes	Зулуси	inclusive
a	an	no	инат	inclusive
n	asm	no	Глупости	conservative
n	an	no	diddly-клек	conservative
n	dmc	yes	scattergood	inclusive
n	or	no	дървеняк	conservative
n	an	no	пола преследвач	conservative
n	pr	no	hetaira	inclusive
n	dmc	yes	безделник	conservative
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	asm	no	ерекция на пениса	inclusive
n	ps	yes	Ромски	inclusive
n	pa	yes	овчарка	inclusive
n	cds	no	git	conservative
n	or	no	хоп	conservative
a	an	no	скотски	conservative
n	an	no	улица момиче	conservative
n	cds	no	наивник	conservative
n	ddp	yes	глупав човек	conservative
n	cds	no	самомнителност	conservative
n	qas	no	барака	inclusive
a	ddp	yes	състояние	inclusive
n	re	no	въоръжен грабеж	inclusive
n	cds	no	фундаменталисти	inclusive
n	an	no	diddlyshit	conservative
n	cds	no	хибрид	inclusive
n	an	no	измет	conservative
n	qas	no	боклук	inclusive
n	an	no	волове	inclusive
n	an	no	европейската жаба	inclusive
n	cds	no	семейство линия	inclusive
n	an	no	балон swallower	inclusive
n	cds	no	канализация	inclusive
n	pa	yes	работник	inclusive
n	cds	no	хаоса	inclusive
n	cds	no	фундаменталистки	inclusive
n	svp	no	superbia	conservative
n	an	no	зубър	inclusive
n	dmc	yes	лицемерно	conservative
n	cds	no	Нарцисизъм	inclusive
n	cds	no	еди-кой си	conservative
n	an	no	физиономия	inclusive
n	cds	no	loanshark	inclusive
n	cds	no	престъпник	inclusive
n	an	no	развратница	conservative
n	cds	no	сицилианската мафия	inclusive
n	qas	no	общата лице	inclusive
n	svp	no	инертност	conservative
n	pr	no	мърляв жена	conservative
n	om	no	контралатерална	inclusive
n	cds	no	weisenheimer	conservative
n	dmc	yes	Моцарела	inclusive
n	an	no	crocodilian	inclusive
v	cds	no	подслушам	inclusive
n	an	no	молец	inclusive
n	cds	no	banditti	conservative
n	ddp	yes	мухльо	conservative
n	ps	yes	doofus	conservative
n	cds	no	егоистично	conservative
n	dmc	yes	колебая dallier	conservative
n	qas	no	бизнесмени	inclusive
n	an	no	anguillidae	inclusive
n	pa	yes	специален пратеник	inclusive
n	an	no	ovis овен	inclusive
n	re	no	разбойник	inclusive
n	re	no	мъчител	inclusive
n	an	no	червеи	inclusive
n	is	yes	просяк	inclusive
n	ddp	yes	подменено	conservative
n	is	yes	бедстващите	inclusive
a	ddp	yes	животински	conservative
n	om	no	дирник	inclusive
n	pr	no	проституция	inclusive
n	cds	no	presumptuousness	conservative
n	qas	no	индустриалец	inclusive
n	qas	no	бизнесдама	inclusive
n	cds	no	Теории на конспирацията	inclusive
n	svp	no	niggardliness	conservative
n	pr	no	Проститутка	conservative
n	qas	no	използвач	conservative
n	an	no	домашни овце	inclusive
n	dmc	yes	тесногръдие	conservative
n	cds	no	зрител	conservative
n	an	no	неумолимост	conservative
n	an	no	hirudinea	inclusive
n	cds	no	кражба	inclusive
n	qas	no	каста	inclusive
n	cds	no	празник	inclusive
n	cds	no	wangler	conservative
n	dmc	yes	негоден за нищо	conservative
n	asm	no	подлец	conservative
n	dmc	yes	казуист	inclusive
n	an	no	варварство	inclusive
n	an	no	Бизони	inclusive
n	is	yes	нещо изхвърлено	inclusive
n	cds	no	миш-маш	inclusive
n	cds	no	младежки банди	inclusive
n	an	no	змиорка	inclusive
n	cds	no	казино хазарт	inclusive
n	pa	yes	uncouthness	conservative
n	re	no	Убийство	inclusive
n	dmc	yes	палячо	inclusive
n	re	no	traducement	inclusive
n	rci	yes	варвари	conservative
n	an	no	fuckhead	conservative
n	dmc	yes	неморално	inclusive
n	ps	yes	Сменено дете	conservative
n	an	no	брент	inclusive
n	re	no	плагиатства	inclusive
n	dmc	yes	промъкнем крадец	conservative
n	re	no	изнудван	conservative
n	an	no	Кафява крастава жаба	inclusive
n	cds	no	wank	conservative
a	svp	no	ревнив	conservative
n	re	no	детектив	inclusive
n	svp	no	Гняв	inclusive
n	qas	no	идеолог	inclusive
n	cds	no	пени страшен	inclusive
n	qas	no	пъстро-gatherum	inclusive
n	an	no	хиена	inclusive
n	ddf	yes	забраните	inclusive
n	dmc	yes	половин пинта	conservative
n	ddp	yes	непохватен човек	conservative
n	cds	no	учителка	conservative
n	an	no	crocodilia	inclusive
n	an	no	helix pomatia	inclusive
n	cds	no	подкупност	inclusive
n	om	no	опашната	inclusive
n	qas	no	бояджийски	inclusive
n	cds	no	къща с лоша репутация	inclusive
n	ps	yes	наивник	conservative
n	ddp	yes	тъпако	conservative
n	an	no	европейски бизон	inclusive
n	an	no	despoiler	inclusive
n	qas	no	лъжа́	conservative
n	ddp	yes	infauna	inclusive
n	cds	no	лихвар	conservative
n	cds	no	Шайлок	inclusive
n	or	no	щателност	inclusive
n	cds	no	път агент	conservative
n	dmc	yes	бандит	conservative
n	ps	yes	български	inclusive
n	qas	no	sodbuster	inclusive
n	or	no	взискателност	inclusive
n	cds	no	момче за поръчки	inclusive
n	cds	no	арогантност	conservative
n	an	no	phthiraptera	inclusive
n	asf	no	влагалище	conservative
a	svp	no	лаком	conservative
n	dmc	yes	Трикстер	conservative
n	cds	no	коляно	inclusive
n	cds	no	slews	inclusive
n	qas	no	смес	inclusive
n	cds	no	лъжльо	conservative
n	cds	no	нещастник	conservative
n	cds	no	самодоволство	inclusive
n	cds	no	гаф	inclusive
n	an	no	ѐдър рога̀т добѝтък	inclusive
n	cds	no	престъпна дейност	inclusive
n	re	no	престъпници	inclusive
n	re	no	калпазанин	inclusive
n	cds	no	учител	inclusive
n	asm	no	Препуциум	inclusive
n	or	no	meticulosity	inclusive
n	cds	no	стражар	inclusive
n	qas	no	бизнесмен	inclusive
n	cds	no	таратайка	inclusive
n	pa	yes	грубиян	conservative
n	cds	no	избиване	conservative
n	asm	no	кур	conservative
n	om	no	педера́ст	conservative
n	an	no	кърлежи	inclusive
a	om	no	хомосексуален	conservative
n	an	no	будала	conservative
n	cds	no	свободен зидар	inclusive
n	qas	no	баласт	inclusive
n	dmc	yes	трагичен злодей	conservative
n	cds	no	лъжа	conservative
n	qas	no	moocher	conservative
n	cds	no	грубиян	conservative
v	asm	no	еба	conservative
n	asm	no	пениса	inclusive
n	cds	no	подъл	conservative
n	cds	no	дързък отговор	inclusive
n	ddp	yes	глупост	conservative
n	qas	no	casteism	inclusive
n	cds	no	Коза ностра	inclusive
n	om	no	апикална	inclusive
n	pa	yes	допълнение факултет	inclusive
n	cds	no	котерия	inclusive
n	dmc	yes	libertinism	conservative
n	cds	no	интригант	inclusive
n	re	no	престъпна дейност	inclusive
n	cds	no	fawner	conservative
n	re	no	plagiarise	inclusive
n	dmc	yes	варварин	conservative
n	cds	no	грешник	conservative
n	asm	no	петел	inclusive
n	cds	no	безредие	inclusive
n	cds	no	остракизъм	inclusive
n	qas	no	собственик на бизнес	inclusive
n	ps	yes	Евреите	inclusive
n	an	no	гове́до	inclusive
n	om	no	tooshie	inclusive
a	dmc	yes	достоен за презрение	conservative
n	cds	no	пич	inclusive
n	cds	no	шут	inclusive
n	dmc	yes	социален аутсайдер	inclusive
n	cds	no	мафиот	conservative
n	qas	no	бракувам	conservative
n	cds	no	flub	inclusive
n	ps	yes	jigaboo	conservative
n	cds	no	протойерей	inclusive
n	asm	no	дяволите	conservative
n	asf	no	слива	conservative
n	re	no	мафиоти	conservative
n	dmc	yes	изтърсак	conservative
n	svp	no	безделие	inclusive
n	ps	yes	черен	inclusive
n	pr	no	блудство	conservative
n	an	no	gyps fulvus	inclusive
n	cds	no	dweeb	conservative
n	dmc	yes	варварски	conservative
n	cds	no	Фундаментализъм	inclusive
n	an	no	насеко́мо	inclusive
n	ps	yes	селекционер	inclusive
n	cds	no	цапотене	inclusive
n	cds	no	гангстери	inclusive
n	dmc	yes	скитник	inclusive
n	ddp	yes	умствена недостатъчност	inclusive
n	svp	no	апатични	inclusive
n	asm	no	пенис	inclusive
n	ps	yes	евреин	inclusive
n	cds	no	морализъм	inclusive
n	pr	no	конкубинат	inclusive
n	pr	no	rattus norvegicus	inclusive
n	dmc	yes	лош дъх	conservative
n	cds	no	кореспондент	inclusive
n	cds	no	главата turvyness	inclusive
n	cds	no	sharking заем	inclusive
n	cds	no	дендита	inclusive
n	cds	no	половин пинта	conservative
n	om	no	homophile	conservative
n	or	no	мърфи	inclusive
n	or	no	лапа	conservative
n	cds	no	страхливост	conservative
n	or	no	сминд	inclusive
n	cds	no	шеф	inclusive
n	qas	no	Бизнесмагнат	inclusive
n	dmc	yes	Бандит	inclusive
n	dmc	yes	Мистификация	conservative
n	re	no	Слеър	inclusive
n	pa	yes	адвокати	inclusive
n	svp	no	spiritlessness	inclusive
n	or	no	homophile движение	conservative
n	asm	no	vicia faba	inclusive
n	ddp	yes	невежество	conservative
v	is	yes	умолявам	inclusive
n	ps	yes	vandal	inclusive
n	rci	yes	коварния	conservative
n	dmc	yes	разбойник	conservative
n	cds	no	стада	inclusive
n	ddp	yes	дрън-дрън	inclusive
n	an	no	воловете	inclusive
n	re	no	акт на тероризъм	conservative
n	pa	yes	варварски	conservative
n	cds	no	незаконен	inclusive
n	cds	no	мръсотия	inclusive
a	svp	no	нападателен	conservative
n	pa	yes	Академик	inclusive
n	om	no	Травестизъм	inclusive
n	dmc	yes	фалшив	conservative
n	om	no	Анатомични термини за местоположение	inclusive
n	an	no	крокодил	inclusive
n	asm	no	широка боб	inclusive
n	qas	no	bloodhound	inclusive
n	an	no	инсе́кт	inclusive
n	ddp	yes	животни	inclusive
n	or	no	краставици	inclusive
n	an	no	бухал	inclusive
n	ps	yes	метиси	conservative
n	re	no	камората	inclusive
n	re	no	Гангстер	inclusive
n	dmc	yes	бездомник	inclusive
n	an	no	dumbass	conservative
n	or	no	dumbass	conservative
n	cds	no	тесногръдие	conservative
n	an	no	птица на минерва	inclusive
n	dmc	yes	delictum	inclusive
n	dmc	yes	гангстери	inclusive
n	pr	no	мъжка проститутка	conservative
n	svp	no	avaritia	inclusive
n	dmc	yes	измамни	conservative
n	cds	no	гаф макара	inclusive
n	asf	no	тъпак	conservative
n	an	no	raunch	conservative
n	an	no	изкупителна жертва	conservative
n	asm	no	flouter	conservative
