pos	category	stereotype	lemma	level
n	or	no	fata	inclusive
n	pr	no	moo-bó	inclusive
n	dmc	yes	dilly-dallier	conservative
n	an	no	bug leaba	inclusive
n	an	no	animalculum	inclusive
n	ps	yes	blackamoor	inclusive
n	re	no	rapist	conservative
n	qas	no	magniloquence	inclusive
n	cds	no	fine	inclusive
n	cds	no	culchie	inclusive
a	is	yes	brónach	inclusive
n	cds	no	teagascóir	inclusive
n	cds	no	demagog	conservative
n	cds	no	póraitheoirí plandaí	inclusive
n	ddp	yes	síofra	inclusive
n	asm	no	testicle	inclusive
n	cds	no	clann	inclusive
n	re	no	rapes	conservative
n	ddp	yes	ainmhithe	inclusive
n	dmc	yes	gan dídean	inclusive
n	svp	no	conceitedness	conservative
n	re	no	outlawed	inclusive
n	cds	no	áise poiblí	inclusive
n	cds	no	pomposity	inclusive
n	asm	no	fuck	conservative
n	asm	no	magairlí	inclusive
n	or	no	pit	conservative
n	om	no	homosexualism	inclusive
n	an	no	culex pipiens	inclusive
n	qas	no	blooper	inclusive
n	re	no	coir	inclusive
n	re	no	dúnbhásaithe	inclusive
n	cds	no	looker ar	conservative
n	cds	no	strikebreakers	inclusive
n	cds	no	úrscéalta dime	inclusive
n	or	no	dolt	conservative
n	cds	no	bookworm	conservative
n	svp	no	ard-handedness	conservative
n	cds	no	scads	inclusive
n	an	no	aries	inclusive
n	pr	no	hussy	conservative
a	ps	yes	giúdach	inclusive
n	ddp	yes	twirp	conservative
n	ddp	yes	ceann maróg	conservative
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	an	no	microorganism	inclusive
n	an	no	siorcanna	inclusive
n	an	no	dteagmháil bog	conservative
n	om	no	derriere	inclusive
n	ps	yes	vandal	inclusive
n	ddp	yes	quackery	conservative
n	cds	no	whiner	conservative
n	cds	no	bróicéir	inclusive
n	cds	no	egotism	conservative
n	cds	no	fanaticism	conservative
n	qas	no	hovel	inclusive
n	ps	yes	faisisteach	inclusive
n	pa	yes	bán-collar oibrithe	inclusive
n	an	no	cruimh	inclusive
n	pa	yes	mortician	inclusive
n	cds	no	idler	conservative
n	pa	yes	aire-counselor	inclusive
n	asm	no	Éin	inclusive
n	cds	no	barbaric	conservative
n	cds	no	fundamentalist	inclusive
n	ps	yes	negroes	inclusive
n	pr	no	whoredom	inclusive
n	dmc	yes	loiterer	conservative
n	qas	no	amaitéarach	inclusive
n	an	no	dunce	conservative
n	pr	no	bos taurus	inclusive
n	an	no	buar	inclusive
n	cds	no	schoolma'am	conservative
n	svp	no	niggardliness	conservative
n	qas	no	flub	inclusive
n	dmc	yes	mozzarella	inclusive
n	svp	no	avariciousness	inclusive
n	cds	no	retard	inclusive
n	asm	no	cockerel	inclusive
n	pr	no	bean slovenly	conservative
n	pa	yes	advocator	inclusive
n	om	no	bugaireacht	inclusive
n	pa	yes	garda doras	inclusive
n	an	no	moilisc	inclusive
n	an	no	caprinae	inclusive
n	or	no	daoine aeracha	conservative
n	dmc	yes	scattergood	inclusive
n	re	no	fuadaigh	inclusive
n	cds	no	ciontóir	inclusive
a	ddf	yes	aonsúileach	inclusive
n	pr	no	hetaira	inclusive
a	svp	no	fearg	inclusive
n	ddp	yes	blabber	conservative
n	cds	no	coireanna	inclusive
n	an	no	lunkhead	conservative
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	re	no	meirleachas	inclusive
n	cds	no	bungle	inclusive
n	cds	no	malefactor	conservative
n	dmc	yes	merry andrew	inclusive
n	ddp	yes	stupidity	conservative
n	re	no	killer	inclusive
n	an	no	profiteer	conservative
n	an	no	wisent	inclusive
n	asf	no	saphead	conservative
n	ddp	yes	prater	conservative
n	om	no	grá collaí de bhuachaillí	inclusive
n	ddp	yes	ninny	conservative
n	an	no	diddlyshit	conservative
n	om	no	homaighnéasach	conservative
n	an	no	bos taurus	inclusive
n	svp	no	mope	conservative
n	om	no	eireaballach	inclusive
n	dmc	yes	eisreachtú	inclusive
n	svp	no	eros	inclusive
n	dmc	yes	turncoat	conservative
n	asf	no	numskull	conservative
n	ps	yes	giúdachas	inclusive
n	cds	no	iasc lag	conservative
n	cds	no	lowlife	conservative
n	cds	no	méid	inclusive
n	pa	yes	barbarous	conservative
n	ddp	yes	informer	conservative
n	om	no	nance	conservative
n	cds	no	loanshark	inclusive
n	qas	no	caste	inclusive
n	an	no	animalcule	inclusive
n	re	no	chlúmhilleadh de charachtar	inclusive
n	cds	no	weisenheimer	conservative
n	ps	yes	zulus	inclusive
n	qas	no	commoners	inclusive
n	re	no	rustler	inclusive
n	an	no	crocodilian	inclusive
n	or	no	meticulousness	inclusive
n	cds	no	banditti	conservative
n	qas	no	testes	inclusive
n	re	no	éigniú	inclusive
n	ps	yes	doofus	conservative
n	re	no	maoin ghoidte	inclusive
n	dmc	yes	robúlaí	conservative
n	ddp	yes	fumbler	conservative
n	svp	no	leadránach	inclusive
n	an	no	anguillidae	inclusive
n	asf	no	stothóg	inclusive
n	pa	yes	cuntasóir	inclusive
n	re	no	coirpigh	inclusive
n	dmc	yes	sin-agus-sin	conservative
n	cds	no	presumptuousness	conservative
n	an	no	bata-i-an-láibe	conservative
n	asm	no	titim guy	conservative
n	cds	no	charlatan	conservative
n	cds	no	jerk-uaire	conservative
n	om	no	seó tarraing	inclusive
n	cds	no	antic	inclusive
n	an	no	sucker	inclusive
n	dmc	yes	homunculus	inclusive
n	cds	no	urchoisc	inclusive
n	an	no	hirudinea	inclusive
n	re	no	robbed	inclusive
n	cds	no	wangler	conservative
n	cds	no	gossipmonger	conservative
n	cds	no	líne teaghlaigh	inclusive
n	cds	no	crossbred	inclusive
n	an	no	ainmhithe	inclusive
n	cds	no	tréada	inclusive
n	qas	no	kennel	inclusive
n	pa	yes	uncouthness	conservative
n	dmc	yes	libertine	conservative
n	is	yes	niggard	conservative
n	cds	no	cuire	inclusive
a	asm	no	donn	inclusive
n	cds	no	theachtaire buachaill	inclusive
n	cds	no	foxiness	conservative
n	cds	no	moron	inclusive
n	pr	no	choimhdeacht fireann	conservative
n	an	no	fuckhead	conservative
n	asm	no	bollocks	inclusive
n	cds	no	snoop	conservative
n	cds	no	bréag	conservative
n	pr	no	bunkum	conservative
n	cds	no	wank	conservative
n	an	no	slob	conservative
n	qas	no	fib	conservative
n	asm	no	twerp	conservative
n	asf	no	óinseach	conservative
n	an	no	crocodilia	inclusive
n	an	no	helix pomatia	inclusive
n	cds	no	slob	conservative
n	asm	no	amadán	inclusive
n	qas	no	farrago	inclusive
n	ps	yes	mongoloid	conservative
n	rci	yes	barbaric	conservative
n	cds	no	eisreachtú	inclusive
n	cds	no	séaracht tís	inclusive
n	an	no	despoiler	inclusive
n	cds	no	homunculus	inclusive
n	cds	no	bluestocking	inclusive
n	pa	yes	academicians	inclusive
n	ddp	yes	infauna	inclusive
n	pa	yes	dlíodóirí	inclusive
n	ps	yes	mógal	inclusive
n	cds	no	nerdy	conservative
n	qas	no	ghnó ó	inclusive
n	cds	no	jailer	inclusive
n	qas	no	shack	inclusive
n	dmc	yes	rube	conservative
n	cds	no	boo boo-	inclusive
n	qas	no	sodbuster	inclusive
n	cds	no	ar-buille	inclusive
n	asf	no	technicality	inclusive
n	an	no	crocodilians	inclusive
n	pa	yes	suitor	inclusive
n	ddp	yes	leibide	conservative
n	cds	no	slews	inclusive
n	dmc	yes	hypocrisy	conservative
n	cds	no	síofra	inclusive
n	cds	no	sonny	inclusive
n	re	no	sceimhlitheoireacht	conservative
n	svp	no	ne'er-a dhéanamh-maith	conservative
n	an	no	mairteola	inclusive
n	re	no	raping	conservative
n	svp	no	dea-do-aon rud	conservative
n	cds	no	superbia	conservative
n	cds	no	poltroon	conservative
n	cds	no	garda príosún	inclusive
n	cds	no	cleasaí	inclusive
n	cds	no	boner	inclusive
n	qas	no	fear coiteann	inclusive
n	svp	no	gorger	conservative
n	cds	no	nigh seomra	inclusive
n	svp	no	gabhálacht	inclusive
n	an	no	leibide	conservative
n	cds	no	haughtiness	conservative
n	cds	no	traein bagáiste	inclusive
n	cds	no	narcissistic	inclusive
n	ddp	yes	blockhead	conservative
