pos	category	stereotype	lemma	level
n	svp	no	šeprtlja	conservative
n	cds	no	fašističkog režima	conservative
n	om	no	stražnjicu	inclusive
n	an	no	govnar	conservative
n	ps	yes	romske	inclusive
n	an	no	animalculum	inclusive
v	qas	no	griješiti	conservative
n	qas	no	nemilost	inclusive
v	qas	no	spetljati	conservative
n	cds	no	tračanje	inclusive
n	cds	no	kamarile	inclusive
n	cds	no	kazneno	conservative
n	cds	no	lihvarskim kreditima	inclusive
n	cds	no	culchie	inclusive
n	asf	no	budala	conservative
n	cds	no	klozet	inclusive
n	cds	no	nered	conservative
n	qas	no	vlasnik tvrtke	inclusive
n	cds	no	demagog	conservative
n	dmc	yes	dilly-dallier	conservative
n	dmc	yes	nitkov	conservative
n	or	no	koromač	inclusive
n	om	no	sodomist	inclusive
n	dmc	yes	grifter	conservative
n	qas	no	grubijan	conservative
n	svp	no	conceitedness	conservative
n	ps	yes	biljka uzgajivač	inclusive
n	dmc	yes	lažljivac	inclusive
n	an	no	muške prostitucije	conservative
n	pa	yes	ministar-savjetnik	inclusive
n	cds	no	hvalisavost	conservative
n	cds	no	zelenaš	conservative
n	cds	no	zahod	inclusive
n	cds	no	šeprtlja	conservative
n	om	no	homosexualism	inclusive
n	an	no	koze	inclusive
n	re	no	provalnik	inclusive
n	an	no	culex pipiens	inclusive
n	om	no	cross-dress	inclusive
n	pr	no	uličarka	conservative
n	pa	yes	zagovaratelj	inclusive
n	cds	no	vlastitoj	inclusive
n	cds	no	fanatizam	inclusive
n	cds	no	strikebreakers	inclusive
n	cds	no	klepetalo	conservative
n	an	no	inferioran	inclusive
n	ps	yes	krauthead	conservative
n	an	no	bezrepac	inclusive
n	pr	no	šljaka	conservative
n	cds	no	klanova	inclusive
n	pa	yes	računovođa	inclusive
n	svp	no	škrtost	inclusive
n	cds	no	gomila	inclusive
n	dmc	yes	slobodoumlje	conservative
n	cds	no	religioznost	inclusive
n	ps	yes	vandal	inclusive
n	asm	no	jebeni	conservative
n	cds	no	kredita sharks	conservative
n	cds	no	whiner	conservative
n	or	no	pedantnost	inclusive
n	svp	no	motiv škrtca	inclusive
n	cds	no	usporiti	inclusive
n	ddp	yes	osoba koja ispašta tuđe greške	conservative
n	cds	no	hulja	inclusive
n	an	no	fauna	inclusive
n	cds	no	provalnik	inclusive
n	an	no	rogonja	conservative
n	an	no	Žaba	inclusive
n	om	no	rit	inclusive
v	is	yes	zamoliti	inclusive
n	svp	no	seksualna privlačnost	inclusive
n	is	yes	siromaštva	inclusive
n	ps	yes	nigga	conservative
n	an	no	kokoš	inclusive
n	cds	no	instruktor	inclusive
n	dmc	yes	loiterer	conservative
n	pa	yes	savjetnik-at-zakon	inclusive
n	ddp	yes	imbecil	inclusive
n	an	no	papagaj	inclusive
n	cds	no	hahar	inclusive
n	cds	no	kriminalnog	inclusive
a	cds	no	protupravan	inclusive
n	cds	no	kuća prostitucije	inclusive
n	qas	no	flub	inclusive
a	ddp	yes	lud	conservative
n	cds	no	zabava	inclusive
n	svp	no	avariciousness	inclusive
n	qas	no	privrednik	inclusive
v	qas	no	upropastiti	conservative
n	cds	no	budala	conservative
n	cds	no	građevinski radnik	inclusive
v	re	no	mučiti	inclusive
n	dmc	yes	scattergood	inclusive
n	is	yes	oskudica	inclusive
n	qas	no	parazitizam	inclusive
n	qas	no	kolibi	inclusive
n	cds	no	zlotvor	conservative
n	om	no	anatomski izrazi za položaj	inclusive
v	cds	no	prežderavati se	inclusive
n	qas	no	amater	inclusive
n	an	no	blattaria	inclusive
n	cds	no	mnoštvo	conservative
n	cds	no	junk mail	inclusive
n	ps	yes	mestici	conservative
n	asm	no	sjemenik	inclusive
n	pa	yes	pastir	inclusive
n	cds	no	nevaljalost	conservative
n	is	yes	škrtac	conservative
n	cds	no	varalica	conservative
n	re	no	iznuditi	inclusive
n	cds	no	lihvar	inclusive
n	cds	no	hrpe	inclusive
n	ps	yes	fašistički	inclusive
n	cds	no	odgojitelj	inclusive
n	cds	no	kiks	inclusive
n	dmc	yes	laže	inclusive
n	an	no	diddlyshit	conservative
n	an	no	stjenica	inclusive
n	an	no	bos taurus	inclusive
n	asm	no	pijetla	inclusive
n	qas	no	poljoprivrednik	inclusive
v	re	no	mrcvariti	inclusive
n	an	no	muči	inclusive
n	cds	no	kanalizacijska cijev	inclusive
n	qas	no	smjese	inclusive
n	an	no	životinja	inclusive
n	cds	no	konspirativna teorija	inclusive
n	svp	no	superbia	conservative
n	cds	no	lowlife	conservative
n	dmc	yes	skitnica	inclusive
n	cds	no	medijator	inclusive
n	om	no	stražnjice	inclusive
n	cds	no	smeće	conservative
n	cds	no	nelegitimni	inclusive
n	om	no	nance	conservative
n	svp	no	razvratnost	inclusive
n	cds	no	odbaciti	conservative
n	dmc	yes	falsifikator	conservative
n	ddp	yes	budala	conservative
n	pa	yes	vrata straže	inclusive
n	cds	no	weisenheimer	conservative
n	cds	no	đavoljstvo	conservative
n	qas	no	retor	inclusive
n	asf	no	imbecil	conservative
n	cds	no	banditti	conservative
n	qas	no	pobrkati	inclusive
n	dmc	yes	smrditi	conservative
n	cds	no	fašizma	conservative
n	ps	yes	doofus	conservative
n	cds	no	sinko	inclusive
n	cds	no	slobodnih zidara	inclusive
n	dmc	yes	šeprtlja	conservative
n	dmc	yes	klaun	inclusive
n	asm	no	jaja	inclusive
n	cds	no	đukela	inclusive
n	re	no	otuđena imovina	inclusive
n	ps	yes	križana pasmina	inclusive
v	cds	no	umirati	inclusive
n	pa	yes	posebna molba	inclusive
n	re	no	član organizovane bande	inclusive
n	svp	no	nespretnjaković	conservative
n	dmc	yes	provesti sve-	inclusive
a	om	no	abnormalan	inclusive
n	cds	no	lukavost	conservative
n	dmc	yes	homunculus	inclusive
n	an	no	hirudinea	inclusive
n	cds	no	wangler	conservative
n	asf	no	prostak	conservative
n	cds	no	benda	inclusive
n	re	no	ubijanje	inclusive
n	cds	no	kriminalaca	inclusive
n	cds	no	učitelj	inclusive
n	ddp	yes	barbar	conservative
n	pa	yes	uncouthness	conservative
n	an	no	lice	inclusive
n	cds	no	banda	inclusive
n	dmc	yes	razbludnik	conservative
n	an	no	krpelj	inclusive
n	cds	no	toalet	inclusive
n	cds	no	mater	conservative
n	an	no	fuckhead	conservative
n	dmc	yes	hajduk	conservative
v	qas	no	prčkati	conservative
n	cds	no	bandi	conservative
n	cds	no	wank	conservative
n	svp	no	mirovanje	inclusive
a	qas	no	srednje klase	inclusive
a	om	no	homoseksualan	conservative
n	dmc	yes	otpadnik	conservative
n	an	no	štektanje	inclusive
n	pr	no	moljac	inclusive
n	cds	no	lopov	inclusive
n	dmc	yes	šljam torba	conservative
n	an	no	crocodilia	inclusive
n	or	no	kompresa	conservative
n	pa	yes	portir	inclusive
n	dmc	yes	pogriješiteljem	conservative
n	dmc	yes	negativca	conservative
n	cds	no	zabušant	conservative
n	cds	no	teorije zavjere	inclusive
n	svp	no	ponositost	inclusive
n	is	yes	izgnan	inclusive
n	om	no	rep	inclusive
n	an	no	despoiler	inclusive
n	cds	no	homunculus	inclusive
n	asf	no	idiotarija	conservative
n	om	no	zadnjica	inclusive
n	cds	no	barbari	conservative
n	asf	no	osoba koja ispašta tuđe greške	conservative
n	ddp	yes	infauna	inclusive
n	cds	no	krađa	inclusive
n	dmc	yes	grmalj	conservative
n	om	no	cross-dressers	inclusive
n	ps	yes	ostalih utrka	inclusive
n	dmc	yes	rube	conservative
n	re	no	ukradeni	inclusive
n	qas	no	napustio brod	inclusive
v	qas	no	packati	conservative
n	ddp	yes	balvan	conservative
n	om	no	sodomizirani	inclusive
n	an	no	mugilidae	inclusive
