pos	category	stereotype	lemma	level
n	cds	no	قوة	inclusive
n	om	no	نفس الجنس الجذب	inclusive
n	cds	no	خطأ فاضح	inclusive
n	cds	no	الماسونية	inclusive
n	an	no	ثعبان البحر	inclusive
n	cds	no	الجبن	conservative
n	re	no	إساءة استخدام	inclusive
n	an	no	animalculum	inclusive
n	cds	no	السارق	inclusive
n	om	no	مثلي الجنس	conservative
n	ddp	yes	جهل	inclusive
n	an	no	الحمير	inclusive
n	an	no	عنز	inclusive
n	an	no	بغل	inclusive
n	qas	no	عماره باروكيه	inclusive
n	ddp	yes	عته	inclusive
n	dmc	yes	زنديق	conservative
a	cds	no	العادية	inclusive
n	pr	no	خطابة لإرضاء الجمهور	conservative
n	cds	no	culchie	inclusive
n	cds	no	الحشوات	inclusive
n	pr	no	جون	conservative
n	cds	no	demagog	conservative
n	svp	no	الأكول	inclusive
n	dmc	yes	ثاني التصنيفات	conservative
n	rci	yes	متوحش	conservative
n	asm	no	testicle	inclusive
n	asf	no	كس	conservative
v	asm	no	استهزأ	conservative
n	dmc	yes	غش	conservative
n	cds	no	الثرثار	conservative
n	an	no	الأرنب	inclusive
n	cds	no	مصورين	inclusive
n	svp	no	البخيل	inclusive
n	re	no	سوء التصرف المالي	inclusive
n	svp	no	الاشمئزاز	inclusive
n	ddp	yes	التخلف	inclusive
n	asm	no	fuck	conservative
n	ps	yes	الجاهل	conservative
n	cds	no	المرابين	conservative
n	cds	no	الأبله	conservative
n	cds	no	كذبة	conservative
n	cds	no	مدير	inclusive
n	om	no	homosexualism	inclusive
n	cds	no	ديماجوجيه	conservative
a	svp	no	غلم	conservative
n	an	no	ضفدع الطين	inclusive
n	pr	no	إمرأة فاسقة	conservative
n	cds	no	القبيلة	inclusive
n	dmc	yes	المتواني	conservative
n	cds	no	أسقف	inclusive
n	cds	no	القواد	conservative
n	cds	no	النفايات البلدية	inclusive
n	or	no	كرنب	inclusive
n	re	no	الارهاب	inclusive
n	qas	no	مجال اليد	inclusive
n	cds	no	قطعان	inclusive
n	om	no	بطناني	inclusive
n	ddp	yes	برابرة	conservative
n	ddp	yes	مخلوق	inclusive
n	cds	no	strikebreakers	inclusive
n	an	no	البغال	inclusive
n	dmc	yes	شخص منبوذ	inclusive
n	cds	no	شخصيه نرجسيه	inclusive
n	an	no	الأفعوانية	inclusive
n	an	no	هجوم سمك القرش	inclusive
n	is	yes	منبوذة	inclusive
n	dmc	yes	الخداع	conservative
n	cds	no	المافيا الإيطالية	inclusive
n	asm	no	دلخ	conservative
n	om	no	نحو caudally،	inclusive
n	re	no	جنائي	inclusive
n	cds	no	وvillainess	conservative
n	is	yes	نذل	conservative
n	cds	no	scads	inclusive
n	an	no	mollusc	inclusive
n	dmc	yes	الشقي	inclusive
n	asm	no	البازلاء نبات	inclusive
n	pa	yes	رتبة الدبلوماسية	inclusive
n	asm	no	طائر	inclusive
n	pr	no	الجنس التجاري	conservative
n	an	no	نسر جريفون	inclusive
n	cds	no	الشفر	conservative
n	re	no	كوزا نوسترا	inclusive
n	dmc	yes	dissimulator	conservative
n	pr	no	بندقية مول	inclusive
n	an	no	البغل	inclusive
n	an	no	دجاجة	inclusive
n	cds	no	المرابي	conservative
n	an	no	بزاق	inclusive
n	dmc	yes	التزوير	inclusive
n	om	no	الرجال مثلي الجنس	inclusive
n	ddp	yes	غليظ	conservative
n	ddp	yes	واش	conservative
n	asm	no	زائدة	inclusive
n	an	no	الجلف	conservative
n	cds	no	الجرائم	inclusive
n	ps	yes	الواندال	inclusive
n	or	no	معتوه	conservative
n	ddp	yes	نقص العقلية	inclusive
n	qas	no	تابع أمين	inclusive
n	cds	no	كازينو القمار	inclusive
n	an	no	البق	inclusive
a	qas	no	مجنون	conservative
n	asf	no	معتوه	conservative
n	cds	no	الشخصية النرجسية	inclusive
n	ddp	yes	غباء	conservative
n	re	no	المشهر	conservative
n	asm	no	مرقس	conservative
n	re	no	تحرش	inclusive
n	cds	no	الأذى	conservative
n	pr	no	جرذ أسمر	inclusive
n	om	no	الأرداف	inclusive
n	cds	no	معلمة	conservative
n	an	no	الخنازير	inclusive
n	dmc	yes	متشرد	conservative
n	om	no	الجنس الشرجي	inclusive
a	dmc	yes	المتسخة	inclusive
n	cds	no	intergeneric الهجين	inclusive
n	an	no	مكروبات	inclusive
n	an	no	فم	inclusive
a	is	yes	المؤسف	inclusive
n	dmc	yes	المتعصب	conservative
n	pr	no	الماشية المحلية	inclusive
n	cds	no	رجل شرطة	inclusive
n	cds	no	بوليس	conservative
n	an	no	بوابة	conservative
n	an	no	بعوضة	inclusive
n	dmc	yes	المتشرد	conservative
n	pr	no	الجرذ الأسمر	inclusive
n	cds	no	كوزا نوسترا	inclusive
n	cds	no	schoolma'am	conservative
n	asf	no	غبي	conservative
n	asm	no	بليد	conservative
n	dmc	yes	خبيث	conservative
n	cds	no	عشرات	inclusive
n	an	no	بيسون أوروبيِ	inclusive
n	an	no	طور	inclusive
n	ddp	yes	براتر	conservative
n	cds	no	الوثنية	inclusive
a	qas	no	في العصور الوسطى	inclusive
n	dmc	yes	محتال	conservative
