n	dmc	yes	คนหยิบโหย่ง
a	qas	no	เคราะห์ร้าย
v	qas	no	ล้อเลียน
n	ddp	yes	คนไร้สติปัญญา
n	cds	no	ผู้นิยมลัทธิฟาสซิสต์
n	dmc	yes	คนผิด
n	an	no	เรื่องไร้สาระ
n	svp	no	คนไม่ชอบทำงาน
n	cds	no	แก๊งค์อันธพาล
v	qas	no	แหย่
n	cds	no	คนหมกมุ่น
a	svp	no	ก้าวร้าว
n	asf	no	คนสติไม่สมประกอบ
n	cds	no	พวกฟาสซิสต์
n	cds	no	ความคลั่งไคล้
n	re	no	การก่อการร้าย
a	cds	no	ที่ไม่สุจริต
n	or	no	ตุ๊ด
n	cds	no	คนเลี่ยงงาน
n	dmc	yes	คนมักง่าย
n	pa	yes	คนเถื่อน
n	pr	no	นางโลม
a	is	yes	ขี้ตืด
n	ps	yes	ชาวเยอรมัน
a	dmc	yes	เกียจคร้าน
n	an	no	คนน่ารังเกียจ
a	cds	no	โง่
n	an	no	แมงเม่า
n	or	no	คนสมองทึบ
v	asm	no	เสพกาม
n	qas	no	โกหก
n	cds	no	แก็งค์อาชญากรรม
n	an	no	คนโง่
n	qas	no	คนเถื่อน
n	svp	no	คนขี้เกียจ
n	re	no	คนโกง
n	cds	no	ไอ้หัวปิงปอง
n	pr	no	หญิงสกปรกเกียจคร้าน
n	ddp	yes	คนเถื่อน
n	cds	no	คนเจ้าเล่ห์
n	ddp	yes	คนโง่เง่า
n	dmc	yes	คนพูดโกหก
n	cds	no	เครื่องกีดขวาง
n	svp	no	นักกินแหลก
n	qas	no	เรื่องขี้โม้
n	an	no	ความโหดเหี้ยม
n	ddp	yes	คนระยำ
a	dmc	yes	ไร้รสนิยม
n	ddp	yes	คนชั้นต่ำ
n	cds	no	ความเท็จ
n	an	no	ตุ่น
n	om	no	ผู้ทุพพลภาพ
n	cds	no	เด็กเนิร์ด
n	an	no	นางแมวยั่วสวาท
n	ddp	yes	คนสะเพร่า
n	or	no	ชาวรักร่วมเพศ
n	svp	no	ความเปล่าประโยชน์
n	ddp	yes	วรรณกรรมไร้คุณค่า
n	ps	yes	ไอ้มืด
n	qas	no	คนระยำ
n	re	no	คนพาล
v	qas	no	ทำให้เสียหาย
n	ddp	yes	ประตูหลัง
n	cds	no	คำโกหก
n	rci	yes	คนงุ่มง่าม
n	dmc	yes	คนไร้สกุลรุนชาติ
n	ddp	yes	ตัวตลก
n	ddp	yes	อวิชชา
n	cds	no	คนขลาด
n	cds	no	คนพาล
n	ddp	yes	คนหลอกง่าย
n	dmc	yes	ผู้ทรยศ
n	pr	no	อีตัว
v	asm	no	ปี้
v	qas	no	ทำลวกๆ
a	svp	no	ขี้เกียจ
n	qas	no	คนไร้ค่า
n	cds	no	เด็กนรก
n	qas	no	กุ
a	ddf	yes	น่าเกลียด
n	ddp	yes	เหยื่อ
n	an	no	ดาวยั่ว
n	cds	no	โจรย่องเบา
n	re	no	มาเฟียอิตาลี
n	ps	yes	คนไม่เต็ม
n	dmc	yes	อันธพาล
n	qas	no	เรื่องโกหกมดเท็จ
n	cds	no	ความหยิ่งยโส
n	dmc	yes	คนเถื่อน
a	cds	no	ที่ทุจริต
n	asf	no	จิ๋ม
a	ddp	yes	ซึ่งไม่สามารถพอ
n	ddp	yes	คนเลวทราม
n	cds	no	คนชั้นต่ำ
n	an	no	ตัวตลก
n	svp	no	คนตายอดตายอยาก
n	cds	no	คนหลอกง่าย
n	cds	no	คนโง่เขลา
n	ddp	yes	กา่รร่วมเพศกับสัตว์
n	cds	no	คนไร้สกุลรุนชาติ
n	ps	yes	คนเซ่อซ่า
n	qas	no	เรื่องโกหก
n	dmc	yes	คนไม่เก่ง
n	qas	no	ความเท็จ
n	an	no	อีแร้ง
a	dmc	yes	หยาบคาย
n	or	no	เกย์
a	svp	no	ซึ่งโมโหง่าย
n	asf	no	หี
n	cds	no	คนขี้บ่น
n	an	no	เพื่อนกิน
n	cds	no	การคุยโม้
n	ddp	yes	ขาเมาท์
n	cds	no	นักเขียนรับจ้าง
n	cds	no	คนประจบสอพลอ
n	cds	no	คนโง่
n	an	no	คนไร้การศึกษา
n	an	no	คนซื่อ
n	ps	yes	คนซื่อ
n	an	no	คนแคระ
n	ddp	yes	คนปล่อยไก่
n	dmc	yes	คนขี้เกียจ
n	ddp	yes	เด็กงี่เง่า
n	cds	no	อันธพาล
n	cds	no	เรื่องไร้สาระ
n	re	no	มาเฟียซิซิลี
n	qas	no	ขอทาน
n	pr	no	แพศยา
n	ddp	yes	ความไม่รู้
n	cds	no	ของคัดออก
n	svp	no	ความทรนง
v	asm	no	หลับนอน
n	ps	yes	คนเปิ่น
a	an	no	ไร้สมอง
n	svp	no	คนกินจุ
n	cds	no	พวกมาเฟีย
n	dmc	yes	คนโกหก
n	cds	no	เจ้าหนี้
a	cds	no	หยาบคาย
a	is	yes	คับแคบ
n	ps	yes	คนไร้การศึกษา
n	cds	no	ขยะ
n	svp	no	คนเกียจคร้าน
n	cds	no	นายตำรวจ
n	ddp	yes	คนพูดไม่ชัด
v	asm	no	ร่วมเพศ
n	asf	no	หม้อ
n	cds	no	คนผิด
n	cds	no	คนเดินวางก้าม
n	re	no	ผู้เยาว์ผู้กระทำผิด
n	ddp	yes	การร่วมเพศกับสัตว์
n	re	no	คนชั่ว
n	svp	no	การคุยโม้
n	re	no	โจรจี้ชิงทรัพย์
n	dmc	yes	คนสะเพร่า
n	an	no	โสเภณี
n	ddp	yes	ผู้รับเคราะห์
n	asf	no	คนเปิ่น
n	om	no	คนรักร่วมเพศ
n	cds	no	คนหลอกลวง
n	qas	no	คนลักเล็กขโมยน้อย
n	cds	no	ตำรวจ
n	qas	no	คนซุ่มซ่าม
n	om	no	ชาวรักร่วมเพศ
n	or	no	ปิ๊
n	cds	no	คำโป้ปด
n	qas	no	คนชั้นต่ำ
n	svp	no	คนผัดวันประกันพรุ่ง
n	ps	yes	คนโง่
n	qas	no	คนผิด
n	dmc	yes	ผู้หลอกลวง
n	cds	no	อติมานะ
n	dmc	yes	โจรจี้ปล้น
n	asm	no	ดอกจำปี
n	svp	no	นิสัยตะกละ
n	ddp	yes	คนผิด
n	dmc	yes	ผู้เคราะห์ร้าย
n	ps	yes	คนเถื่อน
a	svp	no	โลภ
n	asm	no	จ้าวโลก
n	an	no	คนโง่เขลา
n	pr	no	หญิงโสเภณี
n	cds	no	นักปลุกระดม
n	asf	no	โมะ
n	cds	no	ความทะลึ่ง
