pos	category	stereotype	lemma	level
n	an	no	blötdjur	inclusive
n	an	no	halelause padder	inclusive
n	om	no	gejo	conservative
n	cds	no	misdaad	inclusive
n	cds	no	Хиперсексуалност	conservative
n	asm	no	edhen	inclusive
n	re	no	ಭಯೋತ್ಪಾದನೆ	conservative
n	asm	no	ve'kese	inclusive
n	an	no	nilviäiset	inclusive
n	ps	yes	iudaism	inclusive
n	ps	yes	bulhari	inclusive
n	cds	no	قمارخانه	inclusive
n	cds	no	barbarian	conservative
n	cds	no	kàsínò	inclusive
n	an	no	iglur	inclusive
n	dmc	yes	오랑캐	conservative
n	asf	no	غىلاپ	conservative
n	pr	no	bakni	inclusive
n	an	no	ზვიგენები	inclusive
n	an	no	beester	inclusive
n	ps	yes	judaizmus	inclusive
n	ddp	yes	Нақұрыстық	inclusive
n	asm	no	פעניס	inclusive
n	re	no	மாஃப்பியா	inclusive
n	ps	yes	judah	inclusive
n	an	no	morgi	inclusive
n	an	no	tamfe	inclusive
n	re	no	Мафия	conservative
n	re	no	Мафія	inclusive
n	re	no	khủng bố	inclusive
n	ps	yes	jødedom	inclusive
n	an	no	Пуны	inclusive
n	qas	no	Смеса	inclusive
n	an	no	ワニ	inclusive
n	ps	yes	Վանդալներ	inclusive
n	re	no	Мафијаш	conservative
n	cds	no	காட்டுமிராண்டி	conservative
n	qas	no	testikulo	inclusive
n	an	no	buhaya	inclusive
n	asm	no	Яички	inclusive
n	is	yes	빈곤	inclusive
n	asm	no	suguti	inclusive
n	an	no	абдал	conservative
n	an	no	Говеда	inclusive
n	asm	no	Боьмаша	inclusive
n	an	no	vacă	inclusive
n	an	no	hausziege	inclusive
n	or	no	patates	inclusive
n	om	no	མཚན་མཐུན་དགའ་རོགས་སྒྲིག་པ།	inclusive
n	rci	yes	barbared	conservative
n	an	no	кука́вица	conservative
n	an	no	Ύαινα	inclusive
n	ps	yes	mongoled	inclusive
n	pr	no	heterocera	inclusive
n	cds	no	kumarhane	inclusive
n	an	no	Žaba	inclusive
n	re	no	ත්‍රස්තවාදය	conservative
n	or	no	геј	conservative
n	an	no	domacny pjas	inclusive
n	asm	no	བྱ།	inclusive
n	ps	yes	metys	conservative
n	asm	no	ലിംഗം	inclusive
n	or	no	pepino	inclusive
n	asf	no	niepełnosprawność intelektualna w stopniu znacznym	conservative
n	ddp	yes	ജന്തു	inclusive
n	an	no	Кокошки	inclusive
n	an	no	американски бизон	inclusive
n	pa	yes	diplomatic rank	inclusive
n	an	no	مینڈک	inclusive
n	an	no	insekter	inclusive
n	cds	no	Брокер	inclusive
n	ps	yes	Идиотия	conservative
n	qas	no	오랑캐	conservative
n	ddp	yes	hayvanlar	inclusive
n	an	no	rinne	inclusive
n	cds	no	Теории на заговор	inclusive
n	cds	no	фашистка	conservative
n	asm	no	茶色	inclusive
n	asm	no	ерекција	inclusive
n	asm	no	వృషణాలు	inclusive
n	ddp	yes	binensotta	inclusive
n	an	no	haizivis	inclusive
n	ps	yes	nero	inclusive
n	an	no	कीट	inclusive
n	cds	no	stabmeldystė	inclusive
n	qas	no	amater	inclusive
n	ddp	yes	meti	inclusive
n	qas	no	mixuro	inclusive
n	asm	no	sjemenik	inclusive
n	an	no	จระเข้	inclusive
n	re	no	plágium	inclusive
n	ps	yes	judaísmo	inclusive
n	qas	no	дивјак	conservative
n	om	no	Ҳамҷинсгароӣ	inclusive
n	ps	yes	jøde	inclusive
n	ps	yes	giudaissem	inclusive
n	cds	no	קאסינא	inclusive
n	cds	no	ipersessualità	conservative
n	an	no	animol	inclusive
n	cds	no	性慾亢進	conservative
n	cds	no	Казіно	inclusive
n	or	no	tattie	inclusive
n	ps	yes	bulgaarlased	inclusive
n	ps	yes	người do thái	inclusive
n	an	no	bos taurus	inclusive
n	an	no	kutya	inclusive
n	re	no	கருத்துத் திருட்டு	inclusive
n	ps	yes	Монгол үндэстэн	inclusive
n	an	no	allqu	inclusive
n	ddp	yes	idiotas	conservative
n	ps	yes	bárbaro	conservative
n	is	yes	Àìní	inclusive
n	an	no	크로커다일과	inclusive
n	ps	yes	bulgaroj	inclusive
n	an	no	tōng-bu̍t	inclusive
n	cds	no	копито	conservative
n	asf	no	rakha	conservative
n	ps	yes	svartur	inclusive
n	qas	no	retórica	inclusive
n	an	no	كپېړ	inclusive
n	ps	yes	vandals	inclusive
n	pr	no	rund	inclusive
n	an	no	Справжні крокодили	inclusive
n	cds	no	フリーメイソン	inclusive
n	is	yes	kemiskinan	inclusive
n	an	no	აფთარი	inclusive
n	ps	yes	judaïsme	inclusive
n	an	no	Комахи	inclusive
n	pr	no	tamkvæg	inclusive
n	is	yes	wakcha	inclusive
n	ps	yes	ロマ	inclusive
n	cds	no	ufashisti	conservative
n	ps	yes	Монголлар	inclusive
n	ps	yes	metisas	conservative
n	ps	yes	beltz	inclusive
n	an	no	hyenor	inclusive
n	an	no	bløtdyr	inclusive
n	an	no	chʼosh bijáád hastání	inclusive
n	pr	no	gwyfyn	inclusive
n	pr	no	inkomazi	inclusive
n	asm	no	دول	inclusive
n	ddp	yes	beester	inclusive
n	cds	no	цајкан	conservative
n	asf	no	hlboká duševná zaostalosť	conservative
n	cds	no	fascismu	conservative
