pos	category	stereotype	lemma	level
n	re	no	hırsız	inclusive
a	an	no	bitli	inclusive
n	pr	no	gevşek kadın	conservative
n	cds	no	hırsız	conservative
n	cds	no	şarlatan	conservative
n	cds	no	eşkıyalık	inclusive
n	an	no	akbabalar	inclusive
n	cds	no	yığın	inclusive
n	an	no	animalculum	inclusive
n	cds	no	muhabbet tellalı	conservative
n	pr	no	hayat kadını	conservative
n	dmc	yes	hain	conservative
n	om	no	makat	inclusive
n	or	no	hıyar	inclusive
a	cds	no	sıradan	inclusive
n	cds	no	culchie	inclusive
n	asf	no	budala	conservative
n	cds	no	demagog	conservative
n	cds	no	kibir	inclusive
n	an	no	hayvanların sınıflandırılması	inclusive
n	an	no	kevaşe	conservative
n	re	no	kirli para	inclusive
n	svp	no	conceitedness	conservative
n	is	yes	düşük gelirli	inclusive
n	cds	no	radikal dincilik	inclusive
n	ps	yes	salak	conservative
n	dmc	yes	aldatıcı	conservative
n	an	no	katır	inclusive
n	svp	no	kibir	conservative
n	qas	no	halk	inclusive
n	an	no	sipariş crocodylia	inclusive
n	ddf	yes	bücür	conservative
a	cds	no	yasa dışı	inclusive
n	om	no	homosexualism	inclusive
n	cds	no	akrabalık grubu	inclusive
n	qas	no	platin	inclusive
n	ddp	yes	zihinsel engelli	inclusive
n	qas	no	blooper	inclusive
n	cds	no	hattat	conservative
n	cds	no	çocuk suçlu	conservative
n	cds	no	mess-up	inclusive
n	svp	no	miskin	conservative
n	dmc	yes	yalancı	inclusive
n	cds	no	öğretmen	conservative
n	cds	no	şantajcı	inclusive
n	qas	no	köylü sınıfı	inclusive
n	pa	yes	avukatlık	inclusive
n	cds	no	scads	inclusive
n	cds	no	mason	inclusive
n	an	no	pediculus humanus	inclusive
n	cds	no	yobaz	conservative
n	an	no	biti emme	inclusive
n	cds	no	rustler	inclusive
n	dmc	yes	dissimulator	conservative
n	cds	no	karmakarışık şey	inclusive
n	qas	no	burjuvazi	inclusive
n	cds	no	olmazsa	inclusive
n	or	no	ahmak	conservative
n	or	no	patates	inclusive
n	pa	yes	profesör doktor	inclusive
n	cds	no	sürü	inclusive
n	svp	no	cimrilik	inclusive
n	ps	yes	kurban	conservative
n	dmc	yes	yobaz	conservative
n	an	no	dağ keçileri	inclusive
n	an	no	yabandomuzu	inclusive
n	an	no	fauna	inclusive
n	asf	no	mankafa	conservative
n	an	no	enayi	inclusive
n	asm	no	glans penis	inclusive
n	dmc	yes	beyaz yalan	inclusive
n	cds	no	hızlı bir	inclusive
n	qas	no	yalan	conservative
n	asm	no	erkeklik organı	inclusive
n	dmc	yes	ikiyüzlülük	conservative
n	cds	no	İrtica	conservative
n	an	no	atık	conservative
n	dmc	yes	boş gezenin boş kalfası	conservative
n	an	no	fizyonomi	inclusive
n	pr	no	whoredom	inclusive
n	asm	no	kahrolası	conservative
n	om	no	drag queen	inclusive
n	an	no	sürtük	conservative
n	om	no	götveren	conservative
n	qas	no	ortak bir adam	inclusive
n	an	no	olmanın animasyon	inclusive
n	ddp	yes	mental retardasyon	inclusive
n	re	no	suç	inclusive
n	ddp	yes	hayvanlar	inclusive
n	svp	no	avariciousness	inclusive
n	asm	no	cockerel	inclusive
n	pa	yes	arabacı	inclusive
n	an	no	branta bernicla	inclusive
n	om	no	erkek cinselliği	inclusive
n	dmc	yes	gangsterler	inclusive
n	an	no	caprinae	inclusive
a	is	yes	talihsiz	inclusive
n	re	no	terör örgütü	inclusive
a	ddf	yes	özürlü	inclusive
n	cds	no	alay	inclusive
n	dmc	yes	scattergood	inclusive
n	an	no	küçük kukumav	inclusive
n	pr	no	hetaira	inclusive
a	ps	yes	çin	inclusive
n	cds	no	kendini tatmin	inclusive
n	an	no	lunkhead	conservative
n	an	no	tatanka	inclusive
n	an	no	culicidae	inclusive
a	is	yes	üzgün	inclusive
n	an	no	blattaria	inclusive
n	asf	no	beyinsiz	conservative
a	om	no	eş cinsel	conservative
n	an	no	kaşlarını çatmak	inclusive
n	qas	no	işadamları	inclusive
n	cds	no	yiyicilik	conservative
n	or	no	aptal kişi	conservative
n	cds	no	embesil	inclusive
n	an	no	krokodiller	inclusive
n	cds	no	haber muhabiri	inclusive
n	pr	no	sosyetenin renkli siması	inclusive
n	asm	no	kahverengi	inclusive
n	cds	no	halk	inclusive
n	re	no	görevi kötüye	inclusive
n	an	no	wisent	inclusive
a	ddf	yes	görmez	inclusive
n	ddf	yes	sakatlık	inclusive
n	pr	no	metresi	conservative
n	an	no	diddlyshit	conservative
n	ps	yes	doğal melez	inclusive
n	an	no	bos taurus	inclusive
n	cds	no	motley fool	inclusive
n	ps	yes	çingene	conservative
n	svp	no	eros	inclusive
n	dmc	yes	pot kıran kimse	conservative
n	pr	no	sokak kadını	conservative
n	svp	no	superbia	conservative
n	cds	no	yaramaz	conservative
n	om	no	rezene	inclusive
n	pr	no	saçmalık	conservative
n	cds	no	suç fesat	conservative
n	ddp	yes	embesil	conservative
n	pa	yes	savunucusu	inclusive
n	an	no	dağ engereği	inclusive
n	re	no	haydut	conservative
n	om	no	nance	conservative
n	cds	no	çamaşır askısı	inclusive
n	ddp	yes	budala	conservative
n	cds	no	ıslah memuru	inclusive
n	cds	no	serbest ve kabul masonlar	inclusive
n	cds	no	weisenheimer	conservative
n	om	no	travestilik	inclusive
n	an	no	baykuşumsular	inclusive
n	om	no	nonoş	conservative
n	an	no	crocodilian	inclusive
n	cds	no	ufak tefek şeyler	inclusive
n	an	no	aldatmak	conservative
n	qas	no	mürettebat	inclusive
n	pa	yes	aşık	inclusive
n	asm	no	yarak	inclusive
n	an	no	kerata	conservative
n	an	no	yerli sığır	inclusive
n	re	no	kasıtsız öldüren kimse	inclusive
n	ps	yes	doofus	conservative
n	an	no	anguillidae	inclusive
n	cds	no	avam	inclusive
n	asm	no	erkek üreme organları	inclusive
n	ddp	yes	ferociousness	conservative
n	cds	no	gayrimeşru çocuk	inclusive
n	or	no	ekili lahana	inclusive
n	re	no	silahlı soyguncu	inclusive
a	is	yes	fakir	inclusive
n	cds	no	presumptuousness	conservative
n	cds	no	baba	inclusive
n	cds	no	palavracı	conservative
n	an	no	kurban	conservative
n	pa	yes	çalışan	inclusive
n	cds	no	açıkgözlük	inclusive
n	ddp	yes	rumormonger	conservative
n	pa	yes	öğretim	inclusive
n	dmc	yes	homunculus	inclusive
n	dmc	yes	Şer	inclusive
n	an	no	hirudinea	inclusive
n	an	no	timsahlar	inclusive
n	qas	no	kulübesi	inclusive
n	ddp	yes	hıyarağası	conservative
n	ps	yes	yahudi ailenin	inclusive
n	cds	no	klikler	inclusive
n	pa	yes	cenaze	inclusive
n	cds	no	karışmak-cendereye	inclusive
n	pa	yes	cenaze kaldırıcısı	inclusive
n	ddp	yes	barbar	conservative
n	om	no	homoseksüel	inclusive
n	pr	no	floozie	conservative
n	pa	yes	uncouthness	conservative
n	cds	no	tefeciler	inclusive
n	asm	no	göt parçası	conservative
n	cds	no	polis	inclusive
n	is	yes	tamahkâr	conservative
n	an	no	sürçülisan	inclusive
n	cds	no	gönül rahatlığı	inclusive
n	an	no	viper	inclusive
n	ddp	yes	geveze	conservative
n	cds	no	aşk şarkıcısı	inclusive
n	cds	no	hırsızlık nedir	inclusive
n	cds	no	iyi bakılmış çocuk	inclusive
n	ddp	yes	safdil	conservative
n	is	yes	alçak	conservative
n	cds	no	yalan	inclusive
n	svp	no	serseri	conservative
n	an	no	crocodilia	inclusive
n	dmc	yes	kötülük	inclusive
n	an	no	helix pomatia	inclusive
n	re	no	ihlalleri	inclusive
n	an	no	kapa	inclusive
a	qas	no	delirmek	inclusive
n	qas	no	kötü iş gören kimse	conservative
n	ps	yes	mongoloid	conservative
n	dmc	yes	bumbler	conservative
n	cds	no	bilgiç	conservative
n	ddp	yes	masalcı	conservative
n	an	no	despoiler	inclusive
n	dmc	yes	sahte	inclusive
n	cds	no	putperestlik	inclusive
n	an	no	çehre	inclusive
n	ddp	yes	infauna	inclusive
n	om	no	medyan çizgi	inclusive
n	asm	no	fallik	inclusive
n	ddp	yes	orospu çocuğu	conservative
n	cds	no	astik	inclusive
n	cds	no	çeteler	conservative
n	cds	no	dillidüdük	conservative
n	qas	no	sodbuster	inclusive
n	cds	no	komisyoncu	inclusive
n	an	no	crocodilians	inclusive
n	ddp	yes	kötü iş gören kimse	conservative
n	pa	yes	çoban	inclusive
n	an	no	çapulcu	inclusive
n	re	no	suçlar	inclusive
n	or	no	salatalık asma	inclusive
n	om	no	puşt	inclusive
n	cds	no	avanak	conservative
n	cds	no	slews	inclusive
n	dmc	yes	şanssız	inclusive
n	an	no	karakurbağası	inclusive
n	is	yes	yoksullar	inclusive
n	an	no	yılan balığı	inclusive
n	qas	no	yumurtacık	inclusive
n	an	no	siğilli kurbağa	inclusive
n	cds	no	idol ibadet	inclusive
n	cds	no	yeni zengin	inclusive
n	om	no	kıç	inclusive
n	dmc	yes	sahtekâr	conservative
n	cds	no	superbia	conservative
n	an	no	minerva kuş	inclusive
n	qas	no	faul-up	inclusive
n	pa	yes	salon porter	inclusive
n	svp	no	gorger	conservative
n	cds	no	geciktirmek	inclusive
n	ps	yes	yahudilik	inclusive
n	ps	yes	siyahlık	inclusive
n	svp	no	gurur	inclusive
n	pr	no	sıçan	inclusive
n	ddp	yes	aptal	conservative
n	om	no	travestizm	inclusive
n	re	no	terörist	inclusive
n	pa	yes	araştırma profesörü	inclusive
n	re	no	vergi kaçakçısı	inclusive
n	cds	no	fundamentalizm	inclusive
n	dmc	yes	mürailik	conservative
n	re	no	şiddet	inclusive
n	asf	no	salak	conservative
n	om	no	oğlancılık	inclusive
n	cds	no	ostentatiousness	conservative
n	ddf	yes	engellilik	inclusive
n	asm	no	avrupa fasulye	inclusive
n	asf	no	amcık	conservative
n	an	no	kötü	conservative
n	cds	no	melez	inclusive
n	re	no	işkenceci	inclusive
n	an	no	İt	inclusive
n	cds	no	fawner	conservative
