pos	category	stereotype	lemma	level
n	asf	no	छोकरी	conservative
n	or	no	गोभी	inclusive
n	an	no	उल्लू	inclusive
n	dmc	yes	निकृष्टता	inclusive
n	om	no	पार्श्व	inclusive
n	cds	no	आत्मसंतोष	inclusive
n	cds	no	पता है यह सब	conservative
n	cds	no	टन	inclusive
n	pa	yes	दरवाजा गार्ड	inclusive
n	an	no	जूं	inclusive
n	ddp	yes	बातूनी	conservative
n	or	no	सूक्ष्म बातों पर ध्यान देना	inclusive
n	cds	no	बर्बर	conservative
n	cds	no	डरपोक	conservative
n	or	no	बंधगोभी	inclusive
n	cds	no	धर्माध्यक्ष	inclusive
n	cds	no	संकरण	inclusive
n	re	no	भयंकरता	inclusive
n	svp	no	conceitedness	conservative
n	asf	no	कोमल स्पर्श	conservative
n	qas	no	वजन बेल्ट	inclusive
n	svp	no	कामुक	inclusive
n	cds	no	कट्टरपंथी	inclusive
n	an	no	बकरा	inclusive
n	cds	no	राहज़नी	conservative
n	qas	no	बकवास	inclusive
n	cds	no	बीमार ख्याति के घर	inclusive
n	om	no	homosexualism	inclusive
n	an	no	animalculum	inclusive
n	cds	no	ढेर	inclusive
n	ddf	yes	आधा पिंट	conservative
n	an	no	कुछ भी नहीं पता	conservative
n	cds	no	चरम विंगर सही	conservative
n	pa	yes	शारीरिक	inclusive
n	cds	no	strikebreakers	inclusive
n	re	no	जबरन वसूली	inclusive
n	an	no	ब्रेंट	inclusive
n	dmc	yes	धर्मांध	conservative
n	cds	no	जापानी मापन इकाइयाँ	inclusive
n	asm	no	लिंग	inclusive
n	an	no	pediculus humanus	inclusive
n	cds	no	भार	inclusive
n	cds	no	अंडमुख	inclusive
n	cds	no	scammer	conservative
n	cds	no	पाख़ाना	inclusive
n	dmc	yes	अनैतिक	inclusive
n	ddp	yes	मति - मंद	conservative
n	cds	no	प्रांतिक	conservative
n	om	no	खींचें क्वीन्स	inclusive
n	dmc	yes	धोखेबाज़	conservative
n	cds	no	ऋण ठग्गू	conservative
n	cds	no	culchie	inclusive
n	re	no	दुष्कर्मी	inclusive
n	cds	no	पापी	conservative
n	asf	no	जड़वामन	conservative
n	an	no	गिद्धों	inclusive
n	pa	yes	प्रोफ़ेसर	inclusive
n	asm	no	मूर्खता	conservative
n	ddf	yes	अपंग	inclusive
n	cds	no	चोरों	inclusive
n	an	no	किलनी	inclusive
n	cds	no	गुस्ताखी	conservative
n	cds	no	schoolma'am	conservative
n	cds	no	परिवार	inclusive
n	qas	no	flub	inclusive
n	pa	yes	advocator	inclusive
n	re	no	अपराधियों	inclusive
n	an	no	कोमल स्पर्श	conservative
n	dmc	yes	scattergood	inclusive
n	pa	yes	कर्मचारी	inclusive
n	pa	yes	क्लर्क	inclusive
n	cds	no	backtalk	inclusive
n	pr	no	hetaira	inclusive
n	asf	no	लक्कड़	conservative
n	asm	no	बंद jacking	conservative
n	dmc	yes	छल	conservative
n	qas	no	व्याख्यान शास्त्र	inclusive
n	an	no	culicidae	inclusive
n	ps	yes	बदुइन	inclusive
n	an	no	घोंघा	inclusive
n	is	yes	कम आय वाले	inclusive
n	pr	no	जॉन	conservative
n	re	no	अवैधीकरण	inclusive
n	an	no	redfish	inclusive
n	asf	no	saphead	conservative
n	cds	no	कागज ढकेलनेवाला	inclusive
n	cds	no	मौन की साजिश	inclusive
n	dmc	yes	डकैत	inclusive
n	or	no	समलैंगिक	conservative
n	cds	no	किंवदंति	inclusive
n	an	no	हंसी	inclusive
n	an	no	diddlyshit	conservative
n	an	no	bos taurus	inclusive
n	ps	yes	संकरण	inclusive
n	svp	no	superbia	conservative
n	asf	no	औरत	conservative
n	ddp	yes	imbecile	inclusive
n	cds	no	lowlife	conservative
n	an	no	कैमान	inclusive
n	ddp	yes	कुंद	conservative
n	an	no	गधे	inclusive
n	ddp	yes	कंजूस	conservative
n	cds	no	loanshark	inclusive
n	cds	no	सामान ट्रेन	inclusive
n	svp	no	कंजूस	inclusive
n	om	no	नैन्स	conservative
n	cds	no	weisenheimer	conservative
n	ddp	yes	बौड़म	conservative
n	cds	no	banditti	conservative
n	cds	no	दूती	inclusive
n	ddp	yes	जंतु	inclusive
n	qas	no	व्यापारी	inclusive
n	cds	no	बुद्धू	inclusive
a	pa	yes	राजनीतिक	inclusive
n	ddp	yes	कैदी	inclusive
n	an	no	anguillidae	inclusive
n	cds	no	स्क्रैप	inclusive
n	cds	no	बिना सोचे समझे कह डालना	inclusive
n	cds	no	विधि - बहिष्कृत	inclusive
n	cds	no	जनजाति	inclusive
n	asf	no	विदूषक	conservative
n	ddp	yes	मानसिक मंदता	inclusive
n	pr	no	चूहों	inclusive
a	dmc	yes	मैला	inclusive
n	an	no	diddly-पलथी मारे हुए	conservative
n	an	no	hirudinea	inclusive
n	cds	no	wangler	conservative
n	pa	yes	नियंत्रक	inclusive
n	an	no	कीड़ा	inclusive
n	qas	no	kennel	inclusive
n	cds	no	फासीवाद	conservative
n	cds	no	मूर्ख	inclusive
n	om	no	लौंडेबाजी	inclusive
n	asm	no	bollocks	inclusive
n	re	no	दुराचार	inclusive
n	an	no	बिज्जू	inclusive
n	re	no	लापरवाही से काम करना	inclusive
n	re	no	माफ़िया	inclusive
n	cds	no	wank	conservative
n	cds	no	मुफ्त मेसन	inclusive
n	an	no	जूँ	inclusive
n	cds	no	ज़रख़ीदी	conservative
n	is	yes	भिखारी	conservative
n	an	no	crocodilia	inclusive
n	cds	no	मतावलंबी	conservative
n	or	no	आलु	inclusive
n	qas	no	आम आदमी	inclusive
n	or	no	नैन्स	conservative
n	an	no	ख़रगोश	inclusive
n	ps	yes	mongoloid	conservative
n	dmc	yes	bumbler	conservative
n	pa	yes	प्रोफेसर	inclusive
n	cds	no	पुलिस	inclusive
n	re	no	पीटा	inclusive
n	om	no	ड्रेसिंग पार	inclusive
n	pa	yes	प्रोफेसरों	inclusive
n	cds	no	उग्रपंथियों	inclusive
n	re	no	अपराधी	inclusive
n	cds	no	nerdy	conservative
n	cds	no	घरघरानेवाला	conservative
n	dmc	yes	बाल अपचारी	conservative
n	om	no	दुमदारी से fusing	inclusive
n	cds	no	evildoer	conservative
n	qas	no	sodbuster	inclusive
n	an	no	पिस्सू	inclusive
n	cds	no	घपला	inclusive
n	an	no	phthiraptera	inclusive
n	re	no	लुटेरों	inclusive
n	an	no	थूथन	inclusive
n	ps	yes	बदूइन	inclusive
n	cds	no	slews	inclusive
n	cds	no	सूदखोरी	inclusive
n	or	no	सौंफ	inclusive
n	an	no	अनाड़ी	conservative
n	asm	no	व्यापक सेम	inclusive
n	an	no	टिक	inclusive
n	qas	no	पेशेवर वर्ग	inclusive
n	pr	no	कसबी	conservative
n	an	no	लाल ड्रम	inclusive
n	cds	no	superbia	conservative
n	cds	no	मलजल	inclusive
n	asm	no	मटर	inclusive
n	or	no	meticulosity	inclusive
n	qas	no	थैलीशाह	inclusive
n	ddp	yes	अनापशनाप	inclusive
n	svp	no	gorger	conservative
n	dmc	yes	गंदगी	conservative
n	cds	no	देहाती	conservative
n	ddp	yes	बुद्धू	conservative
n	ps	yes	मूर्ख	conservative
n	qas	no	साहित्य शास्त्र	inclusive
