ID,Lemma,POS,Synset_ID,Synset_Lemma,Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
FR282,abruti,NOUN,Synset('omw-iwn-10197525-n'),"[abruti, attardé, bêta, con, connard, crétin, idiot, imbécile, tête_de_nœud]",une personne dont l'intelligence est inférieure à la normale,own,Quel abruti ! Il a encore oublié de fermer la porte à clé.,gen_AI,,,,,,,,
FR282,abruti,NOUN,Synset('omw-iwn-10358794-n'),"['abruti', 'benêt', 'cloche', 'con', 'connard', 'cornichon', 'crétin', 'dadais', 'demeuré', 'débile', 'gourde', 'imbécile', 'mal_cuit', 'niais', 'nigaud', 'poupe', 'ravi', 'simplet', 'sot']",une personne stupide et idiote,own,"Espèce d'abruti, tu ne comprends jamais rien même quand on te l’explique dix fois !








",gen_AI,,,,,,,,
FR3770,absurde,ADJ,Synset('omw-iwn-02570282-a'),"['absurde', 'imbécile', 'insensé', 'stupide']","Contraire à la raison, au bon sens, à la logique.",lr,"Pour ma part, je voudrais simplement dire qu'il est absurde de demander le maintien de l'expression «un costume ou caleçon de bain approprié à chaque sexe»",se,,,,,,,,
FR40,abus,NOUN,Synset('omw-iwn-00419908-n'),"['abus', 'maltraitance']","Mauvais usage d'un droit, d'une prérogative, d'un privilège.",lr,"Son autorité devient insupportable, c’est un véritable abus de pouvoir.",gen_AI,,,,,,,,
FR40,abus,NOUN,Synset('omw-iwn-00947719-n'),"['abus', 'fraude']",l'utilisation inappropriée ou excessive,own,L’abus d’écran chez les enfants est une forme de négligence parentale.,gen_AI,,,,,,,,
FR40,abus,NOUN,Synset('omw-iwn-06715223-n'),"['abus', 'affront', 'insulter', 'violation']",une expression grossière destinée à offenser ou à blesser,own,"Il n’a répondu qu’avec des abus, incapable d’argumenter calmement.",gen_AI,,,,,,,,
FR2545,acharnement,NOUN,Synset('omw-iwn-05037813-n'),"['acharnement', 'furie', 'férocité', 'violence']",La propriété d'être sauvage ou turbulent,own,L’acharnement de la foule contre le manifestant était d’une brutalité inexcusable.,gen_AI,,,,,,,,
FR2545,acharnement,NOUN,Synset('omw-iwn-07548100-n'),"['acharnement', 'animosité']",un sentiment de mauvaise volonté suscitant une hostilité active,own,Son acharnement contre ce collègue frôle l’obsession malveillante.,se,,,,,,,,
FR3531,adolescent,ADJ,Synset('omw-iwn-02602261-a'),['adolescent'],"Relatif à, propre à ou évoquant un adolescent",own,Son attitude adolescent trahit un manque de maturité flagrant.,gen_AI,,,,,,,,
FR3580,agresser,VERB,Synset('omw-iwn-00019792-v'),"['agresser', 'attaque', 'attaquer', 'prendre']",Commettre une agression sur.,lr,La jeune fille avait été La jeune fille avait été agressée en août 2016 par un homme et son complice.,se,,,,,,,,
FR3587,agresseur,NOUN,Synset('omw-iwn-09821253-n'),"['agresseur', 'assaillant', 'attaquant', 'attaqueur']","Personne, groupe qui attaque le premier.",lr,L' agresseur aurait pris la fuite juste après avoir sévis.,se,,,,,,,,
FR3574,agression,NOUN,Synset('omw-iwn-00767826-n'),"['agression', 'attaque', 'attentat']",une menace ou une tentative d’agression physique par quelqu’un qui semble capable de causer des lésions corporelles s’il n’est pas arrêté,own,Sa façon de lui hurler dessus en s’approchant brutalement relevait presque de l’agression.,gen_AI,,,,,,,,
FR3574,agression,NOUN,Synset('omw-iwn-00964569-n'),"['agression', 'hostilité']","action violente, hostile et généralement non provoquée",own,Ce commentaire déplacé est une agression gratuite envers quelqu’un qui n’a rien dit.,gen_AI,,,,,,,,
FR3574,agression,NOUN,Synset('omw-iwn-01221611-n'),['agression'],comportement délibérément inamical,own,"Son ton froid et méprisant à chaque réunion, c’est de l’agression passive.",gen_AI,,,,,,,,
FR3574,agression,NOUN,Synset('omw-iwn-01237167-n'),['agression'],l'acte d'ouverture des hostilités,own,L’annonce de cette réforme impopulaire a été perçue comme une agression contre les travailleurs.,gen_AI,,,,,,,,
FR3574,agression,NOUN,Synset('omw-iwn-04658268-n'),['agression'],une disposition à se comporter de manière agressive,own,Il est invivable : son agression permanente crée une tension insupportable dans l’équipe.,gen_AI,,,,,,,,
FR3574,agression,NOUN,Synset('omw-iwn-07548567-n'),"['agression', 'agressivité']",un sentiment d'hostilité qui suscite des pensées d'attaque,own,On sent chez elle une agression sourde dès qu’on ose la contredire.,gen_AI,,,,,,,,
FR212,animal,NOUN,[no_synset],[no_synset_lemma],"Personne stupide, brutale.",lr,"l se comporte comme un animal, sans aucune retenue ni respect.",gen_AI,,,,,,,,
FR3152,assassin,NOUN,Synset('omw-iwn-09813696-n'),"['assassin', 'meurtrier']",Personne qui commet un meurtre avec préméditation ou guet-apens.,lr,"Avec ses décisions froides et sans remords, c’est un assassin de la vérité.
",gen_AI,,,,,,,,
FR3138,assassinat,NOUN,Synset('omw-iwn-00220522-n'),"['assassinat', 'exécution', 'meurtre']",le meurtre d'un être humain par un autre être humain,own,Ce qu’il a fait à ce journaliste est un véritable assassinat déguisé.,gen_AI,,,,,,,,
FR3138,assassinat,NOUN,Synset('omw-iwn-00220522-n'),"['assassinat', 'exécution', 'meurtre']",Action de tuer volontairement un être humain.,lr,Son discours était un véritable assassinat de la langue française.,gen_AI,,,,,,,,
FR3138,assassinat,NOUN,Synset('omw-iwn-06719974-n'),['assassinat'],une attaque visant à ruiner la réputation de quelqu'un,own,L’assassinat froid et prémédité de ce témoin révèle la cruauté du régime.,gen_AI,,,,,,,,
FR238,attentat,NOUN,Synset('omw-iwn-00767826-n'),"['agression', 'attaque', 'attentat']",une menace ou une tentative d'agression physique par une personne qui semble en mesure de causer des dommages corporels si elle n'est pas arrêtée,own,"Ce qu’il a fait en pleine rue, c’était un attentat contre la sécurité publique.",gen_AI,,,,,,,,
FR238,attentat,NOUN,Synset('omw-iwn-00773814-n'),"['attaque', 'attentat']",l'action d'attaquer,own,Cette réforme est un attentat contre les droits fondamentaux des citoyens.,gen_AI,,,,,,,,
FR238,attentat,NOUN,Synset('omw-iwn-00979742-n'),"['attentat', 'bombardement']",l'utilisation de bombes à des fins de sabotage ; une tactique fréquemment utilisée par les terroristes,own,L’attentat a été revendiqué par un groupe extrémiste opposé au gouvernement.,gen_AI,,,,,,,,
FR238,attentat,NOUN,Synset('omw-iwn-01220619-n'),"['attaque', 'attentat']",critique sévère,own,Son discours est un attentat en règle contre l’intelligence humaine.,gen_AI,,,,,,,,
FR3487,aveugle,ADJ,Synset('omw-iwn-02158826-a'),['aveugle'],"Dont le jugement est incapable de rien discerner. Qui ne permet ni réflexion, ni jugement. (sens figuré) ",lr,Bon bah bien vu l'aveugle !,se,,,,,,,,
FR1301,baise,NOUN,Synset('omw-iwn-00846021-n'),"['baisage', 'baise', 'baiser', 'foutre', 'merde', 'putain', 'vis']",argot pour les rapports sexuels,own,"« ah, rien, je baise des meufs à la Baule ! »",se,,,,,,,,
FR2257,baiser,VERB,Synset('omw-iwn-01426397-v'),"['aimer', 'avoir', 'avoir_des_relations_sexuelles', 'baiser', 'bien', 'connaître', 'enconner', 'enculer', ""faire_l'amour"", 'fourrer', 'foutre', 'niquer', 'savoir']",avoir des rapports sexuels avec,own,"Il se vante d’avoir baisé la moitié de la ville, comme si c’était une médaille.",gen_AI,,,,,,,,
FR2257,baiser,VERB,[no_synset],[no_synset_lemma],"Duper, attraper.",lr,"Je me suis fait baiser par ce contrat, j’aurais dû lire les petites lignes.",gen_AI,,,,,,,,
FR423,bâtard,NOUN,Synset('omw-iwn-02804772-n'),['bâtard'],terme dérogatoire pour une variation qui n’est pas authentique; quelque chose d’irrégulier ou inférieur ou d’origine douteuse,own,"Ce vin est un bâtard, il n’a rien d’un grand cru malgré l’étiquette.",gen_AI,,,,,,,,
FR423,bâtard,NOUN,Synset('omw-iwn-09815188-n'),"['bâtard', 'connard', 'enculé', 'fils_de_putain', 'fils_de_pute', 'gland', 'putain', 'saloperie', 'tête_de_vier']","des termes insultants pour désigner des personnes stupides, irritantes ou ridicules",own,"J'aurais bien été tenté de traiter ces gens là de ""bâtards de fils de putes"" mais j'peux pas, chuis trop poli pour dire des grossièretés !",se,,,,,,,,
FR423,bâtard,NOUN,Synset('omw-iwn-10410815-n'),"['barbare', 'brute', 'bâtard', 'mufle', 'pignouf', 'rustre']","personne grossière, grossière, mal élevée, manquant de culture ou de raffinement",own,"C’est un vrai bâtard, incapable de se comporter correctement en société.",gen_AI,,,,,,,,
FR279,bêta,NOUN,Synset('omw-iwn-10197525-n'),"['abruti', 'attardé', 'bêta', 'con', 'concombre', 'connard', 'crétin', 'idiot', 'imbécile', 'retard', 'tête_de_nœud']",une personne d’intelligence subnormale,own,"Arrête de faire ton bêta, tu comprends toujours tout de travers.
",gen_AI,,,,,,,,
FR628,bêta,ADJ,Synset('omw-iwn-00439588-a'),"['bêta', 'idiot', 'stupide']",Dénué d'intelligence.,lr,"C’est une idée bêta, on voit tout de suite que ça ne peut pas marcher.",gen_AI,,,,,,,,
FR217,bête,NOUN,Synset('omw-iwn-09845589-n'),"['brute', 'bête', 'loup']",une personne cruellement rapace,own,"Ce type est une bête, prêt à écraser n’importe qui pour arriver à ses fins.",gen_AI,,,,,,,,
FR217,bête,NOUN,[no_synset],[no_synset_lemma],Personne inintelligente,lr,"Faire la bête, jouer l'ignorant.",lr,,,,,,,,
FR257,bêtise,NOUN,Synset('omw-iwn-05645597-n'),"['bêtise', 'stupidité']",Manque d'intelligence et de jugement.,lr,Il est d'une rare bêtise.,lr,,,,,,,,
FR257,bêtise,NOUN,Synset('omw-iwn-06608143-n'),"['baragouin', 'bêtise']",Action ou parole sotte ou maladroite.,lr,"Il accumule les bêtises, on dirait qu’il le fait exprès pour passer pour un idiot.",gen_AI,,,,,,,,
FR1205,bite,NOUN,Synset('omw-iwn-05526384-n'),"['Phallus', 'Pénis', 'bite', 'membre', 'phallus', 'pénis', 'verge']",l’organe mâle de la copulation,own,"Décidemment, la	bite	des blacks fait l'objet de toutes les sollicitations en ce moment ... ",se,,,,,,,,
FR3067,black,NOUN,[no_synset],[no_synset_lemma],Personne noire.,lr,"Décidemment, la	bite	des blacks fait l'objet de toutes les sollicitations en ce moment ... ",se,,,,,,,,
FR2222,bon à rien,NOUN,[no_synset],[no_synset_lemma],Personne qui ne veut/peut rien faire.,lr,"Et puis, t'as l'air un peu	bonne à rien	dans la nature, donc je suis sûr que t'auras besoin de moi.",se,,,,,,,,
FR364,bordel,NOUN,Synset('omw-iwn-13977366-n'),"['bordel', 'brouhaha', 'chahut', 'dérangement', 'perturbation', 'tapage', 'tumulte']",Grand désordre.,lr,"Tu as vu ta chambre ? C’est un vrai bordel, on dirait qu’une tornade est passée.",gen_AI,,,,,,,,
FR364,bordel,NOUN,Synset('omw-iwn-04581595-n'),"['Lupanar', 'bordel', 'claque', 'lupanar', 'maison_close', 'maison_de_tolérance', 'privé']",un bâtiment où l'on peut trouver des prostituées,own,"je ne me presente pas, etant tenancier du	bordel	cabaret du village, ca ne se fait pas à la campagne!",se,,,,,,,,
