pos	category	stereotype	lemma	level
n	pr	no	หญิงเสเพล	inclusive
n	ddp	yes	คนไม่รู้พยัญชนะ	inclusive
n	svp	no	ความไม่ชอบ	inclusive
n	cds	no	แม่สื่อ	inclusive
n	an	no	หมัด	inclusive
n	cds	no	ผู้เยาว์ผู้กระทำผิด	conservative
n	re	no	โจรลักพาตัว	inclusive
n	is	yes	คนตระหนี่	conservative
n	cds	no	โกหก	conservative
n	cds	no	คนสติไม่สมประกอบ	inclusive
n	dmc	yes	คนชั่ว	conservative
n	an	no	ลูกหมู	inclusive
n	ddp	yes	ผู้ไม่รู้หนังสือ	inclusive
n	dmc	yes	การเสื่อม	inclusive
n	asm	no	กระเจี๊ยว	conservative
n	qas	no	ความเท็จ	conservative
n	cds	no	คนทำความผิด	inclusive
n	an	no	วงศ์โครโคไดลิแด	inclusive
n	dmc	yes	ผู้ใช้เงินมือเติบ	inclusive
n	svp	no	คนกินจุ	inclusive
n	cds	no	คนปากโป้ง	conservative
n	re	no	ข่มขืน	conservative
n	cds	no	คนไร้สติปัญญา	conservative
n	cds	no	โจรจี้ปล้น	conservative
n	ddp	yes	ผู้ไม่รู้พยัญชนะ	inclusive
n	cds	no	ความมีเล่ห์เหลี่ยม	inclusive
n	cds	no	บอส	inclusive
a	dmc	yes	เหม็น	conservative
n	pa	yes	คนขับรถม้า	inclusive
n	cds	no	สมาชิกสมาคมลับ	inclusive
n	cds	no	ความปรารถนา	inclusive
n	cds	no	นักเลงหัวไม้	conservative
n	an	no	คนตระหนี่	conservative
n	asm	no	การแข็งตัวขององคชาต	inclusive
n	re	no	การแบล็กเมล์	conservative
n	re	no	เยาวชนผู้กระทำผิด	conservative
n	re	no	มาเฟียอิตาลี	inclusive
n	dmc	yes	การผิดศีลธรรม	inclusive
n	is	yes	ผู้เคราะห์ร้าย	conservative
n	pr	no	ตัวมอด	inclusive
n	svp	no	ความโกรธแค้น	inclusive
n	ps	yes	คนจรจัด	inclusive
n	cds	no	ซ่อง	inclusive
v	re	no	ลักขโมย	inclusive
n	cds	no	คนร้าย	conservative
n	cds	no	เด็กหนุ่ม	inclusive
n	pa	yes	ทนาย	inclusive
n	cds	no	ความบังอาจ	conservative
n	cds	no	คนหมกมุ่น	conservative
n	re	no	ลูกลิง	inclusive
n	om	no	ผักชีล้อม	inclusive
n	svp	no	คนไม่เอาถ่าน	conservative
n	cds	no	สามัญชน	conservative
n	an	no	จระเข้เคแมน	inclusive
n	an	no	คนสารเลว	conservative
n	asm	no	พระคุยหประเทศ	inclusive
n	cds	no	คนโง่	conservative
a	ddp	yes	ที่ไร้รสนิยม	inclusive
n	pr	no	การขายตัว	inclusive
n	cds	no	สามัญชน	inclusive
n	cds	no	ความหยิ่งยโส	conservative
n	svp	no	ความรู้สึกโกรธ	inclusive
n	svp	no	ไฟพิศวาส	inclusive
n	ddp	yes	ความโง่เขลา	conservative
n	ps	yes	คนเถื่อน	inclusive
n	cds	no	โจรยกเค้า	inclusive
