id	pos	category	stereotype	lemma	level
AF417	n	om	no	skandseun	inclusive
AF70	n	qas	no	mengelmoes	inclusive
AF215	n	cds	no	val man	conservative
AF65	n	cds	no	prank	inclusive
AF579	n	an	no	vulgariteit	conservative
AF815	n	ddp	yes	lomp iemand	conservative
AF76	n	ddp	yes	codswallop	conservative
AF567	n	an	no	bokmelk	inclusive
AF350	n	dmc	yes	losbol	conservative
AF433	n	svp	no	nietigheid	conservative
AF1807	n	cds	no	doener	conservative
AF619	n	pa	yes	stoel	inclusive
AF649	n	om	no	nansies	conservative
AF913	n	cds	no	dosyne	inclusive
AF1493	n	pr	no	rot	inclusive
AF535	n	re	no	scammer	inclusive
AF1230	n	cds	no	croo ners	inclusive
AF1182	n	om	no	dieselfde geslag	inclusive
AF1688	n	or	no	murphy	inclusive
AF1006	n	qas	no	veld hand	inclusive
AF577	n	qas	no	droken	inclusive
AF651	n	or	no	faggot	conservative
AF18	n	re	no	beledigende	inclusive
AF323	n	dmc	yes	vark	conservative
AF2005	n	ps	yes	roma	inclusive
AF798	n	pr	no	buite echtelijk samenwonen	inclusive
AF1525	n	an	no	mikro-organisme	inclusive
AF774	n	cds	no	camarilla	inclusive
AF272	n	dmc	yes	kwezelaar	conservative
AF39	n	ddp	yes	idioot	inclusive
AF1070	n	cds	no	gangster	inclusive
AF634	n	asm	no	nooky	conservative
AF1839	n	an	no	hirudinea	inclusive
AF297	n	dmc	yes	kwaaddoener	inclusive
AF221	n	or	no	dom	conservative
AF1616	n	an	no	brent	inclusive
AF5	n	svp	no	abulia	inclusive
AF1358	n	cds	no	veedief	inclusive
AF1122	n	an	no	caprinae	inclusive
AF219	n	cds	no	pillock	conservative
AF296	n	re	no	kriminele	inclusive
AF827	n	re	no	oortreding	inclusive
AF766	n	asf	no	cunt	conservative
AF1729	a	svp	no	aggressiewe	inclusive
AF1750	n	cds	no	baba	inclusive
AF1319	n	cds	no	lening sharking	inclusive
AF318	n	qas	no	groot sakeman	inclusive
AF536	n	cds	no	grifter	conservative
AF1089	n	asf	no	skede	conservative
AF510	n	ddp	yes	cretin	inclusive
AF548	n	om	no	paederast	conservative
AF1316	n	re	no	hom wat 'n doodslag begaan het	inclusive
AF113	n	or	no	kroesje	inclusive
AF679	n	ddp	yes	kwaksalwery	conservative
AF558	n	cds	no	sub-stam	inclusive
AF60	n	an	no	luiaard	conservative
AF187	n	pa	yes	pleiter	inclusive
AF56	n	om	no	anale penetrasie	inclusive
AF1141	n	cds	no	literêre hack	conservative
AF266	n	dmc	yes	fabricator	conservative
AF231	n	pr	no	hoer	conservative
AF668	n	an	no	fysionomie	inclusive
AF670	n	pr	no	moo-koei	inclusive
AF173	n	pa	yes	barbaarse	conservative
AF137	n	svp	no	gierigheid	inclusive
AF638	n	an	no	hase	inclusive
AF1147	n	cds	no	steel	inclusive
AF503	n	asf	no	retard	conservative
AF1309	n	re	no	kindermoord	inclusive
AF1798	n	re	no	beroof	inclusive
AF561	n	cds	no	stam	inclusive
AF633	n	asm	no	nookie	conservative
AF911	n	cds	no	jeugoortreder	conservative
AF1275	n	ddp	yes	onbevoeg	conservative
AF1189	n	ps	yes	judeo	inclusive
AF1648	a	qas	no	gewone	inclusive
AF1968	n	cds	no	samesweringsteorieë	inclusive
AF6	n	svp	no	apaties	inclusive
AF116	n	cds	no	domkop	conservative
AF128	n	or	no	muttonhead	conservative
AF1163	n	pr	no	prostitusie	inclusive
AF1668	n	qas	no	bedelaar	conservative
AF1737	n	re	no	plagiarization	inclusive
AF1678	n	qas	no	tweedrag saaier	conservative
AF349	n	dmc	yes	rakehell	conservative
AF144	n	an	no	miser	conservative
AF245	n	an	no	huur seuns	conservative
AF1826	n	an	no	bufo	inclusive
AF39	n	cds	no	idioot	inclusive
AF995	n	cds	no	pooier	inclusive
AF95	n	ddp	yes	diere	inclusive
AF429	n	cds	no	voortvarendheid	conservative
AF274	n	cds	no	bevooroordeelde	conservative
AF371	n	dmc	yes	fumbler	conservative
AF96	n	an	no	dier	inclusive
AF171	n	cds	no	bandiet	conservative
AF921	n	cds	no	baie	inclusive
AF1862	n	ddp	yes	dwaasheid	inclusive
AF210	n	cds	no	blackballing	inclusive
AF1664	n	an	no	romp chaser	conservative
AF1872	a	pa	yes	politieke	inclusive
AF1387	n	svp	no	plichtverzaker	conservative
AF512	n	an	no	teef	conservative
AF159	n	svp	no	cheapskate	conservative
AF272	n	svp	no	kwezelaar	conservative
AF1063	n	dmc	yes	snoever	conservative
AF1108	n	asf	no	skaamhare	inclusive
AF120	n	asm	no	stomkop	conservative
AF1102	n	cds	no	windzak	conservative
AF694	n	an	no	cimex lectularius	inclusive
AF728	n	asm	no	twirp	conservative
AF653	n	om	no	queer	conservative
AF295	n	re	no	misdadiger	inclusive
AF1557	n	pr	no	socialites	inclusive
AF263	n	an	no	vleisbeeste	inclusive
AF184	n	pa	yes	advokate	inclusive
AF1618	n	cds	no	omerta	inclusive
AF1508	n	cds	no	rower	conservative
AF41	n	ddp	yes	amentia	inclusive
AF426	n	cds	no	selfsugtig	conservative
AF292	n	re	no	verbied	inclusive
AF860	n	dmc	yes	sogenaamde	conservative
AF200	n	an	no	pooch	inclusive
AF361	n	cds	no	bluffer	conservative
AF175	n	ps	yes	barbaar	conservative
AF573	n	svp	no	suinigheid	conservative
AF443	n	an	no	git	conservative
AF27	n	pa	yes	wetenskaplike	inclusive
AF833	n	an	no	diddlyshit	conservative
AF510	n	ps	yes	cretin	conservative
AF295	n	cds	no	misdadiger	inclusive
AF408	n	qas	no	besigheidspersoon	inclusive
AF1495	n	cds	no	oorblyfsels	inclusive
AF583	n	asm	no	piel	conservative
AF36	n	qas	no	amateurishness	conservative
AF1726	n	cds	no	religiousism	inclusive
AF932	n	ddf	yes	midget	conservative
AF435	n	svp	no	aanmatiging	conservative
AF163	n	asm	no	testes	inclusive
AF1707	n	is	yes	schooiertje	conservative
AF1236	n	cds	no	afgod aanbidding	inclusive
AF217	n	ddp	yes	homp	conservative
AF889	n	om	no	anatomiese terme van plek	inclusive
AF1425	n	re	no	cosa nostra	inclusive
AF1614	n	an	no	brant	inclusive
AF1043	n	asm	no	voorhuid	inclusive
AF1203	n	cds	no	die groot ongewaste	conservative
AF970	n	svp	no	kwaad	inclusive
AF1270	n	is	yes	armoede	inclusive
AF753	n	ps	yes	planttelersreg	inclusive
AF1766	n	pa	yes	n	inclusive
AF491	n	cds	no	aas	inclusive
AF1117	n	an	no	muggie	inclusive
AF172	n	cds	no	misdadigheid	inclusive
AF1501	n	qas	no	redenaarskap	inclusive
AF175	n	qas	no	barbaar	conservative
AF126	n	or	no	shit head	conservative
AF348	n	cds	no	doodloopstraat	inclusive
AF467	n	an	no	cakehole	inclusive
AF818	n	asm	no	doofus	conservative
AF1950	n	asm	no	aves	inclusive
AF967	n	an	no	see-skerpioen	inclusive
AF1351	n	svp	no	angriness	inclusive
AF170	n	cds	no	brigand	conservative
AF1861	n	ddp	yes	unwiseness	inclusive
AF506	n	ddp	yes	mongole	inclusive
AF217	n	asf	no	homp	conservative
AF1450	n	dmc	yes	boerenpummel	conservative
AF1658	n	dmc	yes	vrolik andrew	inclusive
AF994	n	cds	no	fanatisme	conservative
AF611	n	pa	yes	professor	inclusive
AF201	n	an	no	doggy	inclusive
AF235	n	an	no	slet	conservative
AF862	n	dmc	yes	skynheilig	conservative
AF759	n	qas	no	nakoming	inclusive
AF941	n	re	no	delik	inclusive
AF143	n	svp	no	vrek	conservative
AF1116	n	an	no	mug	inclusive
AF850	n	cds	no	vuil	inclusive
AF540	n	an	no	hond	inclusive
AF280	n	cds	no	bendegeweld	conservative
AF725	n	cds	no	wanker	conservative
AF1602	n	cds	no	nimfomanie	conservative
AF436	n	cds	no	hoogmoed	conservative
AF1806	a	om	no	verskillende	inclusive
AF1347	n	svp	no	invidia	inclusive
AF1427	n	cds	no	mafia	conservative
AF785	n	om	no	mevrou	inclusive
AF726	n	asm	no	stoot-off	conservative
AF1071	n	dmc	yes	gangsters	inclusive
AF2	n	svp	no	acedia	inclusive
AF119	n	rci	yes	dwaas	conservative
AF792	n	ddp	yes	misleiding	conservative
AF1000	n	cds	no	koppelaars	inclusive
AF1320	n	cds	no	geld uitleen	inclusive
AF504	n	ddp	yes	vormverwisselaar	inclusive
AF1088	n	asf	no	vaginale	conservative
AF183	n	pa	yes	spesiale gesant	inclusive
AF1778	n	pa	yes	openbare rekeningkundige	inclusive
AF1214	n	qas	no	huis skildery	inclusive
AF1848	n	an	no	blattaria	inclusive
AF1285	n	cds	no	onderwyser	inclusive
AF86	n	cds	no	armee	inclusive
AF225	n	or	no	uilskuiken	conservative
AF1944	n	pr	no	freeks	conservative
AF1410	n	an	no	muil	inclusive
AF529	n	re	no	last raar	conservative
AF277	n	cds	no	bendelid	conservative
AF440	n	cds	no	volume	inclusive
AF570	n	an	no	nanny-bokke	inclusive
AF961	n	dmc	yes	moraliteit	inclusive
AF955	n	qas	no	amateur	conservative
AF312	n	qas	no	sakeleier	inclusive
AF376	n	an	no	liggaam snatcher	inclusive
AF836	n	an	no	diddly	conservative
AF260	n	ps	yes	bedoeïene	inclusive
AF1908	n	asm	no	professionele vieslike	inclusive
AF329	n	dmc	yes	bedrieër	inclusive
AF857	n	dmc	yes	skynheiligheid	conservative
AF1032	n	pa	yes	vishandelaar	inclusive
AF1836	n	cds	no	betweter	conservative
AF685	n	cds	no	afval	inclusive
AF1671	n	cds	no	nouveaux riches	inclusive
AF791	n	dmc	yes	bedrog	conservative
AF1740	n	re	no	plagiaat	inclusive
AF295	n	cds	no	misdadiger	conservative
AF904	n	svp	no	gourmandizer	conservative
AF311	n	qas	no	nyweraar	inclusive
AF1130	n	dmc	yes	geen rekening	conservative
AF218	n	an	no	patsy	conservative
AF267	n	dmc	yes	leuenaar	conservative
AF26	n	cds	no	faktor	inclusive
AF1938	n	om	no	cross-dress	inclusive
AF757	n	qas	no	conformisme	inclusive
AF840	n	cds	no	dime romans	inclusive
AF1215	n	svp	no	ooreet	inclusive
AF253	n	cds	no	dandies	inclusive
AF1928	n	pa	yes	kantoor werker	inclusive
AF966	n	dmc	yes	etiese motief	inclusive
AF79	n	cds	no	dweepzucht	conservative
AF905	n	svp	no	graver	conservative
AF117	n	asm	no	flous	conservative
AF508	n	asm	no	vertraagdes	inclusive
