id	pos	category	stereotype	lemma	level
LV310	n	svp	no	fanātiķis	conservative
LV1742	n	ps	yes	mongoloīdā rase	conservative
LV1270	n	cds	no	ķeceris	conservative
LV2111	n	re	no	noziedzīgiem nodarījumiem	inclusive
LV824	n	ps	yes	augu biotehnoloģijas	inclusive
LV36	n	qas	no	amateurishness	conservative
LV1448	n	svp	no	iekāre	inclusive
LV1975	n	cds	no	suteners	conservative
LV1663	n	cds	no	intrigants	inclusive
LV2208	n	re	no	vardarbības	inclusive
LV778	n	cds	no	wiliness	conservative
LV137	n	asm	no	muļķe	inclusive
LV91	n	ddp	yes	analphabetic	inclusive
LV564	n	an	no	weakling	conservative
LV1308	n	om	no	gejiem	inclusive
LV1414	n	an	no	nekompetents	conservative
LV1047	n	dmc	yes	morāli	inclusive
LV520	n	re	no	negatīvs tēls	conservative
LV1828	n	re	no	slayer	inclusive
LV1280	n	cds	no	zādzībām	inclusive
LV743	n	ddp	yes	tenkotājs	conservative
LV107	n	ddp	yes	dzīvnieki	inclusive
LV1661	n	an	no	shoat	inclusive
LV171	n	ps	yes	sīkstulis	conservative
LV186	n	cds	no	bawdyhouse	inclusive
LV118	n	re	no	izvarotāju	conservative
LV558	n	cds	no	maita	inclusive
LV1275	n	cds	no	zog	inclusive
LV2148	n	om	no	crossdressing	inclusive
LV38	n	ddp	yes	plānprātība	inclusive
LV1893	n	cds	no	dedzīgs piekritējs	conservative
LV1172	n	asm	no	lauka pupa	inclusive
LV247	n	ps	yes	resgalis	conservative
LV1545	n	an	no	moluski	inclusive
LV134	n	ddp	yes	idiote	conservative
LV464	n	qas	no	uzņēmēja	inclusive
LV515	n	an	no	nelietis	conservative
LV1613	n	an	no	purva-pūce	inclusive
LV948	n	dmc	yes	neīsto	conservative
LV864	n	om	no	cienītā	inclusive
LV1383	n	an	no	strix varia	inclusive
LV1930	n	asm	no	saraustītas off	conservative
LV209	n	rci	yes	barbariem	conservative
LV1380	n	cds	no	elku kalpi	inclusive
LV1564	n	an	no	culicidae	inclusive
LV1235	n	svp	no	labi-for-neko	conservative
LV126	n	or	no	bonce	inclusive
