id	pos	category	stereotype	lemma	level
TH97	n	dmc	yes	คนงุ่มง่าม	conservative
TH977	v	qas	no	หยอกล้อ	conservative
TH199	n	cds	no	อันธพาล	conservative
TH485	n	pa	yes	ยามเฝ้าประตู	inclusive
TH636	n	is	yes	คนจน	inclusive
TH362	n	asm	no	การเอา	conservative
TH272	n	cds	no	ซากรถ	inclusive
TH655	n	cds	no	พระราชาคณะ	inclusive
TH229	n	ddp	yes	กา่รร่วมเพศกับสัตว์	conservative
TH672	n	qas	no	นักทฤษฎี	inclusive
TH837	n	cds	no	ปาร์ตี้	inclusive
TH441	n	re	no	การข่มขืนโดยคนรู้จัก	conservative
TH1196	n	re	no	การใช้ความรุนแรง	inclusive
TH147	n	cds	no	คำโกหก	inclusive
TH233	n	an	no	วัวควาย	inclusive
TH222	n	ddp	yes	คนมักง่าย	conservative
TH70	n	an	no	หัวขี้เลื่อย	conservative
TH625	a	cds	no	เจ้าเล่ห์	conservative
TH90	n	qas	no	พระอัณฑะ	inclusive
TH943	n	cds	no	การให้กู้เงินโดยคิดดอกเบี้ยสูง	inclusive
TH74	n	om	no	ลา	inclusive
TH73	n	ddp	yes	คนไม่มีการศึกษา	conservative
TH90	n	asm	no	พระอัณฑะ	inclusive
TH116	n	qas	no	ศิลปะแบบบาร็อก	inclusive
TH220	n	cds	no	คนโง่เง่า	conservative
TH864	n	cds	no	ของเสีย	inclusive
TH210	n	cds	no	ทางตัน	inclusive
TH597	n	cds	no	พวกขวาจัด	conservative
TH768	a	svp	no	ขี้โมโห	conservative
TH1029	n	dmc	yes	คนสุรุ่ยสุร่าย	conservative
TH435	n	cds	no	เล่ห์เหลี่ยม	conservative
TH271	n	an	no	คนชั่ว	conservative
TH819	n	re	no	พวกมาเฟีย	inclusive
TH436	n	cds	no	คนชอบแกล้ง	conservative
TH26	n	svp	no	ความเกียจคร้าน	inclusive
TH896	n	re	no	ขโมยขโจร	inclusive
TH72	n	dmc	yes	คนไร้การศึกษา	conservative
TH553	n	or	no	ผักชีล้อม	inclusive
TH301	n	an	no	ผู้หญิงน่ารังเกียจ	conservative
TH72	n	qas	no	คนไร้การศึกษา	conservative
TH212	n	dmc	yes	ผู้ชายเจ้าชู้	conservative
TH269	n	cds	no	คนขี้เกียจ	conservative
TH842	n	dmc	yes	ความชั่วร้าย	inclusive
TH321	n	qas	no	ละครสัตว์	inclusive
TH995	v	cds	no	ตาย	inclusive
TH900	n	ps	yes	นิโกร	inclusive
TH462	n	ps	yes	คนทำลาย	conservative
TH306	n	re	no	การพูดให้ร้าย	inclusive
TH145	n	cds	no	เรื่องไม่จริง	conservative
TH364	n	an	no	กระต่าย	inclusive
TH1174	n	re	no	การล่วงละเมิดทางเพศ	inclusive
TH197	n	cds	no	คนเลว	conservative
TH284	n	ddp	yes	ผู้ถูกคุมขัง	inclusive
TH722	n	cds	no	คำโป้ปด	conservative
TH460	n	ps	yes	คนไม่เต็ม	conservative
TH175	n	cds	no	นักเลงหัวไม้	conservative
TH434	n	cds	no	ของคัดออก	conservative
TH264	n	qas	no	คนไร้ค่า	conservative
TH809	n	cds	no	ผู้ทำความผิด	inclusive
TH486	n	re	no	เยาวชนผู้กระทำผิด	conservative
TH493	n	an	no	คนแคระ	conservative
TH1104	n	re	no	โจรเรียกค่าไถ่	inclusive
TH95	n	cds	no	โจรร่วมขบวนการ	conservative
TH1118	v	re	no	ลัก	inclusive
TH428	n	asf	no	จิ๋ม	conservative
TH427	n	asf	no	หม้อ	conservative
TH759	a	om	no	ลักเพศ	conservative
TH782	n	cds	no	ส้วมสาธารณะ	inclusive
TH452	n	asf	no	คนไม่มีสติปัญญา	conservative
TH34	a	svp	no	ก้าวร้าว	conservative
TH1103	n	re	no	โจรลักพาตัว	inclusive
TH533	n	cds	no	แมงดา	conservative
TH1202	n	ps	yes	ชาวยิปซี	inclusive
TH868	n	an	no	ฉลาม	inclusive
TH148	n	cds	no	กุ	conservative
TH100	n	ddp	yes	ความโหดเหี้ยม	inclusive
TH148	n	qas	no	กุ	conservative
TH692	n	ddp	yes	ความไม่รู้	conservative
TH389	v	cds	no	พูดไร้สาระ	inclusive
TH487	n	dmc	yes	ผู้เยาว์ผู้กระทำผิด	conservative
TH96	n	pa	yes	ลูกหนี้ธนาคาร	inclusive
TH172	n	svp	no	คนไม่เอาถ่าน	conservative
TH961	v	qas	no	ทำงานลวกๆ	conservative
TH820	n	re	no	มาเฟียอิตาลี	conservative
TH189	n	ddp	yes	คนปากเปราะ	conservative
TH509	n	asm	no	การแข็งตัวขององคชาต	inclusive
TH1000	v	cds	no	ถึงแก่พิราลัย	inclusive
TH895	n	cds	no	คนขี้ขโมย	inclusive
TH258	n	cds	no	ความหยิ่งยโส	conservative
TH84	n	cds	no	โคมเขียว	inclusive
TH581	n	pr	no	หญิงเสเพล	inclusive
TH861	n	re	no	โจรจี้ชิงทรัพย์	conservative
TH591	n	asf	no	พระโลมะชาติ	inclusive
TH792	n	an	no	ไฟลัมมอลลัสกา	inclusive
TH678	a	is	yes	คับแคบ	conservative
TH853	n	cds	no	นักโฆษณาชวนเชื่อ	inclusive
TH651	n	cds	no	คนธรรมดาทั่วไป	inclusive
TH174	n	re	no	คนโกง	inclusive
TH223	n	ddp	yes	คนระยำ	conservative
TH973	n	qas	no	คนลักเล็กขโมยน้อย	conservative
TH773	n	re	no	โจรขโมยวัวควาย	inclusive
TH743	n	cds	no	แม่สื่อ	inclusive
TH175	n	dmc	yes	นักเลงหัวไม้	conservative
TH1147	a	pa	yes	ทางการเมือง	inclusive
TH519	a	dmc	yes	ไร้รสนิยม	conservative
TH526	n	om	no	ผู้ทุพพลภาพ	conservative
TH53	n	an	no	สัตว์เดียรัจฉาน	inclusive
TH205	n	cds	no	ลูกนอกสมรส	inclusive
