id	pos	category	stereotype	lemma	level
HI861	n	om	no	keister	inclusive
HI1587	n	re	no	हत्यारों	inclusive
HI536	n	cds	no	ragtag	conservative
HI632	n	or	no	बंधगोभी	inclusive
HI101	n	ddp	yes	मेटाजोअन	inclusive
HI1919	n	an	no	rouncey	inclusive
HI125	n	ddp	yes	बौड़म	conservative
HI342	n	dmc	yes	ठग	conservative
HI1928	n	cds	no	डरपोक	conservative
HI500	n	om	no	नख़रेबाज़ी	conservative
HI752	n	cds	no	संयंत्र ब्रीडर	inclusive
HI1415	n	cds	no	गांवारू	conservative
HI1594	n	cds	no	अवसरवादी	conservative
HI1312	n	asm	no	लन	inclusive
HI1573	n	an	no	हंसी	inclusive
HI1363	n	an	no	पतंगे	inclusive
HI504	n	ps	yes	बुद्धू	conservative
HI95	n	an	no	जंतुओं	inclusive
HI1948	n	an	no	limacidae है	inclusive
HI560	n	cds	no	कबीले	inclusive
HI1924	n	an	no	भुनगा	inclusive
HI1084	n	an	no	कुटकी	inclusive
HI1688	n	re	no	plagiarize	inclusive
HI458	n	dmc	yes	आवारा	inclusive
HI1487	n	an	no	सूक्ष्म जीव	inclusive
HI249	n	cds	no	झूठ	inclusive
HI1516	n	an	no	लैंडस्नेल	inclusive
HI1314	n	svp	no	enviousness	inclusive
HI140	n	svp	no	सात घातक पाप	inclusive
HI1076	n	cds	no	पराए काम में वाधा डालनेवाला	conservative
HI378	n	ddp	yes	bumbler	conservative
HI970	n	cds	no	उपजाति	inclusive
HI297	n	cds	no	दुष्ट	conservative
HI916	n	dmc	yes	बौना	inclusive
HI1794	n	an	no	जोंक	inclusive
HI900	n	dmc	yes	अपराधी	conservative
HI1804	n	cds	no	औसत दर्जे का आदमी	conservative
HI249	n	qas	no	झूठ	conservative
HI337	n	asm	no	बेवक़ूफ़	inclusive
HI448	n	cds	no	घमंड	conservative
HI1385	n	cds	no	अधिकारी	conservative
HI585	n	cds	no	नटखट	conservative
HI511	n	re	no	मानहानिकारक	inclusive
HI102	n	an	no	जानवर	inclusive
HI86	n	asm	no	मछली	inclusive
HI145	n	svp	no	कंजूस	inclusive
HI1871	n	an	no	गुब्बारा swallower	inclusive
HI1377	n	svp	no	luxuria	inclusive
HI178	n	ddp	yes	बर्बर	conservative
HI1217	n	ddp	yes	arsehole	conservative
HI1400	n	an	no	otus asio	inclusive
HI222	n	ddp	yes	pillock	conservative
HI284	a	ddp	yes	मूर्ख	conservative
HI243	n	an	no	सड़क लड़की	conservative
HI1953	n	ps	yes	रोमानी	inclusive
HI1131	n	pr	no	ऐयाशी	inclusive
HI1044	n	svp	no	निरर्थकता	conservative
HI1245	n	cds	no	शिक्षण सहायता	inclusive
HI1452	n	svp	no	superbia	conservative
HI1881	n	om	no	transvestite	inclusive
HI1242	n	cds	no	भड़कीलापन	conservative
HI1553	n	ps	yes	नीग्रोइड	inclusive
HI989	n	qas	no	fieldhand	inclusive
HI1321	n	cds	no	mussiness	conservative
