n	ddp	yes	dwaasheid
n	asm	no	nookie
n	asf	no	twat
a	ddp	yes	liggelowig
n	cds	no	bliksem
n	cds	no	skinderbek
n	om	no	gesodomiseer
n	pr	no	prostituee
n	asf	no	codswallop
n	an	no	aasvoëls
n	qas	no	ambagsman
n	dmc	yes	jammer
n	ps	yes	zoeloe-mense
n	cds	no	skroot yster
n	an	no	bos taurus
n	ddp	yes	charlatan
n	asm	no	europese boon
n	ddp	yes	pillock
n	dmc	yes	snoever
n	asm	no	stomkop
n	re	no	seksuele misbruik
n	cds	no	niks doen
n	pr	no	byvroue
n	dmc	yes	hartseer sak
n	qas	no	hond huis
n	ddp	yes	onskuldig persoon
n	svp	no	dilly-dallier
n	an	no	ballon slikker
n	ddp	yes	barbaarse
n	om	no	buggery
n	cds	no	faktor
n	qas	no	boner
n	asm	no	ereksie van die penis
n	cds	no	hoerhuis
n	dmc	yes	ballingschap
n	dmc	yes	onwaarheid
n	dmc	yes	slackers
n	ps	yes	changelings
n	om	no	cross dresser
n	cds	no	huishoudelike riool
n	re	no	seks misdade
n	cds	no	beterweterigheid
n	or	no	dom persoon
n	ddp	yes	weet niks
n	an	no	afluister
n	pr	no	minnares
n	cds	no	weet-all
n	an	no	gemeenskaplike muskiet
n	cds	no	godsdienstigheid
n	asm	no	doofus
n	cds	no	chiseler
n	ps	yes	joodse tradisie
n	re	no	grand theft
n	cds	no	vuil hond
n	pa	yes	opgepas
n	cds	no	balls-up
n	qas	no	granger
n	pa	yes	begrafnisondernemer
n	ddp	yes	motherfucker
n	an	no	manlike escort
n	an	no	rooi drom
n	cds	no	geswel
n	cds	no	rakker
n	an	no	caprinae
n	cds	no	camarilla
n	re	no	om tot die dood
n	dmc	yes	misleiding
n	ps	yes	mongool
n	om	no	fondament
n	cds	no	misdadiger
n	cds	no	mengelmoes
n	pa	yes	hoogleraar
n	an	no	hemipteron
n	qas	no	mengeling
n	ddp	yes	verstandelik gestremde
n	re	no	misdadig
n	an	no	hemipteran
n	cds	no	stamgebonde samelewings
n	dmc	yes	uitdraaier
n	cds	no	dandy
n	om	no	pederasty
n	cds	no	kruising
n	an	no	luiaard
n	cds	no	gobs
n	ddp	yes	onbevoeg
n	ddp	yes	microcephalic
n	or	no	komkommer wingerdstok
n	cds	no	kriminele oortreding
n	cds	no	brigand
n	or	no	solanum tuberosum
n	cds	no	stomkop
n	ps	yes	judaïstiese
n	cds	no	party
n	qas	no	professionele klas
n	cds	no	conventicles
n	re	no	daad van terrorisme
n	pa	yes	bespreking klerk
a	cds	no	laf
n	an	no	vleisbeeste
n	ps	yes	judaisme
n	asm	no	piel
n	ddp	yes	rumormonger
n	cds	no	wasplaats
n	qas	no	parasiet
n	an	no	crocodylian
n	or	no	knucklehead
n	cds	no	bendelid
n	an	no	vlooi
n	an	no	genus anguilla
n	or	no	kroesje
n	an	no	familie crocodylidae
n	re	no	misdaad
n	dmc	yes	jeugoortreder
n	cds	no	pasgeborenes
n	ps	yes	inkiness
n	om	no	ventrale
n	dmc	yes	gapper
n	re	no	capturer
n	cds	no	die groot ongewaste
n	an	no	hoender
n	cds	no	vervolger
n	ddp	yes	swak vis
n	cds	no	druk
n	cds	no	self-aanbidding
n	an	no	witdoodshaai
n	re	no	roofstroom
a	svp	no	aggressief
n	qas	no	swere
n	ddp	yes	animeer om
n	an	no	man-eater
n	pa	yes	wetenskaplike
n	an	no	genus vipera
n	cds	no	mongool
n	an	no	bok bok
n	om	no	dieselfde geslag aantrekkingskrag
n	cds	no	barbaarse
n	cds	no	muggins
n	qas	no	verwerp
n	asm	no	haantjie
n	qas	no	kerklike gemeente
n	ps	yes	kruisteling
n	or	no	kont
n	ddf	yes	half-pint
n	ddp	yes	vertraagdes
n	qas	no	bourgeois samelewing
n	cds	no	doodloopstraat
n	pr	no	rattus
n	cds	no	jeug bendes
n	cds	no	gigolo
n	cds	no	luiaard
a	pa	yes	teoretiese
n	svp	no	fisiese aantrekkingskrag
n	om	no	faggot
n	ps	yes	mongoloids
n	asm	no	aanhangsels
n	cds	no	polisiemanne
n	is	yes	tragiese skurk
n	cds	no	straat bende
n	an	no	bosluise
n	cds	no	behalwe
n	cds	no	dogmatisme
n	re	no	traducement
n	cds	no	knoeier
n	dmc	yes	misdadig
n	or	no	pillock
n	cds	no	dosyne
n	cds	no	doortrapt
n	re	no	kriminele gedrag
n	an	no	ou wêreld buffels
n	an	no	lafaard
n	dmc	yes	skelm
n	cds	no	veedief
n	svp	no	minginess
n	pr	no	buite echtelijk samenwonen
n	pa	yes	buitengewone professor
n	svp	no	uitdraaier
n	svp	no	self-liefde
n	cds	no	rube
n	cds	no	gemengde-ras hond
n	an	no	grootwithaai
n	re	no	italiaanse mafia
n	an	no	mug
n	or	no	sativus
n	ddp	yes	epifauna
n	dmc	yes	pseudo
n	ps	yes	hispanic
n	cds	no	verklikker
n	an	no	sagte aanraking
n	re	no	manslag speurder
n	an	no	weeluise
n	cds	no	conformist
n	cds	no	scientisme
n	cds	no	tellings
n	ps	yes	swart man
n	cds	no	fop
n	is	yes	het nie
n	pr	no	gun moll
n	qas	no	hartseer sak
n	qas	no	krot
n	svp	no	suinigheid
n	re	no	vilifier
n	qas	no	mengelmoes
n	re	no	siek-gebruik
n	an	no	anguilla
n	dmc	yes	libertinism
n	cds	no	slordige persoon
n	asm	no	vis
n	an	no	shit head
n	asf	no	vertraagdes
n	cds	no	baster
n	ddp	yes	cretin
n	dmc	yes	onsedelikheid
n	qas	no	fib
n	cds	no	val man
n	cds	no	oppervlakkigheid
n	pr	no	rotte
n	re	no	lasteraar
n	dmc	yes	tussenrat
n	or	no	faggot
a	dmc	yes	vuil
n	is	yes	scrooge
n	pr	no	prostitusie
n	ddp	yes	verstandelike agterlikheid
n	qas	no	ballock
n	cds	no	aankomeling
n	cds	no	vragte
n	cds	no	ydelheid
n	cds	no	gemors-up
n	cds	no	strikebreakers
n	cds	no	volume
n	an	no	canis familiaris
n	dmc	yes	hofnar
n	dmc	yes	mozzarella
n	asm	no	mongool
n	om	no	dame
n	cds	no	sameswering teorie
n	an	no	otus asio
n	cds	no	kakhuis
n	an	no	moo-koei
n	asm	no	breë bone
n	cds	no	free mason
n	an	no	folderol
n	svp	no	wellustig
n	an	no	skoen
n	pa	yes	sheepherder
n	an	no	goue jakkals
n	an	no	dwaas
a	ddp	yes	kranksinnige
n	ddf	yes	gestremde persoon
n	asm	no	groen ertjies
n	re	no	moord op
n	an	no	wit haai
n	cds	no	bemoeial
n	cds	no	mob baas
n	an	no	lupus familiaris
n	svp	no	hoogmoed
n	dmc	yes	rakker
n	an	no	brent goose
n	or	no	fastidiousness
n	ddp	yes	hooey
n	svp	no	tightfistedness
n	cds	no	roet
n	an	no	groot wit haai
n	pa	yes	lid van die fakulteit
n	cds	no	desperate kriminele
n	dmc	yes	rube
n	cds	no	openbare toilet
n	cds	no	grunge rock
n	ddp	yes	dom
n	dmc	yes	huichelaar
n	cds	no	fascistiese
a	qas	no	kranksinnige
n	om	no	queer
n	an	no	vamper
n	asm	no	voorhuid
n	qas	no	vaste afval
n	an	no	donkies
n	cds	no	mutt
n	cds	no	lerares
n	svp	no	spoggerigheid
n	an	no	zooerasty
n	cds	no	rower
n	cds	no	bende kultuur
n	cds	no	blackballing
n	an	no	cimex lectularius
n	cds	no	bellyacher
n	cds	no	misdaad
n	an	no	liggaam luise
n	an	no	esel
n	ddp	yes	barbaar
n	pr	no	slet
n	asm	no	peester
n	an	no	muil
n	asm	no	bruin
n	ps	yes	idioot
n	cds	no	onnozele
n	cds	no	nymfo
n	ddf	yes	gestremdhede
n	is	yes	cheapskate
n	cds	no	sanitêre riool
n	cds	no	croo ners
n	re	no	folteraar
n	or	no	dom
n	ddp	yes	sukkelaar
n	svp	no	schriel
n	qas	no	bedelaar
n	om	no	cross-dress
n	dmc	yes	spandeer-all
n	an	no	culicidae
n	svp	no	trencherman
n	an	no	roes sak
n	svp	no	kwezel
n	cds	no	skinder
n	qas	no	tweedrag saaier
n	ps	yes	romanis
n	an	no	idioot
n	an	no	melkery bok
n	qas	no	parasiteer
n	re	no	seksueel aangerand
n	ps	yes	barbaarse
n	qas	no	barok argitektuur
n	cds	no	wonk
n	is	yes	arm
n	pa	yes	adjunk fakulteit
n	ps	yes	homp
n	an	no	molluske
n	ps	yes	joodse familie
n	qas	no	volgeling
n	an	no	glip van die tong
n	cds	no	rustler
n	pa	yes	barbare
n	asf	no	dumbass
