pos	category	stereotype	lemma	level
n	om	no	lesbian life partner	inclusive
n	asm	no	ধন	conservative
n	an	no	ভেড়া	inclusive
n	om	no	being gay	inclusive
n	re	no	rapist	conservative
n	an	no	animalia	inclusive
n	an	no	cygnus	inclusive
n	asm	no	peni	inclusive
n	an	no	microbic	inclusive
n	an	no	insect anatomy	inclusive
n	asm	no	penile diseases	inclusive
n	asm	no	virile member	inclusive
n	cds	no	সংকর জীব	inclusive
n	asm	no	testicle	inclusive
n	asf	no	كس	conservative
v	asm	no	সংগম	conservative
n	qas	no	heterogeneous mixture	inclusive
n	re	no	rapes	conservative
n	om	no	pedication	inclusive
n	an	no	domestic chicken	inclusive
n	an	no	soil microbe	inclusive
v	asm	no	চোদা	conservative
n	an	no	অ্যানিমালিয়া	inclusive
n	an	no	chickens	inclusive
n	ddp	yes	animal (metazoan) evolution	inclusive
n	an	no	billy goat	inclusive
n	cds	no	stealers	inclusive
n	an	no	single celled organism	inclusive
n	asm	no	testicular disorder	inclusive
n	or	no	irish potato	inclusive
n	om	no	homosexualism	inclusive
n	an	no	metazoans	inclusive
n	om	no	homosexual pedophile	inclusive
n	an	no	হাঙর	inclusive
v	re	no	চুরি করা	inclusive
n	an	no	nonhuman	inclusive
n	ps	yes	judaisem	inclusive
n	asm	no	মটরশুটি	inclusive
a	is	yes	দুঃখিত	inclusive
n	re	no	filching	inclusive
n	an	no	dogs	inclusive
n	or	no	শসা	inclusive
n	an	no	parrot	inclusive
n	an	no	mosquito bite	inclusive
n	an	no	পোকা	inclusive
n	ddf	yes	impaired	inclusive
n	an	no	poulet	inclusive
n	or	no	red potatoes	inclusive
n	an	no	common domestic fowl	inclusive
n	cds	no	religious totalitarianism	inclusive
n	re	no	ডাকাত	inclusive
n	re	no	theft of property	inclusive
n	om	no	homosexualite	inclusive
n	an	no	billygoat	inclusive
n	dmc	yes	মিথ্যা	inclusive
n	an	no	microorganism	inclusive
n	om	no	buttocks	inclusive
n	an	no	বাইসন	inclusive
n	om	no	poofy	inclusive
n	asm	no	বোকা	inclusive
n	om	no	pedarasty	inclusive
a	dmc	yes	নকল	conservative
n	an	no	aedes notoscriptus	inclusive
n	asm	no	avians	inclusive
n	an	no	গরু	inclusive
n	an	no	anuran	inclusive
n	cds	no	interbreeding	inclusive
n	cds	no	tribal society	inclusive
n	qas	no	teste	inclusive
n	asm	no	testical	inclusive
n	pa	yes	mortician	inclusive
n	ps	yes	intraspecific hybrids	inclusive
n	an	no	pullets	inclusive
n	cds	no	manmade hybrid	inclusive
n	an	no	misquitos	inclusive
n	asm	no	field peas	inclusive
n	asm	no	pea pod	inclusive
n	an	no	domestic cattle	inclusive
n	an	no	microbially	inclusive
n	re	no	sex without consent	conservative
n	cds	no	fundamentalist	inclusive
n	svp	no	work aversion disorder	inclusive
n	asm	no	whale penis	inclusive
n	an	no	সাদা হাঙ্গর	inclusive
n	asm	no	membrum virile	inclusive
n	cds	no	hybrid animals	inclusive
n	cds	no	শিক্ষক	inclusive
n	an	no	রাজহংস	inclusive
n	cds	no	tribal people	inclusive
n	an	no	layer hen	inclusive
n	asm	no	eight equals equals equals d	inclusive
n	an	no	犭	inclusive
n	an	no	single celled	inclusive
n	cds	no	alt thrash metal	inclusive
n	an	no	one-cell organism	inclusive
n	or	no	white potatoes	inclusive
n	cds	no	intra-specific hybrids	inclusive
n	ddf	yes	physical incapacity	inclusive
n	re	no	raping	conservative
n	an	no	🐐	inclusive
n	pa	yes	funeral services	inclusive
n	an	no	microbics	inclusive
n	qas	no	কৃষক	inclusive
n	asm	no	peniz	inclusive
n	an	no	owl	inclusive
n	om	no	homosexual orientation	inclusive
n	an	no	কুমির	inclusive
n	pr	no	গরূ	inclusive
n	an	no	a dog	inclusive
n	ps	yes	biological hybrid	inclusive
n	an	no	cecal pellets	inclusive
n	an	no	she dog	inclusive
n	an	no	hog	inclusive
n	an	no	single celled organisms	inclusive
n	an	no	alligator	inclusive
n	asf	no	human vagina	conservative
n	ps	yes	inter-breeding	inclusive
n	pr	no	bos taurus	inclusive
n	an	no	microoerganisms	inclusive
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	cds	no	grunge punk	inclusive
n	ps	yes	the mongols	inclusive
n	an	no	chicket	inclusive
n	asm	no	মূর্খতা	conservative
n	an	no	microbes	inclusive
n	cds	no	hybrid plant	inclusive
n	asm	no	circumcised penis	inclusive
n	an	no	male cattle	inclusive
n	re	no	filches	inclusive
n	an	no	en la boca de los tiburones	inclusive
n	ps	yes	judaica	inclusive
n	an	no	equus africanus asinus	inclusive
n	an	no	pullet	inclusive
n	om	no	buttucks	inclusive
n	an	no	canis lupus familiaris	inclusive
n	or	no	tattie	inclusive
n	om	no	keaster	inclusive
n	an	no	bos taurus	inclusive
n	asm	no	testicals	inclusive
n	or	no	বোকা	conservative
n	an	no	cocroach	inclusive
n	an	no	মুরগি	inclusive
n	an	no	আরশোলা	inclusive
n	cds	no	grungecore	inclusive
n	ps	yes	jewish people	inclusive
n	ddp	yes	anumal	inclusive
n	asf	no	female's sex organ	conservative
n	ddf	yes	disablement	inclusive
n	an	no	sheep, domestic	inclusive
n	an	no	sea snails	inclusive
n	an	no	microscopic organism	inclusive
n	an	no	the domestic dog clade	inclusive
n	cds	no	celebrity photographer	inclusive
n	an	no	domestic dog	inclusive
n	ps	yes	animal hybrids	inclusive
n	an	no	goat	inclusive
n	ps	yes	jewish family	inclusive
n	an	no	female donkey	inclusive
n	or	no	শশা	inclusive
n	an	no	ram	inclusive
n	an	no	mosquito bites	inclusive
n	ddp	yes	animals	inclusive
n	pr	no	গাই	inclusive
n	or	no	patta gobhi	inclusive
n	qas	no	testes	inclusive
n	an	no	anumal	inclusive
n	an	no	hyaenas	inclusive
n	om	no	homo sexual	inclusive
n	om	no	nates	inclusive
n	or	no	patta-gobhi	inclusive
n	an	no	kingdom animalia	inclusive
a	ddf	yes	খারাপ	inclusive
n	an	no	swan	inclusive
n	re	no	thief	inclusive
n	or	no	tatey	inclusive
n	ddf	yes	behavioral disability	inclusive
n	om	no	paederastic	inclusive
n	cds	no	পাপারাজ্জি	inclusive
n	asf	no	va jay jay	conservative
n	ddp	yes	animal phylum	inclusive
n	an	no	khota	inclusive
n	an	no	টিয়া	inclusive
n	asf	no	vaginal	conservative
n	an	no	wild rabbits	inclusive
n	an	no	hirudinea	inclusive
n	cds	no	tribesman	inclusive
n	an	no	🐇	inclusive
n	cds	no	stealing	inclusive
n	re	no	তস্কর	inclusive
n	an	no	chkn	inclusive
n	an	no	latin names of sharks	inclusive
n	or	no	idaho potato	inclusive
n	ddf	yes	physically impaired	inclusive
n	re	no	violent sexuality	conservative
n	om	no	pedarsty	inclusive
n	ddf	yes	physically disabled	inclusive
n	or	no	coleworts	inclusive
n	or	no	আলু	inclusive
n	om	no	paiderastia	inclusive
n	ddf	yes	differently-abled people	inclusive
n	cds	no	গ্রুঞ্জ	inclusive
n	ddp	yes	মূর্খতা	conservative
n	ps	yes	blackishness	inclusive
n	an	no	micro-organism	inclusive
n	ps	yes	judaically	inclusive
n	an	no	হংসী	inclusive
n	asm	no	avian proteins	inclusive
n	an	no	doggies	inclusive
n	ps	yes	mosaic faith	inclusive
n	an	no	animal types	inclusive
n	an	no	single cellers	inclusive
n	cds	no	filched	inclusive
n	ps	yes	blackish	inclusive
n	om	no	poofter	inclusive
n	an	no	বেঙ	inclusive
n	ps	yes	judaized	inclusive
n	an	no	bunnies!	inclusive
n	asf	no	birth canal	conservative
n	cds	no	interspecific hybrid	inclusive
n	an	no	ckocroach	inclusive
n	ps	yes	judaisam	inclusive
n	an	no	chickon	inclusive
n	an	no	inu	inclusive
n	an	no	theromyzon	inclusive
n	an	no	cattle herding	inclusive
n	an	no	শকুন	inclusive
n	ps	yes	judeo	inclusive
n	an	no	external hirudiniasis	inclusive
n	ps	yes	religion of ancient israel	inclusive
n	cds	no	fundementalist	inclusive
n	asm	no	riddlestick	inclusive
n	svp	no	lazyness	inclusive
n	cds	no	stoled	inclusive
n	an	no	crocodille	inclusive
n	ddp	yes	anamalia	inclusive
n	cds	no	fundamental regime	inclusive
n	ddp	yes	tree of life animalia	inclusive
n	asm	no	avebrevicauda	inclusive
v	re	no	থলে	inclusive
n	cds	no	alt-thrash	inclusive
n	an	no	রাজ হংস	inclusive
