pos	category	stereotype	lemma	level
n	pa	yes	luật gia	inclusive
n	an	no	dê sữa	inclusive
n	dmc	yes	vô gia cư người	inclusive
n	dmc	yes	dilly-dallier	conservative
n	pr	no	biston betularia	inclusive
n	dmc	yes	tên cướp	inclusive
n	an	no	animalculum	inclusive
a	ddf	yes	xấu (t	conservative
n	cds	no	sự tự phụ	conservative
n	re	no	hãm hiếp	conservative
n	om	no	qua tủ quần áo	inclusive
n	cds	no	reel blooper	inclusive
n	asf	no	thằng ngu	conservative
n	an	no	heo	inclusive
n	cds	no	culchie	inclusive
n	cds	no	đống	inclusive
n	ddp	yes	làm trể	inclusive
n	an	no	bò nhà	inclusive
n	cds	no	chủ chứa	inclusive
n	ddp	yes	chuyện không quan hệ	conservative
n	svp	no	conceitedness	conservative
n	ddp	yes	tổn thương não	inclusive
n	an	no	người dại khờ	conservative
n	cds	no	cờ bạc casino	inclusive
n	re	no	vô pháp	inclusive
n	asm	no	fuck	conservative
n	cds	no	vệ sinh cơ sở	inclusive
n	om	no	đỉnh	inclusive
n	svp	no	chán	inclusive
n	re	no	khủng bố	inclusive
n	om	no	homosexualism	inclusive
n	an	no	ốc	inclusive
n	an	no	cậu bé thuê	conservative
n	an	no	culex pipiens	inclusive
n	ddp	yes	động là	inclusive
n	qas	no	blooper	inclusive
n	cds	no	jerking off	conservative
n	cds	no	một đoạn	conservative
n	cds	no	strikebreakers	inclusive
n	cds	no	sự chia tay	inclusive
n	an	no	người keo kiệt	conservative
n	svp	no	hám lợi	inclusive
n	ddp	yes	thiếu hụt tâm thần	inclusive
n	cds	no	người ngu dại	inclusive
n	cds	no	hôi thúi	inclusive
n	cds	no	lai tạo	inclusive
n	ddp	yes	lừa bằng giấy	conservative
n	an	no	pediculus humanus	inclusive
n	svp	no	sự dâm đảng	inclusive
n	cds	no	phát xit	conservative
n	om	no	gần	inclusive
n	ps	yes	đạo do thái	inclusive
n	asf	no	lông mu	inclusive
n	om	no	derriere	inclusive
n	ps	yes	vandal	inclusive
n	cds	no	whiner	conservative
n	dmc	yes	nghèo devil	inclusive
a	ddp	yes	ngu ngốc	conservative
n	asm	no	Đậu răng ngựa	inclusive
n	om	no	chân sau cuối	inclusive
n	qas	no	reel blooper	inclusive
n	om	no	thị nư	inclusive
n	cds	no	người ăn trộm súc vật	inclusive
n	re	no	bôi nhọ	inclusive
n	pr	no	lời nói trống rổng	conservative
n	dmc	yes	ăn cắp vặt	conservative
n	an	no	trâu rừng	inclusive
n	svp	no	ham muốn	inclusive
n	an	no	bò rừng bison	inclusive
n	an	no	giống chó sói	inclusive
v	asm	no	thông tục giao cấu	conservative
n	qas	no	lều	inclusive
n	cds	no	hoạt động tội phạm	inclusive
n	re	no	Ăn cướp	inclusive
n	an	no	giống chó rừng	inclusive
n	an	no	sâu bọ	inclusive
n	cds	no	schoolma'am	conservative
n	cds	no	rabble-rouser	conservative
n	or	no	người ngu dốt	conservative
n	qas	no	flub	inclusive
n	an	no	cá mập tấn công	inclusive
n	svp	no	avariciousness	inclusive
n	dmc	yes	kẻ lừa đảo	conservative
n	an	no	sự da man	inclusive
n	ddp	yes	không có giáo dục người	conservative
n	pa	yes	advocator	inclusive
n	an	no	chí cơ thể	inclusive
n	asm	no	cương cứng dương vật	inclusive
n	an	no	rệp giường	inclusive
n	an	no	kên kên	inclusive
n	dmc	yes	lừa đảo	conservative
n	cds	no	rất nhiệt tâm	inclusive
n	dmc	yes	scattergood	inclusive
n	cds	no	người không tự phụ	conservative
n	is	yes	nghèo	inclusive
n	cds	no	ăn trộm	inclusive
n	dmc	yes	ngoài vòng pháp luật	inclusive
n	re	no	tống tiền	conservative
n	svp	no	người làm biếng	conservative
n	pr	no	hetaira	inclusive
n	cds	no	hàng chục	inclusive
n	an	no	lunkhead	conservative
n	an	no	culicidae	inclusive
n	an	no	blattaria	inclusive
n	qas	no	baroque	inclusive
n	om	no	dòng midclavicular	inclusive
n	an	no	athene noctua somaliensis	inclusive
n	re	no	cáo buộc sai lầm	inclusive
a	dmc	yes	sai	conservative
n	cds	no	cho thuê nhà văn	conservative
n	cds	no	masons miễn phí và chấp nhận	inclusive
n	svp	no	chán đời	inclusive
n	cds	no	bè phái	inclusive
n	cds	no	rác	conservative
n	an	no	wisent	inclusive
n	an	no	cuu cai	inclusive
n	asm	no	người ngu	conservative
n	cds	no	xã hội đen	inclusive
n	cds	no	câu nói đùa	inclusive
n	an	no	diddlyshit	conservative
n	re	no	tội	inclusive
n	cds	no	người hay trốn	conservative
n	dmc	yes	người đê tiện	inclusive
n	ps	yes	người do thái	inclusive
n	an	no	bos taurus	inclusive
n	svp	no	người không tự phụ	conservative
n	cds	no	motley fool	inclusive
n	cds	no	thải hộ gia đình	conservative
n	cds	no	sự sùng đạo	inclusive
n	an	no	cơ thể trộm	inclusive
n	om	no	thô tục	inclusive
n	svp	no	superbia	conservative
n	an	no	bộ chấy	inclusive
n	cds	no	lowlife	conservative
n	cds	no	người khoe khoan	conservative
n	dmc	yes	bẩn chó	conservative
n	om	no	nance	conservative
n	pa	yes	vac hanh ly	inclusive
n	svp	no	dâm dục	inclusive
n	dmc	yes	loại heo con nhỏ	conservative
n	om	no	mông đít	inclusive
n	cds	no	parvenu	inclusive
n	an	no	bướm tiêu	inclusive
n	ddp	yes	thủ đoạn	conservative
n	cds	no	weisenheimer	conservative
n	ddp	yes	sự da man	inclusive
n	ps	yes	zulus	inclusive
n	is	yes	nghèo tự nguyện	inclusive
a	dmc	yes	bẩn thỉu qualifier	inclusive
n	svp	no	thờ ơ	inclusive
n	dmc	yes	không được pháp luật bảo vệ	inclusive
n	cds	no	banditti	conservative
n	an	no	những trò lừa đảo	conservative
n	or	no	người ngu	conservative
n	ps	yes	doofus	conservative
n	re	no	vu khống	inclusive
n	ddp	yes	fumbler	conservative
n	re	no	tội phạm hình sự	inclusive
n	an	no	anguillidae	inclusive
n	re	no	sự ăn cướp	inclusive
a	asm	no	rám nắng attention	inclusive
n	an	no	cơ thể chấy rận	inclusive
n	qas	no	nghĩa tuân thủ	inclusive
n	re	no	rìu công việc	inclusive
n	cds	no	pedagog	inclusive
n	cds	no	wonk	conservative
n	svp	no	con lười	inclusive
n	cds	no	người nhu nhược	conservative
n	cds	no	presumptuousness	conservative
n	re	no	lạm dụng	inclusive
n	ddp	yes	khờ	inclusive
n	om	no	người đồng tính	inclusive
n	qas	no	người sưa chửa	conservative
n	cds	no	nói lối	conservative
n	cds	no	giáo viên	inclusive
n	ddp	yes	người hay mét	conservative
n	an	no	hirudinea	inclusive
n	an	no	dể bị gạt	conservative
n	an	no	hemipterous côn trùng	inclusive
n	cds	no	tổng linh mục	inclusive
n	cds	no	đám đông	conservative
n	cds	no	cuối đường chết	inclusive
n	cds	no	lòng tự ái	inclusive
n	om	no	đuôi	inclusive
n	qas	no	kennel	inclusive
n	an	no	mỹ bison	inclusive
n	pa	yes	uncouthness	conservative
n	an	no	người khờ dại	conservative
n	cds	no	bẩn chó	conservative
n	dmc	yes	người hề	inclusive
n	pr	no	mại dâm đường phố	conservative
n	cds	no	moron	inclusive
n	an	no	chó nhà	inclusive
n	an	no	fuckhead	conservative
n	an	no	cá mập trắng lớn	inclusive
n	asm	no	bollocks	inclusive
n	cds	no	thành viên băng đảng	inclusive
n	re	no	vụ ám sát	inclusive
n	pr	no	na uy rat	inclusive
n	cds	no	đồng trong im lặng	inclusive
n	ddp	yes	dã man	conservative
n	pr	no	chó	conservative
n	cds	no	người làm công	inclusive
n	cds	no	trộm nhỏ mọn	inclusive
n	cds	no	wank	conservative
n	pa	yes	người đánh cá	inclusive
n	asm	no	twerp	conservative
n	qas	no	hòn dái	inclusive
n	ddp	yes	sự thiếu hiểu biết	conservative
n	cds	no	giảng viên	inclusive
n	an	no	mại dâm đường phố	conservative
n	an	no	vẹt	inclusive
n	an	no	crocodilia	inclusive
n	an	no	helix pomatia	inclusive
n	ddf	yes	tàn tật	inclusive
n	ddf	yes	người mù	inclusive
n	an	no	thỏ	inclusive
n	dmc	yes	giả	conservative
n	om	no	người khai gian	inclusive
n	svp	no	tham ăn	inclusive
n	an	no	ông-dê	inclusive
n	cds	no	khoa học	inclusive
n	ps	yes	mongoloid	conservative
n	dmc	yes	bumbler	conservative
n	an	no	thuật coi vẻ mặt	inclusive
n	an	no	despoiler	inclusive
n	cds	no	homunculus	inclusive
n	pr	no	phụ nữ của niềm vui	conservative
n	cds	no	băng đảng	inclusive
n	cds	no	bluestocking	inclusive
n	cds	no	chăn trâu	inclusive
n	ddp	yes	infauna	inclusive
n	asm	no	một đoạn	conservative
n	cds	no	fabricator	conservative
n	cds	no	nerdy	conservative
n	cds	no	thợ đào đất	inclusive
n	dmc	yes	lang thang	inclusive
n	dmc	yes	rube	conservative
n	cds	no	jester tòa án	inclusive
n	an	no	lừa bằng giấy	conservative
n	pr	no	cận thần	inclusive
n	cds	no	nhân viên cảnh sát	inclusive
n	an	no	phthiraptera	inclusive
n	om	no	pê-đê	inclusive
n	an	no	cừu trong nước	inclusive
n	an	no	người dốt	conservative
n	re	no	sự dối trá độc hại	inclusive
a	ps	yes	do thái	inclusive
n	cds	no	slews	inclusive
n	an	no	chi capra	inclusive
n	cds	no	sự ăn mặc luộm thuộm	conservative
n	cds	no	sonny	inclusive
n	asm	no	ngu dốt	conservative
n	pr	no	một nam	conservative
n	svp	no	chán nản	inclusive
n	re	no	quan hệ tình dục tội phạm	inclusive
n	cds	no	superbia	conservative
n	re	no	người vị thành niên phạm pháp	conservative
n	or	no	meticulosity	inclusive
n	cds	no	tam	inclusive
n	cds	no	người truyền tin	conservative
n	svp	no	gorger	conservative
n	svp	no	pridefulness	inclusive
n	an	no	cóc	inclusive
n	cds	no	người phạm tội	conservative
n	om	no	không-phương tây khái niệm tình dục của nam giới	inclusive
n	qas	no	moocher	conservative
a	re	no	bạo lực	inclusive
n	cds	no	vấn đề	conservative
n	re	no	kẻ giết người	inclusive
n	qas	no	casteism	inclusive
n	dmc	yes	giả mạo	conservative
n	cds	no	ostentatiousness	conservative
