pos	category	stereotype	lemma	level
n	ps	yes	idiot	conservative
n	an	no	she-donkey	inclusive
n	pr	no	moths	inclusive
n	pa	yes	employee	inclusive
n	cds	no	dah mob	conservative
n	cds	no	carrion	inclusive
n	asf	no	idiot	conservative
n	ddp	yes	retard	inclusive
n	ddp	yes	barbarians	conservative
n	asm	no	testis	inclusive
n	dmc	yes	hobos	conservative
n	pr	no	concubinage	inclusive
n	an	no	eurypterids	inclusive
n	qas	no	orchitic	inclusive
n	pr	no	concubine	inclusive
n	an	no	donkey	inclusive
n	an	no	donkeys	inclusive
n	an	no	piglet	inclusive
n	asm	no	brown	inclusive
n	cds	no	outlaw	inclusive
n	asf	no	vaginal	conservative
n	pr	no	ox	inclusive
n	asm	no	stiffy	inclusive
n	cds	no	infancy	inclusive
n	asm	no	idiot	inclusive
n	asm	no	foreskin	inclusive
n	an	no	blattaria	inclusive
n	ps	yes	niggar	conservative
n	ps	yes	mongol	inclusive
n	ddp	yes	asshole	conservative
n	ps	yes	nigger	conservative
n	om	no	gay male	conservative
n	ddp	yes	barbarian	conservative
n	ps	yes	bedu	inclusive
n	om	no	butt	inclusive
n	om	no	men dressed as women	inclusive
n	ddp	yes	brain damage	inclusive
n	ddp	yes	prisoner	inclusive
n	an	no	chicks	inclusive
n	an	no	molluscs	inclusive
n	pr	no	prostitution	inclusive
n	pa	yes	attorney	inclusive
n	is	yes	villain	conservative
n	svp	no	anger	inclusive
n	svp	no	greedy	inclusive
n	asf	no	cunt	conservative
n	re	no	slander	inclusive
n	cds	no	bigotry	conservative
n	an	no	psittaciformes	inclusive
n	re	no	villain	conservative
n	an	no	mollusca	inclusive
n	cds	no	scrap	conservative
n	cds	no	plant breeding	inclusive
n	an	no	cattle	inclusive
n	an	no	microorganisms	inclusive
n	cds	no	police officers	conservative
n	an	no	animal evolution	inclusive
n	an	no	protelinae	inclusive
n	re	no	assassinated	inclusive
n	an	no	owls	inclusive
n	an	no	chicken (food)	inclusive
n	re	no	molestation	inclusive
n	asm	no	orchitic	inclusive
n	an	no	aardwolf	inclusive
n	an	no	a man's best friend	inclusive
n	pa	yes	clerk	inclusive
n	ddp	yes	quack	conservative
n	cds	no	changeling	inclusive
n	cds	no	scrap metal	conservative
n	qas	no	lying	conservative
n	ddf	yes	disability	inclusive
n	an	no	rage	inclusive
n	ddp	yes	foolishness	inclusive
n	an	no	insecta	inclusive
n	cds	no	arrogance	inclusive
n	ddf	yes	impairment	inclusive
n	dmc	yes	morality	inclusive
n	ps	yes	black	inclusive
n	dmc	yes	lies	inclusive
n	asm	no	erectile dysfunction	inclusive
n	an	no	selachimorpha	inclusive
n	cds	no	robber	inclusive
n	cds	no	scrap metal	inclusive
n	asf	no	changeling	conservative
n	ps	yes	changeling	conservative
n	asm	no	nocturnal penile tumescence	inclusive
n	svp	no	rage (emotion)	conservative
n	an	no	pig	inclusive
n	re	no	pirates	inclusive
n	qas	no	ectoparasite	inclusive
n	an	no	strigiformes	inclusive
n	qas	no	testes	inclusive
n	ddp	yes	kingdomanimalia	inclusive
n	an	no	rabbits	inclusive
n	pr	no	cows	inclusive
n	an	no	buffalo	inclusive
n	ddp	yes	animal characteristics	inclusive
n	ps	yes	black people	inclusive
n	an	no	earthworms	inclusive
n	qas	no	bourgeois	inclusive
n	an	no	carcharodon carcharias	inclusive
n	re	no	crime	inclusive
n	an	no	hoax	conservative
n	an	no	goat-antelope	inclusive
n	asm	no	penis	inclusive
n	svp	no	seven deadly sins	inclusive
n	pa	yes	barrister	inclusive
n	asm	no	erection	inclusive
n	re	no	crimes	inclusive
n	ps	yes	jews	inclusive
n	cds	no	sewage system	inclusive
n	ddp	yes	anumal	inclusive
n	an	no	mollusk	inclusive
n	cds	no	thief	inclusive
n	an	no	proteles cristatus	inclusive
n	pa	yes	corporal	inclusive
n	om	no	queer	inclusive
n	asm	no	maroon (color)	inclusive
n	re	no	cosa nostra	inclusive
n	dmc	yes	gangster	inclusive
n	an	no	pigs	inclusive
n	qas	no	farmer	inclusive
n	ddp	yes	animal	inclusive
n	qas	no	testicular size	inclusive
n	qas	no	bollocks	inclusive
n	an	no	slug	inclusive
n	asf	no	pussy	conservative
n	ps	yes	nigga	conservative
n	cds	no	conspiracy theory	inclusive
n	an	no	eurypterida	inclusive
n	re	no	indecent assault	inclusive
n	re	no	cosa nostra	conservative
n	an	no	wisent	inclusive
n	an	no	bunny	inclusive
n	re	no	outlaw	inclusive
n	cds	no	broker	inclusive
n	an	no	puppy	inclusive
n	ddp	yes	animal phylogeny	inclusive
n	cds	no	idiot	inclusive
n	qas	no	testicular hormones	inclusive
n	re	no	homicide	inclusive
n	pr	no	prostitutes	inclusive
n	pr	no	courtesans	inclusive
n	cds	no	jester	inclusive
n	ddp	yes	retarded	inclusive
n	re	no	defamation	inclusive
n	dmc	yes	immorality	inclusive
n	qas	no	middle class	inclusive
n	re	no	molested	inclusive
n	ddf	yes	quadriplegic	inclusive
n	asm	no	birds	inclusive
n	cds	no	crimes	inclusive
n	re	no	villains	conservative
n	ddp	yes	metazoans	inclusive
n	re	no	terrorist movement	conservative
n	cds	no	tribe	inclusive
n	an	no	goats	inclusive
n	an	no	crocuta	inclusive
n	pa	yes	funeral director	inclusive
n	qas	no	businessperson	inclusive
n	ps	yes	judaism	inclusive
n	re	no	mafia	inclusive
n	ps	yes	mongolian people	inclusive
n	or	no	cabbage	inclusive
n	pa	yes	professor	inclusive
n	rci	yes	barbarians	conservative
n	or	no	brassica oleracea	inclusive
n	cds	no	freemason	inclusive
n	or	no	fennel	inclusive
n	an	no	hyenas	inclusive
n	cds	no	teachers	inclusive
n	re	no	violent	inclusive
n	ddp	yes	retardation	inclusive
n	qas	no	farmers	inclusive
n	or	no	potato	inclusive
n	cds	no	casino	inclusive
n	om	no	anal sex	inclusive
n	ps	yes	barbarian	conservative
