id	lemma	pos	synset	synset_lemma	synset_category	definition	exam_category	example
BG1677	Коза ностра	noun	[no_synset]	[no_synset_lemma]	 	Сицилианската престъпна организация, мафията	re	[България като Коза ностра: клановете се хващат за гушите.;Коза Ностра не зная дали ще се регистрира, но Г-н Черепа вече се регистрира, което е горе-долу едно и също!;Димитър Колев (негов бивш депутат и бивш областен управител на Перник, който напусна РЗС и започна да приглася на мнозинството в гласуванията в парламента) е от кръга "Котараците", а те са пернишката Коза Ностра.]
BG155	абдал	noun	Synset('btbwn-018002282-n')	['дурак', 'дурачка', 'папуняк', 'глупак', 'глупачка', 'тъпак', 'тъпанарка', 'тъпанар', 'тъпачка', 'кретен', 'идиот', 'идиотка', 'глупец', 'балама', 'балък', 'будала', 'бунак', 'галош', 'галфон', 'гламчо', 'баламурник', 'ахмак', 'гъска', 'дебил', 'дръвник', 'олигофрен', 'патка', 'пън', 'рапон', 'ръб', 'серсем', 'серсемин', 'тапир', 'теле', 'тиква', 'тиквеник', 'тъпунгер', 'хайван', 'хайванин', 'хапльо', 'чвор', 'чукундур', 'юрод', 'кютук', 'ампе', 'абдалин', 'абдал']	noun.person	Човек с ограничени умствени способности.	qas	[То и в цепенето си има чалъми де, че ако биеш като абдал, днеска може пет дръжки да строшиш.;Самият Първанов, удобно дистанциран още от самото учредяване, прецени липсата на перспектива и гузно замълча по въпроса, а повярвалите му абдали го последваха в това му мълчание.;Абе, абдали, защо направо-неправо не поканите престъпника от Банкя за доброволец?]
BG155	абдал	noun	Synset('btbwn-018002282-n')	['дурак', 'дурачка', 'папуняк', 'глупак', 'глупачка', 'тъпак', 'тъпанарка', 'тъпанар', 'тъпачка', 'кретен', 'идиот', 'идиотка', 'глупец', 'балама', 'балък', 'будала', 'бунак', 'галош', 'галфон', 'гламчо', 'баламурник', 'ахмак', 'гъска', 'дебил', 'дръвник', 'олигофрен', 'патка', 'пън', 'рапон', 'ръб', 'серсем', 'серсемин', 'тапир', 'теле', 'тиква', 'тиквеник', 'тъпунгер', 'хайван', 'хайванин', 'хапльо', 'чвор', 'чукундур', 'юрод', 'кютук', 'ампе', 'абдалин', 'абдал']	noun.person	Човек с ограничени умствени способности.	cds	[Я виж там онзи абдал какво иска.;Целият свят иска да краде от България, защото тук има много абдали.;Но какво имат вместо мозък тия абдали, които са путинофили до мозъка на костите си, които не забелязват, че Радев се превърна в слуга на Херо Мустафа и Джо Байдън, хариза държавата на краварите, понеже са му обещали втори мандат, а козируват на натовския генерал?]
BG99	агресивен	adj	Synset('btbwn-000000072-a')	['агресивен', 'нападателен', 'враждебен']	adj.all	Който е изпълнен с вражда, ненавист, агресия и показва решителност и енергичност при осъществяването на нещо.	ddp	[Почеркът й бе съвършен, направо като от учебник. Издължен и изящно оформен. На следващия ред беше написала: „Уекслър е сводник и е извратено агресивно копеле“.;Другият има вид на агресивен психопат, тип Хитлер.;Ако си нелюбезен, агресивен идиот, в обществото също ще си говориш сам.]
BG242	адвокат	noun	Synset('btbwn-018002774-n')	['адвокат', 'адвокатка']	noun.person	Прен. Човек, който защитава някого, явява се в защита на някого.	pa	[Ти защо толкова се месиш в ситуацията? На адвокат ли се правиш?;За адвокат на жена ми ли се мислиш? Аз я защитавам, а не някакъв си измислен герой от работата й.]
BG1804	акула	noun	[no_synset]	[no_synset_lemma]	 	Прен. Алчен, ненаситен, безогледен човек.	an	[Затова и апетитът на големите политически акули към това министерство бе твърде притъпен.;Е, така и не успях да стана корпоративна акула, опитвам се да се държа справедливо и честно с колегите си.;Виж в бета, че Чаушеску преди да го убият "финансовите" акули , беше изплатил външния дълг на Румъния до последния долар!]
BG222	алчен	adj	Synset('btbwn-000000024-s')	['алчен', 'сребролюбив', 'лаком', 'ненаситен', 'гладен', 'стръвен', 'жаден']	adj.all	Който силно се стреми към материални блага.	qas	[Тази е готова на всичко за слава и власт, умопобъркана, алчна жена с доста богат опит в ниските страсти.;Падението на един алчен простак! ;С този алчен нещастник си имах работа преди три години.]
BG1103	аматьор	noun	Synset('btbwn-018001634-n')	['лаик', 'аматьор', 'любител', 'дилетант', 'любителка', 'дилетантка', 'лаичка', 'аматьорка', 'неспециалист', 'неспециалистка', 'непрофесионалист', 'непрофесионалистка']	noun.person	Лице, което се занимава с изкуство, наука или техника, без да има специална подготовка и при повърхностно познаване на предмета.	qas	[Смятай, че ако един шофьор се замисля каква да е скоростта му в цифри, значи е пълен аматьор и пишман шофьор.;В такива ситуации се виждат организаторските качества и си проличава аматьорът и неможещият.;Друг път поглеждаше платното с мисълта: „Аз съм тъп аматьор.“]
BG2027	анормален	adj	Synset('btbwn-000001523-a')	['противоестествен', 'неестествен', 'нетипичен', 'необичаен', 'ненормален', 'анормален']	adj.all	Който се различава от нормата, от общоприетото правило.	dmc	[Трябва наистина да си анормален, че да твърдиш колко руснаци са били убили украинците и да ги подкрепяш, а да не виждаш с тях какво става.;Върху личността на този малко нещо анормален калугер, фанатично предан на сръбската по онова време държавна политика, виж бележката на Панайот Хитов към едно от следващите писма.;Анормалният пубертет предстявлява ненормално развитие и анатомично оформяне на индивида по време на пубертетния период.]
BG19	апатичен	adj	Synset('btbwn-000001266-s')	['незаинтересован', 'апатичен', 'безучастен', 'равнодушен', 'безразличен', 'равнодушен', 'индиферентен', 'незаинтересуван', 'индиферентен']	adj.all	Който не проявява, изразява интерес към някого или нещо.	ddp	[Дълбоко в душата си вие сте апатичен човек, който трудно успява да се мобилизира и в когото се крият емоционални проблеми.;Апатичен проклетник.;Станал си апатичен към тежкото положение на другите пътници.]
BG11	апатия	noun	Synset('btbwn-012000003-n')	['апатия']	noun.feeling	Отсъствие, липса на емоции, ентусиазъм или интерес към някого или нещо, което понякога се разглежда като психологически проблем.	ddp	[Остава и въпросът, поради същата тази некомпетентност и държавна апатия към родното производство, колко ли други уникални български вкусове не са имали късмета на зеленото сирене и безвъзвратно са се изгубили във времето?;Апатията и лекомислието, с които народът ни приема фалшивите новини са тежка болест, но не дадена ни от Бог, а е подарена ни от руската и турската фалшива пропаганда и всички продали се българи на двете империи.;С тихо примирение и апатия приемаме, че България няма бъдеще и сме последните българи.]
BG1510	аристократ	noun	Synset('btbwn-018001812-n')	['благородник', 'благородница', 'аристократ', 'аристократка', 'патриций', 'благородничка']	noun.person	В монархическо общество - привилегировано лице, което принадлежи към най-висшето съсловие от благородници, към аристокрацията.	is	[Работата ги е преобразила в маймуноподобни същества, които обаче са готови да се изправят срещу самонадеяните аристократи.;Цяла тумба аристократи са се изказали тука.]
BG2070	арогантен	adj	Synset('btbwn-000001814-s')	['арогантен']	adj.all	Който изразява безочливост, дързост, нахалство.	qas	[В отговор Робърт Мугабе го нарича "лъжец" и "арогантно момченце".;Съвсем очевидно наглите и арогантни брюкселски типове не са забравили нищо старо, не са научили нищо ново.;Просто едно дръзко, нахално и арогантно копеле успя да осребри съдбата си на наемник и терорист.]
BG543	арогантност	noun	Synset('btbwn-004001177-n')	['арогантност']	noun.act	Арогантна, безочлива проява, постъпка.	dmc	[Това е съчетано с невежество и некомпетентност, свързано е и с политическа арогантност.;И даже грубостта, арогантността все по-често се срещат като характерен израз за българите.;Той е квинтесенцията на мутренската арогантност и безпардонност, съчетани с почти пълна липса на образование.;Неговата арогантност стигна предела.;Като се погледне в огледалото, вижда само арогантност и безочие.]
BG611	аутсайдер	noun	Synset('btbwn-018000752-n')	['аутсайдер', 'аутсайдерка']	noun.person	Човек, който е извън някаква група, който не е приет в нея поради някакви причини.	is	[Така че спокойно си работи, г-н Чайков! Не ги слушай тези аутсайдери!;Избий кучетата, после циганите, след това педалите и накрая аутсайдерите, пък дано се налочиш на кръв, мамка ти киликандзерска кръвожадна.;Абе, ей, аутсайдер такъв, не мислиш ли, че е време да се включиш и да помогнеш малко?]
BG1653	бавен човек	noun	Synset('btbwn-000000028-s')	['бавен', 'муден', 'флегматичен', 'отпуснат', 'бавноподвижен']	adj.all	Който действа, реагира бавно, без живост, енергия.	qas	[Тоя Амос Юга – едвам ходи по терена, толкоз бавен човек не съм виждал.;За един мързелив, бавен човек мигането е един по-дълъг момент, а за съвършения мигането съответствува на една тристахилядна част от секундата, едва се забелязва, че мига.;Такъв мързел, такъв бавен човек по-добре да не ти влиза в къщата.]
