pos	category	stereotype	lemma	level
n	an	no	donkie	inclusive
n	dmc	yes	dilly-dallier	conservative
n	cds	no	self-aanbidding	inclusive
n	cds	no	misdaad	inclusive
n	cds	no	bloedverwante	inclusive
n	cds	no	nietigheid	conservative
n	or	no	onnozele	conservative
n	an	no	animalculum	inclusive
n	svp	no	wellustig	inclusive
n	an	no	dwaas	conservative
n	dmc	yes	schoft	conservative
n	cds	no	nuus korrespondent	inclusive
n	cds	no	bluffer	conservative
n	cds	no	culchie	inclusive
n	pr	no	kraak hoer	inclusive
n	cds	no	verbied	inclusive
n	dmc	yes	hawelose	inclusive
n	ddp	yes	barbaarse	conservative
n	dmc	yes	bandiet	conservative
n	asf	no	onnozele	conservative
n	dmc	yes	verkwister	conservative
n	qas	no	warboel	inclusive
n	pr	no	prostituut	conservative
n	cds	no	maffialid	conservative
n	an	no	weet niks	conservative
n	cds	no	grunge musiek	inclusive
n	dmc	yes	etiese motief	inclusive
n	an	no	bokram	inclusive
n	svp	no	drif	inclusive
n	pa	yes	voerman	inclusive
n	cds	no	tweede-rater	conservative
n	pr	no	prostituee	conservative
n	om	no	homoseksueel	inclusive
n	is	yes	vrek	conservative
n	pa	yes	korporaal	inclusive
n	an	no	culex pipiens	inclusive
n	ddp	yes	dom	conservative
n	qas	no	blooper reel	inclusive
n	qas	no	blooper	inclusive
n	dmc	yes	zedenbederver	conservative
n	an	no	weekdier	inclusive
n	cds	no	strikebreakers	inclusive
n	an	no	kerkuil	inclusive
n	re	no	lasterlik	inclusive
n	svp	no	smulpaap	conservative
n	ps	yes	straf kaart	inclusive
n	ddp	yes	dom persoon	conservative
n	an	no	suborde blattodea	inclusive
n	re	no	seksuele molestering	inclusive
n	dmc	yes	leuenaar	conservative
n	cds	no	buite-egtelike kind	inclusive
n	ddp	yes	macro fauna	inclusive
n	an	no	bosluise	inclusive
n	cds	no	volume	inclusive
n	cds	no	rustler	inclusive
n	re	no	italiaanse mafia	conservative
n	cds	no	scammer	conservative
n	pa	yes	barbare	conservative
n	cds	no	babas	inclusive
n	qas	no	gewone man	inclusive
n	an	no	fauna	inclusive
n	cds	no	toiletfasiliteit	inclusive
n	qas	no	kladderaar	conservative
n	cds	no	fascisme	conservative
n	cds	no	oorblyfsels	inclusive
n	asm	no	stukkie van die esel	conservative
n	dmc	yes	verleier	conservative
n	an	no	bestialiteit	conservative
n	an	no	huishoudelike hoender	inclusive
a	ddf	yes	blinde	inclusive
n	is	yes	stedelike armoede	inclusive
n	om	no	drag queen	inclusive
n	pr	no	rot norvegicus	inclusive
n	re	no	marteling	inclusive
n	cds	no	lafhartigheid	conservative
n	re	no	moord	inclusive
n	ddp	yes	informant	conservative
n	asf	no	vertraagde	conservative
n	ps	yes	sot	conservative
