n	an	no	për t'u dukur
n	cds	no	grevëthyesi
n	asm	no	nookie
n	asf	no	piçkë
n	om	no	homo
n	asm	no	testiseve
n	pa	yes	profesor i jashtëzakonshëm
n	cds	no	djallos
n	cds	no	ndërmjetësues
n	cds	no	burracak
n	re	no	përdhunim me forcë
n	cds	no	fanatik
n	asf	no	codswallop
n	cds	no	bandës
v	cds	no	pallavra
n	an	no	kacabuni
n	an	no	bos taurus
n	an	no	caiman
n	dmc	yes	karagjoz
n	cds	no	ekstreme right-krah
n	ddp	yes	pillock
n	cds	no	punëtor krahu
n	pr	no	përcjellje mashkull
n	cds	no	puprri
n	cds	no	hajdutë
n	an	no	fulvus
n	or	no	njeri i trashë
n	asm	no	ereksion
n	re	no	rrëmbyes fëmijësh
n	re	no	shkelje e ligjit
n	an	no	qumësht dhie
n	cds	no	vjedhës
n	pr	no	bisedë pa kuptim
n	an	no	trap
n	cds	no	faktor
n	pa	yes	harbut
n	qas	no	gënjej
n	ddp	yes	animalia
n	an	no	qen
n	om	no	rroço
n	ddf	yes	ulok
n	dmc	yes	slackers
n	cds	no	fisi
n	ps	yes	changelings
n	qas	no	mbeturinave të ngurta komunale
n	cds	no	masonike
n	re	no	ndrageta
n	qas	no	borgjezisë
n	cds	no	shtëpia e reputacion të keq
n	an	no	eels
n	an	no	bretkosat
n	pr	no	lavire
n	an	no	bretkoca
n	ddp	yes	injorancë
n	asm	no	doofus
n	svp	no	mburrje
n	cds	no	chiseler
n	cds	no	fis
n	cds	no	fundërrinë
n	an	no	ndjekës skaj
n	cds	no	vdekur në fund rrugë
n	an	no	gjini pipistrellus
n	pr	no	courtesan
n	dmc	yes	endacak
n	cds	no	bandës rrugë
n	cds	no	faqezi
n	ps	yes	mongol
n	cds	no	rishtar
n	re	no	vrasja
n	dmc	yes	malok
n	an	no	turpshëm
n	an	no	caprinae
n	pr	no	rattus norvegicus
n	cds	no	camarilla
v	qas	no	ngathtësi
n	qas	no	gojëtaria
n	dmc	yes	gangsterëve
n	an	no	delet e brendshme
n	re	no	vrasjen
n	re	no	shpif kundër tregtisë
n	qas	no	amatori
n	or	no	poof
v	re	no	vuajtje
n	svp	no	arrogancë
n	an	no	hemipteran
n	qas	no	amateri
n	dmc	yes	budalla-off
n	an	no	molusk
n	cds	no	fanatizmit
n	qas	no	tagalong
n	cds	no	malok
n	cds	no	prelat
n	cds	no	fascista
n	cds	no	gobs
n	ddp	yes	microcephalic
n	asm	no	flouter
n	om	no	magar
n	qas	no	fshatar
n	re	no	maskara
n	an	no	përtac
n	asm	no	testikul
n	is	yes	varfëri
n	cds	no	conventicles
n	cds	no	mashtrim
n	cds	no	fundërrinave dhe bisht
n	dmc	yes	barbarët
n	cds	no	fanatizmin
n	ddp	yes	rumormonger
n	an	no	mikroskopik
n	cds	no	fanatizem
n	dmc	yes	motiv etik
