id	pos	category	stereotype	lemma	level
SR889	n	an	no	диддлеи	conservative
SR1365	n	cds	no	помпезност	conservative
SR495	n	an	no	виллаинесс	conservative
SR425	n	pr	no	krava	inclusive
SR478	n	cds	no	хвалисавост	conservative
SR145	n	an	no	незналица	conservative
SR1643	n	an	no	mikrob	inclusive
SR1552	n	cds	no	сељачина	conservative
SR1257	n	om	no	хомоеротска	inclusive
SR564	n	re	no	варалица	inclusive
SR454	n	qas	no	Средња класа	inclusive
SR353	n	dmc	yes	лопов	conservative
SR408	n	an	no	фероциоуснесс	conservative
SR1895	n	an	no	поулет	inclusive
SR520	n	an	no	царцхародон	inclusive
SR839	n	cds	no	цут-уп	conservative
SR168	n	ddp	yes	брбљивац	inclusive
SR287	n	an	no	јунади	inclusive
SR1859	n	an	no	vaška	inclusive
SR1883	n	re	no	Плагијат	inclusive
SR229	n	an	no	куче	inclusive
SR302	n	cds	no	гангстеризам	conservative
SR39	n	qas	no	аматеурисхнесс	conservative
SR107	n	an	no	метазоанс	inclusive
SR1734	n	cds	no	нимфоманија	conservative
SR2042	a	is	yes	сиромашан	inclusive
SR97	n	an	no	јегуља	inclusive
SR2102	n	om	no	кросдресер	inclusive
SR1335	n	ddf	yes	онемогућавање	inclusive
SR1244	n	pr	no	сексуалних услуга	inclusive
SR1235	n	pr	no	курвање	inclusive
SR1134	n	dmc	yes	Гангстер	inclusive
SR1075	n	asm	no	птеригиопхоре	inclusive
SR727	n	pr	no	мукање крава-	inclusive
SR1882	n	re	no	плагиарисе	inclusive
SR2076	n	re	no	Терориста	inclusive
SR1557	n	qas	no	нецротропхиц	inclusive
SR1356	n	is	yes	Сиромаштво	inclusive
SR563	n	cds	no	дефраудер	inclusive
SR865	n	pr	no	дворанин	inclusive
SR1085	n	an	no	буве	inclusive
SR687	n	asm	no	схтуп	conservative
SR1123	n	an	no	Гњев	inclusive
SR100	n	an	no	ugor	inclusive
SR490	n	dmc	yes	скитница	inclusive
SR1190	n	svp	no	гооф-офф	conservative
SR1180	n	cds	no	наметљивац	conservative
SR397	n	an	no	боди снатцхерс	inclusive
SR919	n	dmc	yes	лицемерје	conservative
SR1576	n	dmc	yes	зла	inclusive
SR599	n	pa	yes	чиновник	inclusive
SR1513	n	cds	no	преступник	inclusive
SR121	n	ddp	yes	мацрофауна	inclusive
SR390	n	qas	no	конформистички	conservative
SR796	n	an	no	крокодилски	inclusive
SR112	n	ddp	yes	Царство Животиња	inclusive
SR274	n	cds	no	дандиес	inclusive
SR1212	n	cds	no	књижевни хацк	conservative
SR1925	n	pr	no	форницатресс	conservative
SR1770	n	re	no	стављајући до смрти	inclusive
SR240	n	cds	no	осим	inclusive
SR1340	n	ddf	yes	инвалидитетом	inclusive
SR114	n	an	no	animal	inclusive
SR1683	n	ps	yes	Жута раса	conservative
SR74	n	cds	no	збрка	conservative
SR1111	n	cds	no	фундаментализам	inclusive
SR348	n	cds	no	џукела	inclusive
SR73	n	qas	no	папазјанија	inclusive
SR628	n	asm	no	petao	inclusive
SR1387	n	dmc	yes	псеуд	conservative
SR1948	n	re	no	стицкуп	inclusive
SR1092	n	dmc	yes	Луда	inclusive
SR536	n	asm	no	идиот	inclusive
SR59	n	om	no	анални однос	inclusive
SR393	n	cds	no	блундерер	conservative
SR53	n	an	no	бисон бисон	inclusive
SR248	n	asf	no	особа која испашта туђе грешке	conservative
SR964	n	re	no	малолетни деликвент	conservative
SR1295	n	qas	no	Молер	inclusive
SR104	n	an	no	јегуље	inclusive
SR2143	n	om	no	Драг квин	inclusive
SR1290	n	cds	no	прелат	inclusive
SR1395	n	re	no	чедоморство	inclusive
SR1318	n	cds	no	баладе	inclusive
SR736	n	cds	no	комуналног отпада	conservative
SR91	n	ddp	yes	аналпхабетиц	inclusive
SR1125	n	svp	no	даллиер	conservative
SR2034	n	an	no	сциаенопс оцеллатус	inclusive
SR201	n	cds	no	варвара	conservative
SR353	n	cds	no	лопов	inclusive
SR1366	n	cds	no	умишљености	conservative
SR1536	n	an	no	Волови	inclusive
SR1635	n	an	no	микроба	inclusive
SR853	n	cds	no	лармаџија	conservative
SR248	n	cds	no	особа која испашта туђе грешке	conservative
SR77	n	qas	no	парчићи	inclusive
SR261	n	pr	no	проститутка	inclusive
SR1141	n	cds	no	фашизма	conservative
SR1824	n	cds	no	боокворм	conservative
SR1258	n	om	no	Мужеложништво	inclusive
SR414	n	an	no	волови	inclusive
SR268	n	dmc	yes	неистина	inclusive
SR1452	n	or	no	пунцтилиоуснесс	inclusive
SR246	n	cds	no	простак	conservative
SR1162	n	asf	no	vagina	conservative
SR2051	n	ddp	yes	глупост	inclusive
SR216	n	pa	yes	саветник-ат-закон	inclusive
SR230	n	an	no	псето	inclusive
SR1338	n	ddf	yes	Дисабилитет	inclusive
SR491	n	dmc	yes	хобо	conservative
