pos	category	stereotype	lemma	level
n	qas	no	ברבריות	conservative
a	ddp	yes	!טִפְּשִׁי	conservative
n	svp	no	גאוה	inclusive
n	qas	no	איל-הון	inclusive
n	an	no	animalculum	inclusive
n	dmc	yes	רוטר	conservative
n	cds	no	סוהרת	inclusive
n	an	no	פֶּרֶד	inclusive
n	svp	no	טוב תמורת כלום	conservative
n	qas	no	שותף לפשע	inclusive
n	cds	no	culchie	inclusive
n	cds	no	פַּחְדָן	conservative
n	cds	no	יומרנות	conservative
n	cds	no	demagog	conservative
n	om	no	ישבן	inclusive
n	asm	no	פאק	conservative
n	an	no	אוח	inclusive
n	svp	no	רכושנות	inclusive
n	or	no	cuke	inclusive
n	om	no	הומו	conservative
n	svp	no	דחייה	inclusive
n	pa	yes	פרקליט	inclusive
n	an	no	דפוק	conservative
n	qas	no	מגנאטים	inclusive
n	an	no	משחיתה	inclusive
n	re	no	להוציא מחוץ לחוק	inclusive
n	ddp	yes	מפגר	inclusive
n	asm	no	fuck	conservative
n	an	no	חד-תאיים	inclusive
n	svp	no	שיעמום	inclusive
n	an	no	דורס לילה	inclusive
n	an	no	כבשים	inclusive
n	ddp	yes	מטומטם	conservative
n	an	no	לנבל את הפה	conservative
n	ps	yes	אסייתיים	inclusive
n	om	no	homosexualism	inclusive
n	an	no	מלקולוגיה	inclusive
n	cds	no	גזל	inclusive
n	an	no	צפע	inclusive
n	an	no	פָּרָה	inclusive
n	an	no	culex pipiens	inclusive
n	re	no	שוד	inclusive
n	re	no	התעללות	inclusive
n	om	no	מין אנאלי	inclusive
n	dmc	yes	מוסרניות	inclusive
n	cds	no	לכלוך	inclusive
n	ddp	yes	קרטיניות	inclusive
n	or	no	meticulosity	inclusive
n	asf	no	הנרתיק	conservative
n	pa	yes	פרוף	inclusive
n	cds	no	התחצפות	inclusive
n	om	no	קרוסדרסר	inclusive
n	svp	no	גועל	inclusive
n	cds	no	מדענות	inclusive
n	re	no	maligner	conservative
n	ddp	yes	twirp	conservative
n	pa	yes	רעיית צאן	inclusive
n	dmc	yes	dissimulator	conservative
n	cds	no	השני rater	conservative
n	ps	yes	כרטיס אדום	inclusive
a	is	yes	קודר	inclusive
n	cds	no	חבלה במזיד	conservative
n	cds	no	אלילים	inclusive
n	re	no	מחבלים	conservative
n	cds	no	טון	inclusive
n	pr	no	heterocera	inclusive
n	an	no	צלופחאים	inclusive
n	cds	no	גנבים	inclusive
n	cds	no	תת-שבט	inclusive
n	is	yes	נבל-על	conservative
n	an	no	יצאנית	conservative
n	cds	no	מסון	inclusive
n	cds	no	בית הימורים	inclusive
n	cds	no	פונדמנטליסטי	inclusive
n	svp	no	אכלן	conservative
n	cds	no	להוציא מחוץ לחוק	inclusive
n	cds	no	!הָמוֹן	inclusive
n	an	no	שרמוטה	conservative
n	re	no	ולמנוע של חברות	inclusive
n	pr	no	שוורים	inclusive
n	cds	no	סמן ימני קיצוני	conservative
n	cds	no	נובוריש	inclusive
n	cds	no	ברוקר	inclusive
n	an	no	צבוע	inclusive
n	an	no	השוורים	inclusive
n	dmc	yes	מנודה	inclusive
n	cds	no	ושקר	conservative
n	qas	no	אקטופרזיט	inclusive
n	ddp	yes	יודע דבר	conservative
n	dmc	yes	!רַמָּאוּת	conservative
n	cds	no	schoolma'am	conservative
a	pa	yes	!פּוֹלִיטִי	inclusive
n	an	no	כרישים	inclusive
n	qas	no	בורגנים	inclusive
n	svp	no	avariciousness	inclusive
n	cds	no	בדחן	inclusive
n	re	no	סחטנות	conservative
n	re	no	אונס	conservative
n	pa	yes	advocator	inclusive
n	cds	no	דתיות	inclusive
n	asm	no	זִיּוּן	conservative
a	cds	no	!טִפְּשִׁי	conservative
n	re	no	עברין	inclusive
n	ps	yes	בארבאריים	conservative
n	cds	no	הלוואה בריבית	conservative
n	re	no	עברה פלילית	inclusive
n	an	no	ערפד	inclusive
n	dmc	yes	scattergood	inclusive
n	or	no	קוויר	conservative
n	an	no	פרות	inclusive
n	asf	no	הבלים	conservative
n	qas	no	חנווני	inclusive
n	svp	no	אָפַּתְיָה	inclusive
n	pr	no	hetaira	inclusive
n	cds	no	שובבה	conservative
n	an	no	culicidae	inclusive
n	asf	no	מגע רך	conservative
