pos	category	stereotype	lemma	level
n	om	no	mietje	conservative
n	ddf	yes	handicap	inclusive
n	cds	no	misdaad	inclusive
n	pa	yes	minister-counselor	inclusive
n	om	no	jonkvrouw	inclusive
n	re	no	rapist	conservative
n	ddp	yes	meercelligen	inclusive
n	cds	no	bluffer	conservative
n	dmc	yes	moreel failliet	inclusive
n	ps	yes	boerenlul	conservative
n	ddp	yes	barbaarse	conservative
n	cds	no	stamlid	inclusive
n	an	no	booswicht	conservative
n	cds	no	brol	conservative
n	qas	no	scheepsmagnaat	inclusive
n	or	no	kutje	conservative
n	rci	yes	lomperd	conservative
n	asf	no	appelflap	conservative
n	ddf	yes	functiebeperking	inclusive
n	cds	no	fundamentalistische	inclusive
n	asm	no	droplul	inclusive
n	qas	no	landbouwers	inclusive
n	an	no	animeren zijn	inclusive
n	pa	yes	pyronia tithonus	inclusive
n	or	no	uilebal	conservative
n	ps	yes	vlegel	conservative
n	cds	no	gossipmonger	conservative
n	pa	yes	voerman	inclusive
n	cds	no	slordig persoon	conservative
n	re	no	malversatie	inclusive
n	pr	no	prostituee	conservative
n	an	no	animalculum	inclusive
n	om	no	homoseksueel	inclusive
a	cds	no	hoogmoedig	conservative
n	pa	yes	korporaal	inclusive
n	dmc	yes	galgeaas	conservative
n	pa	yes	arbeidskracht	inclusive
n	asm	no	hals	conservative
n	an	no	snavel	inclusive
n	is	yes	have-not	inclusive
n	asm	no	kwezel	inclusive
n	an	no	weekdier	inclusive
n	or	no	eend	conservative
n	an	no	druiloor	conservative
n	an	no	kerkuil	inclusive
n	cds	no	mess-up	inclusive
n	ps	yes	wilde	inclusive
n	or	no	patat	inclusive
n	cds	no	derrie	inclusive
n	asf	no	uilskuiken	conservative
n	cds	no	hanepoten	inclusive
n	dmc	yes	crimineel	inclusive
n	an	no	onnozele bloed	conservative
n	cds	no	kelerelijer	conservative
n	cds	no	hybridisering	inclusive
n	ddp	yes	twirp	conservative
n	cds	no	volume	inclusive
n	cds	no	slinksheid	conservative
n	cds	no	rustler	inclusive
n	ps	yes	leeghoofd	conservative
n	om	no	tooches	inclusive
n	qas	no	parasiteren	inclusive
n	cds	no	scammer	conservative
v	cds	no	afdingen	inclusive
a	svp	no	onheus	conservative
n	re	no	belastering	conservative
n	qas	no	bourgoisie	inclusive
n	cds	no	aanschaf	inclusive
n	or	no	gehaktbal	conservative
n	ddp	yes	ploert	conservative
n	asm	no	slurf	conservative
n	an	no	fauna	inclusive
n	dmc	yes	schurk	conservative
n	asm	no	koe	inclusive
n	ddp	yes	fumbler	conservative
n	cds	no	scores	inclusive
n	re	no	grifter	inclusive
n	cds	no	schobbejak	inclusive
n	cds	no	bleeksnoet	conservative
a	qas	no	gewone	inclusive
n	cds	no	fundamentalist	inclusive
n	cds	no	le mat	inclusive
n	pr	no	straatmeid	conservative
n	cds	no	zak	conservative
n	asm	no	eendenkuiken	inclusive
n	pa	yes	plomperd	conservative
n	dmc	yes	loiterer	conservative
n	cds	no	sufferd	inclusive
n	cds	no	slechterik	conservative
n	ddp	yes	woordenkakker	conservative
n	re	no	afperser	inclusive
n	an	no	streek	conservative
n	qas	no	mikmak	inclusive
n	re	no	marteling	inclusive
n	an	no	oetlul	conservative
n	re	no	moord	inclusive
n	cds	no	gamingclan	inclusive
n	cds	no	boef	conservative
n	cds	no	schoolma'am	conservative
n	qas	no	shit	inclusive
n	an	no	halvezool	conservative
n	pr	no	maîtresse	conservative
n	cds	no	stomkop	conservative
n	re	no	verboden	inclusive
n	ddp	yes	oen	conservative
n	svp	no	eigenliefde	conservative
n	an	no	fatale vrouw	conservative
n	an	no	branta bernicla	inclusive
n	ddp	yes	druiloor	conservative
n	svp	no	toorn	conservative
n	cds	no	kattekwaad	conservative
n	an	no	krentenkakker	conservative
n	an	no	vagebond	conservative
n	dmc	yes	scattergood	inclusive
n	svp	no	7 zonden	inclusive
n	cds	no	ezelsveulen	conservative
n	an	no	culicidae	inclusive
n	re	no	diffamatie	conservative
n	cds	no	politieagente	conservative
n	cds	no	beroerling	conservative
n	cds	no	lol	inclusive
n	svp	no	onaangename	inclusive
n	om	no	homofielen	conservative
a	svp	no	aanmatigend	conservative
n	an	no	angsthaas	conservative
n	cds	no	hoogdravendheid	conservative
n	cds	no	dom	conservative
a	is	yes	onbemiddeld	inclusive
n	ps	yes	lomperd	conservative
n	or	no	ei	conservative
n	cds	no	plukken	conservative
n	ddp	yes	churl	conservative
n	asf	no	saphead	conservative
n	cds	no	fascistisch	conservative
n	cds	no	bandiet	conservative
n	qas	no	stommigheid	inclusive
n	om	no	mannelijke seksualiteit	inclusive
n	svp	no	aboulie	inclusive
n	an	no	bos taurus	inclusive
n	svp	no	pretentie	conservative
n	dmc	yes	verstotene	inclusive
n	cds	no	schoonschrijver	conservative
n	cds	no	glimmerik	conservative
n	cds	no	meute	conservative
n	ps	yes	steenezel	conservative
n	re	no	chantage	conservative
a	ps	yes	razend	conservative
n	cds	no	lowlife	conservative
n	cds	no	geestdrift	inclusive
n	cds	no	ei	inclusive
n	re	no	rover	conservative
n	cds	no	relikwie	inclusive
n	cds	no	ontvreemding	inclusive
n	cds	no	loeder	conservative
n	qas	no	non-conformistisch	inclusive
n	pr	no	rund	inclusive
n	cds	no	caravan	inclusive
n	om	no	ventrale	inclusive
n	cds	no	drukriolering	inclusive
n	ddp	yes	sekreet	conservative
n	cds	no	hybris	conservative
n	qas	no	gastplant	inclusive
n	ps	yes	judaïsme	inclusive
n	om	no	homo-	inclusive
n	qas	no	testes	inclusive
n	re	no	martelen	inclusive
n	an	no	straatprostitutie	conservative
n	cds	no	bengel	conservative
n	pr	no	seksuele diensten	inclusive
n	cds	no	hork	conservative
n	cds	no	tuig	conservative
n	re	no	terreurnetwerk	inclusive
n	ddp	yes	appelflap	conservative
n	cds	no	zwendelaar	inclusive
n	asm	no	stomkop	inclusive
n	asm	no	zultkop	conservative
v	cds	no	verschrompelen	inclusive
n	dmc	yes	vuilpeuk	conservative
n	dmc	yes	libertinisme	conservative
n	cds	no	augiasstal	conservative
n	an	no	konijnen	inclusive
n	cds	no	charlatan	conservative
n	asm	no	lijpo	conservative
n	cds	no	klootspiraal	conservative
n	or	no	sufkont	conservative
n	dmc	yes	homunculus	inclusive
n	cds	no	bobby	inclusive
n	svp	no	rooflust	conservative
a	dmc	yes	valse	conservative
n	om	no	holtor	conservative
n	cds	no	hals	conservative
a	is	yes	arm	inclusive
n	ps	yes	lomperik	conservative
n	asf	no	mafketel	conservative
a	dmc	yes	amoreel	inclusive
n	ddp	yes	mafkikker	conservative
n	cds	no	motoragent	conservative
n	asm	no	tamp	conservative
n	qas	no	zakenvrouw	inclusive
n	cds	no	hoogmoed	conservative
n	ddp	yes	analfabeet	inclusive
n	or	no	homoseksuele	conservative
n	re	no	zedenfeit	inclusive
n	cds	no	gedrevene	conservative
n	an	no	malloot	conservative
n	qas	no	parasiet	conservative
n	pa	yes	uitvaartverzorger	inclusive
n	re	no	traducement	inclusive
n	ddp	yes	uilebal	conservative
n	cds	no	dweper	conservative
n	ddp	yes	achterlijkheid	inclusive
n	om	no	bruinwerker	conservative
n	qas	no	kaste-systeem	inclusive
n	dmc	yes	kleinering	inclusive
n	om	no	homoseksuele	inclusive
n	cds	no	kaffer	inclusive
a	svp	no	opvliegend	conservative
n	asm	no	lid	conservative
n	asf	no	dommerik	conservative
v	cds	no	preken	conservative
n	asm	no	zakkenwasser	inclusive
n	cds	no	element	conservative
v	is	yes	bidden	inclusive
n	dmc	yes	hongerlijder	conservative
n	or	no	aardappels	inclusive
n	asm	no	erectie	inclusive
n	qas	no	noot	inclusive
n	ps	yes	spaans	inclusive
n	dmc	yes	vernedering	inclusive
n	cds	no	mafiabaas	conservative
n	an	no	culex pipiens	inclusive
n	qas	no	burghers	inclusive
n	an	no	konijn	inclusive
n	cds	no	pretentie	conservative
n	dmc	yes	bumbler	conservative
n	an	no	rode trommel	inclusive
n	pa	yes	barbaren	conservative
n	qas	no	duiken gewichtenregeling	inclusive
n	cds	no	imbeciel	conservative
n	re	no	bengel	inclusive
n	dmc	yes	boefje	inclusive
n	asf	no	domkop	conservative
n	asm	no	steenezel	inclusive
n	or	no	veeleisendheid	inclusive
n	an	no	grafrover	inclusive
n	an	no	lobbes	conservative
n	cds	no	fabricator	conservative
n	cds	no	nerdy	conservative
n	cds	no	aas	inclusive
n	dmc	yes	rube	conservative
n	ddp	yes	barbaarsheid	inclusive
n	ps	yes	boerenpummmel	conservative
n	ddp	yes	dierlijke voortplanting	inclusive
n	ps	yes	mongool	conservative
n	dmc	yes	nietsnut	conservative
n	qas	no	acolieten	inclusive
n	an	no	kannibaal	inclusive
n	an	no	ballon swallower	inclusive
a	dmc	yes	besmeurd	inclusive
n	svp	no	aboulia	inclusive
n	cds	no	bedrieglijkheid	inclusive
n	cds	no	insolentie	conservative
n	ddp	yes	sufferig	conservative
n	asm	no	wisselaars	inclusive
n	cds	no	kwartjesvinder	conservative
n	asf	no	snede	conservative
n	re	no	bandieten	inclusive
n	qas	no	testikels	inclusive
n	cds	no	superbia	conservative
n	re	no	laster	inclusive
n	ps	yes	ostrogothen	inclusive
n	pr	no	commerciële seksuele	inclusive
n	cds	no	aanwensel	conservative
n	cds	no	ultraconservatieve	conservative
n	svp	no	gorger	conservative
n	asm	no	druiloor	conservative
n	cds	no	hoerenbaas	conservative
n	qas	no	acoliet	inclusive
n	ddp	yes	kwezelarij	inclusive
n	qas	no	conformist	inclusive
n	rci	yes	primitieveling	conservative
n	pa	yes	korporaals	inclusive
n	svp	no	smulpaap	conservative
n	cds	no	dwaas	conservative
n	cds	no	schooljuffrouw	conservative
n	svp	no	lusteloosheid	inclusive
n	dmc	yes	toddik	inclusive
n	cds	no	dandy's	inclusive
n	an	no	kine	inclusive
n	cds	no	schare	inclusive
a	pa	yes	theoretisch	inclusive
a	ddp	yes	onbenullig	conservative
n	ps	yes	hybridisering	inclusive
n	an	no	boef	conservative
n	dmc	yes	futselaar	conservative
n	cds	no	outlaw	inclusive
n	pr	no	hetaeren	inclusive
n	dmc	yes	botterik	conservative
n	cds	no	strafrechtelijk	conservative
n	cds	no	flessentrekker	inclusive
a	re	no	gewelddadige	inclusive
