id	pos	category	stereotype	lemma	level
MS2627	v	cds	no	menggunjing	inclusive
MS1954	n	cds	no	pemeras	conservative
MS1609	n	cds	no	penonton	conservative
MS122	n	cds	no	lawak	inclusive
MS323	n	pa	yes	pangkat diplomatik	inclusive
MS680	n	om	no	bersetubuh	inclusive
MS1248	n	svp	no	jijik	inclusive
MS1096	n	an	no	crocodylian	inclusive
MS2087	n	an	no	moluska	inclusive
MS584	n	cds	no	kekhilafan	inclusive
MS1359	a	qas	no	mabuk	inclusive
MS252	n	svp	no	pelokek	inclusive
MS287	n	cds	no	perampok	inclusive
MS2333	n	cds	no	hiperseksualitas	conservative
MS1113	n	qas	no	campuran	inclusive
MS998	n	an	no	muka	inclusive
MS1987	n	asm	no	palat qualifier	inclusive
MS2822	n	cds	no	penjilat	conservative
MS607	n	qas	no	konformis	conservative
MS1011	v	cds	no	mengumpat	inclusive
MS1296	n	qas	no	رومه انجيڠ	inclusive
MS1982	n	cds	no	gumpal	inclusive
MS962	n	an	no	kelinci	inclusive
MS750	a	dmc	yes	leta	conservative
MS485	n	cds	no	diharamkan	conservative
MS398	n	cds	no	huru-hara	inclusive
MS988	n	or	no	homophile	conservative
MS258	n	ddp	yes	kerencatan	inclusive
MS407	n	ps	yes	beduin	inclusive
MS2714	n	an	no	volaille	inclusive
MS123	n	cds	no	antic	inclusive
MS2399	v	cds	no	mendengar	inclusive
MS902	n	cds	no	kesukaran	inclusive
MS741	n	cds	no	keji	conservative
MS2645	n	an	no	cootie	inclusive
MS792	n	cds	no	kelakuan lemah	conservative
MS305	n	ddp	yes	barbarisme	inclusive
MS963	n	an	no	bunnies	inclusive
MS176	n	ddp	yes	animal	inclusive
MS1799	a	svp	no	lokek	conservative
MS1634	n	cds	no	ultraconservative	conservative
MS342	n	qas	no	barok	inclusive
MS2633	n	cds	no	perengek	conservative
MS2785	n	pa	yes	jurukira	inclusive
MS1491	n	om	no	finocchio	inclusive
MS2953	n	ddp	yes	unwiseness	inclusive
MS972	n	cds	no	pewarta	inclusive
MS487	n	dmc	yes	tdk sah	inclusive
MS739	n	cds	no	villainess	conservative
MS1553	n	an	no	berang	inclusive
MS2097	n	pr	no	kupu-kupu	inclusive
MS1414	a	is	yes	malang	inclusive
MS793	n	ddp	yes	changeling	conservative
MS648	n	cds	no	bos	inclusive
MS491	n	dmc	yes	pesalah	inclusive
MS2383	n	cds	no	homunculus	inclusive
MS1345	n	an	no	nanus	conservative
MS202	n	ddp	yes	betise	conservative
MS95	n	om	no	seks	inclusive
MS1260	n	om	no	bokong	inclusive
MS366	n	pr	no	pelacur	conservative
MS1401	n	an	no	kala jengking laut	inclusive
MS1115	n	ps	yes	peranakan	inclusive
MS734	n	svp	no	pengangguran	conservative
MS1039	n	cds	no	sisa pepejal	inclusive
MS726	n	is	yes	pengemis	inclusive
MS383	n	cds	no	dusta	conservative
MS1893	n	dmc	yes	plin-plan	inclusive
MS2870	n	an	no	anuran	inclusive
MS794	n	ddp	yes	changelings	inclusive
MS1795	a	is	yes	cekel	conservative
MS818	n	re	no	vilifier	conservative
MS2203	n	cds	no	dalang	inclusive
MS1315	n	cds	no	skor	inclusive
MS3151	n	re	no	kemarakan	inclusive
MS1550	n	svp	no	kemarahan	conservative
MS3131	n	cds	no	conspiracism	inclusive
MS103	n	svp	no	pemalas	conservative
MS57	n	ddp	yes	ketololan	conservative
MS168	n	an	no	animalia	inclusive
MS1972	n	asm	no	merun	inclusive
MS185	n	re	no	pemerkosaan	conservative
MS2078	n	dmc	yes	penyegan	conservative
MS2454	n	cds	no	kekayaan nouveaux	inclusive
MS1539	n	cds	no	masonik	inclusive
MS859	n	cds	no	clann	inclusive
MS2136	n	an	no	berciut-burung hantu	inclusive
MS1562	n	dmc	yes	samseng	inclusive
MS795	n	asm	no	cretin	inclusive
MS2125	n	cds	no	cosa nostra	inclusive
MS480	n	cds	no	bajingan	conservative
MS2728	a	ps	yes	هيتم	inclusive
MS137	n	asm	no	maxilliped	inclusive
MS415	n	cds	no	bikinan	conservative
MS491	n	cds	no	pesalah	inclusive
MS480	n	re	no	bajingan	conservative
MS385	n	qas	no	kepalsuan	conservative
MS1419	a	is	yes	sedih	inclusive
MS1154	n	qas	no	memusnahkan	conservative
MS977	n	or	no	poove	conservative
MS892	n	asm	no	batang	conservative
MS1456	n	cds	no	muncikari	inclusive
MS2401	n	cds	no	riba	conservative
MS2789	n	pa	yes	pengawal	inclusive
MS1137	n	cds	no	they	inclusive
MS1719	n	om	no	kehomoseksualan	inclusive
MS1413	a	ps	yes	hitam	inclusive
MS1553	n	svp	no	berang	conservative
MS1108	n	cds	no	pembiakbakaan kacuk	inclusive
MS1239	n	cds	no	grunge	inclusive
MS3041	n	re	no	pemerkosa	conservative
MS2964	n	an	no	saluran bass	inclusive
MS2033	n	svp	no	kemurkaan	inclusive
MS151	n	cds	no	fanatik	conservative
MS206	n	cds	no	dungu	inclusive
MS459	n	svp	no	taksub	conservative
MS288	n	dmc	yes	penjahat	inclusive
MS247	n	svp	no	lahap	inclusive
MS1211	n	ps	yes	uprooter	conservative
MS1047	n	an	no	pepijat	inclusive
MS1138	n	or	no	twat	conservative
MS1636	n	cds	no	reaksioner	conservative
MS2888	v	re	no	mencuri	inclusive
MS143	n	an	no	folderol	conservative
MS396	n	cds	no	kekacauan	inclusive
MS529	n	dmc	yes	mengumpat	conservative
MS2446	v	cds	no	tawar-menawar	inclusive
MS1482	n	cds	no	mendayai	conservative
MS1344	n	ddf	yes	katai	conservative
MS3037	n	ddp	yes	hooey	inclusive
MS1157	n	dmc	yes	pengecoh	conservative
MS1017	v	cds	no	meraban	conservative
MS542	n	cds	no	kini	inclusive
MS746	n	an	no	caiman	inclusive
MS2281	n	an	no	kerang-kerangan	inclusive
MS1976	n	asm	no	jahang	inclusive
MS480	n	is	yes	bajingan	conservative
MS777	n	qas	no	sampah	conservative
MS992	n	ddp	yes	desas-desus	conservative
MS275	n	asm	no	ballock	inclusive
MS2055	n	cds	no	maling	inclusive
MS288	n	is	yes	penjahat	conservative
MS1346	n	svp	no	ravenousness	conservative
MS526	n	an	no	keparat	conservative
MS1550	n	svp	no	kemarahan	inclusive
MS1799	a	dmc	yes	lokek	conservative
MS567	n	cds	no	demi tamparan	inclusive
MS997	n	ddp	yes	newsmonger	conservative
MS677	n	an	no	kerbau	inclusive
MS1639	v	asm	no	meniduri	conservative
MS1409	a	cds	no	rendahan	conservative
MS2617	v	cds	no	menciut	inclusive
MS2442	n	qas	no	bendalu	conservative
MS2801	n	re	no	penjambretan	inclusive
MS3125	n	an	no	hoax	conservative
MS722	n	svp	no	gelandangan	conservative
MS8	v	an	no	kung	inclusive
MS2529	v	cds	no	tamat riwayatnya	inclusive
MS632	n	an	no	pemalu	conservative
MS357	n	cds	no	kepala puding	conservative
MS1069	n	svp	no	idaman	inclusive
MS1581	a	dmc	yes	berbau	conservative
MS2403	n	ps	yes	vandal	inclusive
MS1863	n	cds	no	pelucu	inclusive
MS2928	n	an	no	blattodea	inclusive
MS479	n	an	no	pengacau	conservative
MS1785	a	is	yes	sempit	conservative
